year,month,date (decimal),Reported value,Concentration (ppb)
1983,7,1983.542,monthly mean,1625.9
1983,8,1983.625,monthly mean,1628.1
1983,9,1983.708,monthly mean,1638.4
1983,10,1983.792,monthly mean,1644.8
1983,11,1983.875,monthly mean,1642.6
1983,12,1983.958,monthly mean,1639.4
1984,1,1984.042,monthly mean,1638.6
1984,2,1984.125,monthly mean,1638.8
1984,3,1984.208,monthly mean,1640.7
1984,4,1984.292,monthly mean,1643.7
1984,5,1984.375,monthly mean,1642.9
1984,6,1984.458,monthly mean,1639.6
1984,7,1984.542,monthly mean,1637.7
1984,8,1984.625,monthly mean,1641.3
1984,9,1984.708,monthly mean,1650.3
1984,10,1984.792,monthly mean,1654.4
1984,11,1984.875,monthly mean,1653.7
1984,12,1984.958,monthly mean,1656.1
1985,1,1985.042,monthly mean,1655.5
1985,2,1985.125,monthly mean,1652.2
1985,3,1985.208,monthly mean,1654.6
1985,4,1985.292,monthly mean,1658.1
1985,5,1985.375,monthly mean,1655.8
1985,6,1985.458,monthly mean,1650.0
1985,7,1985.542,monthly mean,1646.8
1985,8,1985.625,monthly mean,1652.2
1985,9,1985.708,monthly mean,1662.5
1985,10,1985.792,monthly mean,1667.5
1985,11,1985.875,monthly mean,1666.8
1985,12,1985.958,monthly mean,1666.0
1986,1,1986.042,monthly mean,1666.2
1986,2,1986.125,monthly mean,1666.9
1986,3,1986.208,monthly mean,1669.2
1986,4,1986.292,monthly mean,1670.8
1986,5,1986.375,monthly mean,1668.4
1986,6,1986.458,monthly mean,1664.8
1986,7,1986.542,monthly mean,1662.3
1986,8,1986.625,monthly mean,1664.4
1986,9,1986.708,monthly mean,1672.5
1986,10,1986.792,monthly mean,1678.7
1986,11,1986.875,monthly mean,1679.0
1986,12,1986.958,monthly mean,1679.1
1987,1,1987.042,monthly mean,1679.3
1987,2,1987.125,monthly mean,1679.0
1987,3,1987.208,monthly mean,1680.1
1987,4,1987.292,monthly mean,1681.4
1987,5,1987.375,monthly mean,1681.9
1987,6,1987.458,monthly mean,1680.0
1987,7,1987.542,monthly mean,1675.9
1987,8,1987.625,monthly mean,1677.1
1987,9,1987.708,monthly mean,1685.6
1987,10,1987.792,monthly mean,1691.6
1987,11,1987.875,monthly mean,1691.2
1987,12,1987.958,monthly mean,1690.5
1988,1,1988.042,monthly mean,1691.9
1988,2,1988.125,monthly mean,1692.5
1988,3,1988.208,monthly mean,1691.2
1988,4,1988.292,monthly mean,1690.0
1988,5,1988.375,monthly mean,1689.0
1988,6,1988.458,monthly mean,1687.0
1988,7,1988.542,monthly mean,1685.8
1988,8,1988.625,monthly mean,1689.1
1988,9,1988.708,monthly mean,1695.9
1988,10,1988.792,monthly mean,1701.1
1988,11,1988.875,monthly mean,1702.8
1988,12,1988.958,monthly mean,1701.9
1989,1,1989.042,monthly mean,1700.5
1989,2,1989.125,monthly mean,1701.1
1989,3,1989.208,monthly mean,1702.5
1989,4,1989.292,monthly mean,1703.7
1989,5,1989.375,monthly mean,1703.4
1989,6,1989.458,monthly mean,1700.2
1989,7,1989.542,monthly mean,1698.2
