year,month,date (decimal),Reported value,Concentration (ppb)
1989,8,1989.625,monthly mean,1702.0
1989,9,1989.708,monthly mean,1707.1
1989,10,1989.792,monthly mean,1710.5
1989,11,1989.875,monthly mean,1713.1
1989,12,1989.958,monthly mean,1713.1
1990,1,1990.042,monthly mean,1711.9
1990,2,1990.125,monthly mean,1713.3
1990,3,1990.208,monthly mean,1714.3
1990,4,1990.292,monthly mean,1712.6
1990,5,1990.375,monthly mean,1710.7
1990,6,1990.458,monthly mean,1708.3
1990,7,1990.542,monthly mean,1706.3
1990,8,1990.625,monthly mean,1710.1
1990,9,1990.708,monthly mean,1717.5
1990,10,1990.792,monthly mean,1722.1
1990,11,1990.875,monthly mean,1723.6
1990,12,1990.958,monthly mean,1723.3
1991,1,1991.042,monthly mean,1721.6
1991,2,1991.125,monthly mean,1721.2
1991,3,1991.208,monthly mean,1722.1
1991,4,1991.292,monthly mean,1722.5
1991,5,1991.375,monthly mean,1722.2
1991,6,1991.458,monthly mean,1719.0
1991,7,1991.542,monthly mean,1716.1
1991,8,1991.625,monthly mean,1719.2
1991,9,1991.708,monthly mean,1726.1
1991,10,1991.792,monthly mean,1732.7
1991,11,1991.875,monthly mean,1737.5
1991,12,1991.958,monthly mean,1739.6
1992,1,1992.042,monthly mean,1738.9
1992,2,1992.125,monthly mean,1737.3
1992,3,1992.208,monthly mean,1736.9
1992,4,1992.292,monthly mean,1736.6
1992,5,1992.375,monthly mean,1734.9
1992,6,1992.458,monthly mean,1731.6
1992,7,1992.542,monthly mean,1728.8
1992,8,1992.625,monthly mean,1730.4
1992,9,1992.708,monthly mean,1734.6
1992,10,1992.792,monthly mean,1737.7
1992,11,1992.875,monthly mean,1739.3
1992,12,1992.958,monthly mean,1738.5
1993,1,1993.042,monthly mean,1735.7
1993,2,1993.125,monthly mean,1734.4
1993,3,1993.208,monthly mean,1735.5
1993,4,1993.292,monthly mean,1736.7
1993,5,1993.375,monthly mean,1735.0
1993,6,1993.458,monthly mean,1730.8
1993,7,1993.542,monthly mean,1728.0
1993,8,1993.625,monthly mean,1731.2
1993,9,1993.708,monthly mean,1738.4
1993,10,1993.792,monthly mean,1743.3
1993,11,1993.875,monthly mean,1745.2
1993,12,1993.958,monthly mean,1744.2
1994,1,1994.042,monthly mean,1741.4
1994,2,1994.125,monthly mean,1740.9
1994,3,1994.208,monthly mean,1741.9
1994,4,1994.292,monthly mean,1741.9
1994,5,1994.375,monthly mean,1740.6
1994,6,1994.458,monthly mean,1736.9
1994,7,1994.542,monthly mean,1732.4
1994,8,1994.625,monthly mean,1734.1
1994,9,1994.708,monthly mean,1742.9
1994,10,1994.792,monthly mean,1749.8
1994,11,1994.875,monthly mean,1751.3
1994,12,1994.958,monthly mean,1751.5
1995,1,1995.042,monthly mean,1751.0
1995,2,1995.125,monthly mean,1749.4
1995,3,1995.208,monthly mean,1748.9
1995,4,1995.292,monthly mean,1749.4
1995,5,1995.375,monthly mean,1747.7
1995,6,1995.458,monthly mean,1742.8
1995,7,1995.542,monthly mean,1740.1
1995,8,1995.625,monthly mean,1743.5
1995,9,1995.708,monthly mean,1749.7
1995,10,1995.792,monthly mean,1754.2
1995,11,1995.875,monthly mean,1755.3
1995,12,1995.958,monthly mean,1753.7
1996,1,1996.042,monthly mean,1752.3
1996,2,1996.125,monthly mean,1752.9
1996,3,1996.208,monthly mean,1752.2
1996,4,1996.292,monthly mean,1749.5
1996,5,1996.375,monthly mean,1748.2
1996,6,1996.458,monthly mean,1746.0
1996,7,1996.542,monthly mean,1742.0
1996,8,1996.625,monthly mean,1744.2
1996,9,1996.708,monthly mean,1752.5
1996,10,1996.792,monthly mean,1758.8
1996,11,1996.875,monthly mean,1760.0
1996,12,1996.958,monthly mean,1756.9
1997,1,1997.042,monthly mean,1753.4
1997,2,1997.125,monthly mean,1753.9
1997,3,1997.208,monthly mean,1755.7
1997,4,1997.292,monthly mean,1755.5
1997,5,1997.375,monthly mean,1753.9
1997,6,1997.458,monthly mean,1750.1
1997,7,1997.542,monthly mean,1746.1
1997,8,1997.625,monthly mean,1747.9
1997,9,1997.708,monthly mean,1755.0
1997,10,1997.792,monthly mean,1760.3
1997,11,1997.875,monthly mean,1761.7
1997,12,1997.958,monthly mean,1761.9
1998,1,1998.042,monthly mean,1761.5
1998,2,1998.125,monthly mean,1761.6
1998,3,1998.208,monthly mean,1763.0
1998,4,1998.292,monthly mean,1764.7
1998,5,1998.375,monthly mean,1764.2
1998,6,1998.458,monthly mean,1760.3
1998,7,1998.542,monthly mean,1756.1
1998,8,1998.625,monthly mean,1760.1
1998,9,1998.708,monthly mean,1770.4
1998,10,1998.792,monthly mean,1776.2
1998,11,1998.875,monthly mean,1775.6
1998,12,1998.958,monthly mean,1774.1
1999,1,1999.042,monthly mean,1773.9
1999,2,1999.125,monthly mean,1774.1
1999,3,1999.208,monthly mean,1774.7
1999,4,1999.292,monthly mean,1775.0
1999,5,1999.375,monthly mean,1772.7
1999,6,1999.458,monthly mean,1767.4
1999,7,1999.542,monthly mean,1763.0
1999,8,1999.625,monthly mean,1764.7
1999,9,1999.708,monthly mean,1771.1
1999,10,1999.792,monthly mean,1776.7
1999,11,1999.875,monthly mean,1778.6
1999,12,1999.958,monthly mean,1777.2
2000,1,2000.042,monthly mean,1775.5
2000,2,2000.125,monthly mean,1775.5
2000,3,2000.208,monthly mean,1776.5
2000,4,2000.292,monthly mean,1777.2
2000,5,2000.375,monthly mean,1774.5
2000,6,2000.458,monthly mean,1768.1
2000,7,2000.542,monthly mean,1763.5
2000,8,2000.625,monthly mean,1765.5
2000,9,2000.708,monthly mean,1772.0
2000,10,2000.792,monthly mean,1777.1
2000,11,2000.875,monthly mean,1777.6
2000,12,2000.958,monthly mean,1775.2
2001,1,2001.042,monthly mean,1772.9
2001,2,2001.125,monthly mean,1772.6
2001,3,2001.208,monthly mean,1773.7
2001,4,2001.292,monthly mean,1773.9
2001,5,2001.375,monthly mean,1770.8
2001,6,2001.458,monthly mean,1765.8
2001,7,2001.542,monthly mean,1762.8
2001,8,2001.625,monthly mean,1764.4
2001,9,2001.708,monthly mean,1770.4
2001,10,2001.792,monthly mean,1775.5
2001,11,2001.875,monthly mean,1776.6
2001,12,2001.958,monthly mean,1775.9
2002,1,2002.042,monthly mean,1774.1
2002,2,2002.125,monthly mean,1772.8
2002,3,2002.208,monthly mean,1773.4
2002,4,2002.292,monthly mean,1772.7
2002,5,2002.375,monthly mean,1770.3
2002,6,2002.458,monthly mean,1766.8
2002,7,2002.542,monthly mean,1764.3
2002,8,2002.625,monthly mean,1767.0
2002,9,2002.708,monthly mean,1773.7
2002,10,2002.792,monthly mean,1778.2
2002,11,2002.875,monthly mean,1779.6
2002,12,2002.958,monthly mean,1779.7
2003,1,2003.042,monthly mean,1777.5
2003,2,2003.125,monthly mean,1774.9
2003,3,2003.208,monthly mean,1774.8
2003,4,2003.292,monthly mean,1775.7
2003,5,2003.375,monthly mean,1774.4
2003,6,2003.458,monthly mean,1771.7
2003,7,2003.542,monthly mean,1770.7
2003,8,2003.625,monthly mean,1774.3
2003,9,2003.708,monthly mean,1780.5
2003,10,2003.792,monthly mean,1784.7
2003,11,2003.875,monthly mean,1785.3
2003,12,2003.958,monthly mean,1783.5
2004,1,2004.042,monthly mean,1780.9
2004,2,2004.125,monthly mean,1780.0
2004,3,2004.208,monthly mean,1781.0
2004,4,2004.292,monthly mean,1780.7
2004,5,2004.375,monthly mean,1777.5
2004,6,2004.458,monthly mean,1772.2
2004,7,2004.542,monthly mean,1768.0
2004,8,2004.625,monthly mean,1769.7
2004,9,2004.708,monthly mean,1775.3
2004,10,2004.792,monthly mean,1779.6
2004,11,2004.875,monthly mean,1780.5
2004,12,2004.958,monthly mean,1778.3
2005,1,2005.042,monthly mean,1776.0
2005,2,2005.125,monthly mean,1775.6
2005,3,2005.208,monthly mean,1775.4
2005,4,2005.292,monthly mean,1774.6
2005,5,2005.375,monthly mean,1772.3
2005,6,2005.458,monthly mean,1768.6
2005,7,2005.542,monthly mean,1766.3
2005,8,2005.625,monthly mean,1768.0
2005,9,2005.708,monthly mean,1773.1
2005,10,2005.792,monthly mean,1778.5
2005,11,2005.875,monthly mean,1781.1
2005,12,2005.958,monthly mean,1780.0
2006,1,2006.042,monthly mean,1779.4
2006,2,2006.125,monthly mean,1779.4
2006,3,2006.208,monthly mean,1777.4
2006,4,2006.292,monthly mean,1776.1
2006,5,2006.375,monthly mean,1775.0
2006,6,2006.458,monthly mean,1769.2
2006,7,2006.542,monthly mean,1764.1
2006,8,2006.625,monthly mean,1767.2
2006,9,2006.708,monthly mean,1774.6
2006,10,2006.792,monthly mean,1778.2
2006,11,2006.875,monthly mean,1779.1
2006,12,2006.958,monthly mean,1779.9
2007,1,2007.042,monthly mean,1779.2
2007,2,2007.125,monthly mean,1778.7
2007,3,2007.208,monthly mean,1780.3
2007,4,2007.292,monthly mean,1781.1
2007,5,2007.375,monthly mean,1779.5
2007,6,2007.458,monthly mean,1775.6
2007,7,2007.542,monthly mean,1772.6
2007,8,2007.625,monthly mean,1777.2
2007,9,2007.708,monthly mean,1785.8
2007,10,2007.792,monthly mean,1789.8
2007,11,2007.875,monthly mean,1789.6
2007,12,2007.958,monthly mean,1788.2
2008,1,2008.042,monthly mean,1786.7
2008,2,2008.125,monthly mean,1785.8
2008,3,2008.208,monthly mean,1786.1
2008,4,2008.292,monthly mean,1786.8
2008,5,2008.375,monthly mean,1785.2
2008,6,2008.458,monthly mean,1780.4
2008,7,2008.542,monthly mean,1777.6
2008,8,2008.625,monthly mean,1781.0
2008,9,2008.708,monthly mean,1787.6
2008,10,2008.792,monthly mean,1793.7
2008,11,2008.875,monthly mean,1797.3
2008,12,2008.958,monthly mean,1796.6
2009,1,2009.042,monthly mean,1795.1
2009,2,2009.125,monthly mean,1795.6
2009,3,2009.208,monthly mean,1796.0
2009,4,2009.292,monthly mean,1795.6
2009,5,2009.375,monthly mean,1792.4
2009,6,2009.458,monthly mean,1786.9
2009,7,2009.542,monthly mean,1784.9
2009,8,2009.625,monthly mean,1788.8
2009,9,2009.708,monthly mean,1794.7
2009,10,2009.792,monthly mean,1797.9
2009,11,2009.875,monthly mean,1797.9
2009,12,2009.958,monthly mean,1796.7
2010,1,2010.042,monthly mean,1797.1
2010,2,2010.125,monthly mean,1798.8
2010,3,2010.208,monthly mean,1799.4
2010,4,2010.292,monthly mean,1799.6
2010,5,2010.375,monthly mean,1797.7
2010,6,2010.458,monthly mean,1792.5
2010,7,2010.542,monthly mean,1789.4
2010,8,2010.625,monthly mean,1794.1
2010,9,2010.708,monthly mean,1801.8
2010,10,2010.792,monthly mean,1806.5
2010,11,2010.875,monthly mean,1807.0
2010,12,2010.958,monthly mean,1803.5
2011,1,2011.042,monthly mean,1800.4
2011,2,2011.125,monthly mean,1800.2
2011,3,2011.208,monthly mean,1801.0
2011,4,2011.292,monthly mean,1802.8
2011,5,2011.375,monthly mean,1803.3
2011,6,2011.458,monthly mean,1799.2
2011,7,2011.542,monthly mean,1796.1
2011,8,2011.625,monthly mean,1798.9
2011,9,2011.708,monthly mean,1803.9
2011,10,2011.792,monthly mean,1809.5
2011,11,2011.875,monthly mean,1812.4
2011,12,2011.958,monthly mean,1810.0
2012,1,2012.042,monthly mean,1807.3
2012,2,2012.125,monthly mean,1808.3
2012,3,2012.208,monthly mean,1809.9
2012,4,2012.292,monthly mean,1808.4
2012,5,2012.375,monthly mean,1804.7
2012,6,2012.458,monthly mean,1800.9
2012,7,2012.542,monthly mean,1799.2
2012,8,2012.625,monthly mean,1803.2
2012,9,2012.708,monthly mean,1810.1
2012,10,2012.792,monthly mean,1814.7
2012,11,2012.875,monthly mean,1815.9
2012,12,2012.958,monthly mean,1814.6
2013,1,2013.042,monthly mean,1814.1
2013,2,2013.125,monthly mean,1814.2
2013,3,2013.208,monthly mean,1813.3
2013,4,2013.292,monthly mean,1812.8
2013,5,2013.375,monthly mean,1811.9
2013,6,2013.458,monthly mean,1808.4
2013,7,2013.542,monthly mean,1805.7
2013,8,2013.625,monthly mean,1808.4
2013,9,2013.708,monthly mean,1814.2
2013,10,2013.792,monthly mean,1818.5
2013,11,2013.875,monthly mean,1820.4
2013,12,2013.958,monthly mean,1819.3
2014,1,2014.042,monthly mean,1816.9
2014,2,2014.125,monthly mean,1816.4
2014,3,2014.208,monthly mean,1818.1
2014,4,2014.292,monthly mean,1820.9
2014,5,2014.375,monthly mean,1821.9
2014,6,2014.458,monthly mean,1818.3
2014,7,2014.542,monthly mean,1815.6
2014,8,2014.625,monthly mean,1819.8
2014,9,2014.708,monthly mean,1826.9
2014,10,2014.792,monthly mean,1831.2
2014,11,2014.875,monthly mean,1833.1
2014,12,2014.958,monthly mean,1833.5
2015,1,2015.042,monthly mean,1832.9
2015,2,2015.125,monthly mean,1832.7
2015,3,2015.208,monthly mean,1833.0
2015,4,2015.292,monthly mean,1833.2
2015,5,2015.375,monthly mean,1831.8
2015,6,2015.458,monthly mean,1827.3
2015,7,2015.542,monthly mean,1824.8
2015,8,2015.625,monthly mean,1829.2
2015,9,2015.708,monthly mean,1836.2
2015,10,2015.792,monthly mean,1841.5
2015,11,2015.875,monthly mean,1844.8
2015,12,2015.958,monthly mean,1844.8
2016,1,2016.042,monthly mean,1842.4
2016,2,2016.125,monthly mean,1841.6
2016,3,2016.208,monthly mean,1843.0
2016,4,2016.292,monthly mean,1843.7
2016,5,2016.375,monthly mean,1842.1
2016,6,2016.458,monthly mean,1837.8
2016,7,2016.542,monthly mean,1834.2
2016,8,2016.625,monthly mean,1836.7
2016,9,2016.708,monthly mean,1844.1
2016,10,2016.792,monthly mean,1849.8
2016,11,2016.875,monthly mean,1851.4
2016,12,2016.958,monthly mean,1851.0
2017,1,2017.042,monthly mean,1849.8
2017,2,2017.125,monthly mean,1848.6
2017,3,2017.208,monthly mean,1848.3
2017,4,2017.292,monthly mean,1848.6
2017,5,2017.375,monthly mean,1847.2
2017,6,2017.458,monthly mean,1842.9
2017,7,2017.542,monthly mean,1840.4
2017,8,2017.625,monthly mean,1844.7
2017,9,2017.708,monthly mean,1852.7
2017,10,2017.792,monthly mean,1858.1
2017,11,2017.875,monthly mean,1858.7
2017,12,2017.958,monthly mean,1856.6
2018,1,2018.042,monthly mean,1854.4
2018,2,2018.125,monthly mean,1855.0
2018,3,2018.208,monthly mean,1856.8
2018,4,2018.292,monthly mean,1856.6
2018,5,2018.375,monthly mean,1854.8
2018,6,2018.458,monthly mean,1851.9
2018,7,2018.542,monthly mean,1849.0
2018,8,2018.625,monthly mean,1851.9
2018,9,2018.708,monthly mean,1860.4
2018,10,2018.792,monthly mean,1865.7
2018,11,2018.875,monthly mean,1866.2
2018,12,2018.958,monthly mean,1865.9
2019,1,2019.042,monthly mean,1865.0
2019,2,2019.125,monthly mean,1865.0
2019,3,2019.208,monthly mean,1866.2
2019,4,2019.292,monthly mean,1865.2
2019,5,2019.375,monthly mean,1861.9
2019,6,2019.458,monthly mean,1858.8
2019,7,2019.542,monthly mean,1858.4
2019,8,2019.625,monthly mean,1863.0
2019,9,2019.708,monthly mean,1870.6
2019,10,2019.792,monthly mean,1875.3
2019,11,2019.875,monthly mean,1875.6
2019,12,2019.958,monthly mean,1874.6
2020,1,2020.042,monthly mean,1873.1
2020,2,2020.125,monthly mean,1872.9
2020,3,2020.208,monthly mean,1875.2
2020,4,2020.292,monthly mean,1876.5
2020,5,2020.375,monthly mean,1874.7
2020,6,2020.458,monthly mean,1872.2
2020,7,2020.542,monthly mean,1872.0
2020,8,2020.625,monthly mean,1876.9
1983,7,1983.542,mon. mean 1-sigma unc.,2.4
1983,8,1983.625,mon. mean 1-sigma unc.,2.9
1983,9,1983.708,mon. mean 1-sigma unc.,2.2
1983,10,1983.792,mon. mean 1-sigma unc.,1.4
1983,11,1983.875,mon. mean 1-sigma unc.,0.8
1983,12,1983.958,mon. mean 1-sigma unc.,0.9
1984,1,1984.042,mon. mean 1-sigma unc.,1.9
1984,2,1984.125,mon. mean 1-sigma unc.,2.0
1984,3,1984.208,mon. mean 1-sigma unc.,1.6
1984,4,1984.292,mon. mean 1-sigma unc.,1.9
1984,5,1984.375,mon. mean 1-sigma unc.,1.1
1984,6,1984.458,mon. mean 1-sigma unc.,0.9
1984,7,1984.542,mon. mean 1-sigma unc.,1.2
1984,8,1984.625,mon. mean 1-sigma unc.,1.6
1984,9,1984.708,mon. mean 1-sigma unc.,1.3
1984,10,1984.792,mon. mean 1-sigma unc.,1.5
1984,11,1984.875,mon. mean 1-sigma unc.,1.2
1984,12,1984.958,mon. mean 1-sigma unc.,1.2
1985,1,1985.042,mon. mean 1-sigma unc.,1.0
1985,2,1985.125,mon. mean 1-sigma unc.,1.5
1985,3,1985.208,mon. mean 1-sigma unc.,1.0
1985,4,1985.292,mon. mean 1-sigma unc.,0.8
1985,5,1985.375,mon. mean 1-sigma unc.,1.3
1985,6,1985.458,mon. mean 1-sigma unc.,1.4
1985,7,1985.542,mon. mean 1-sigma unc.,1.3
1985,8,1985.625,mon. mean 1-sigma unc.,1.3
1985,9,1985.708,mon. mean 1-sigma unc.,1.3
1985,10,1985.792,mon. mean 1-sigma unc.,1.2
1985,11,1985.875,mon. mean 1-sigma unc.,1.2
1985,12,1985.958,mon. mean 1-sigma unc.,1.0
1986,1,1986.042,mon. mean 1-sigma unc.,1.3
1986,2,1986.125,mon. mean 1-sigma unc.,1.9
1986,3,1986.208,mon. mean 1-sigma unc.,1.5
1986,4,1986.292,mon. mean 1-sigma unc.,1.5
1986,5,1986.375,mon. mean 1-sigma unc.,0.9
1986,6,1986.458,mon. mean 1-sigma unc.,1.1
1986,7,1986.542,mon. mean 1-sigma unc.,1.1
1986,8,1986.625,mon. mean 1-sigma unc.,1.7
1986,9,1986.708,mon. mean 1-sigma unc.,1.5
1986,10,1986.792,mon. mean 1-sigma unc.,1.7
1986,11,1986.875,mon. mean 1-sigma unc.,1.8
1986,12,1986.958,mon. mean 1-sigma unc.,1.1
1987,1,1987.042,mon. mean 1-sigma unc.,1.2
1987,2,1987.125,mon. mean 1-sigma unc.,1.2
1987,3,1987.208,mon. mean 1-sigma unc.,1.1
1987,4,1987.292,mon. mean 1-sigma unc.,1.1
1987,5,1987.375,mon. mean 1-sigma unc.,1.0
1987,6,1987.458,mon. mean 1-sigma unc.,1.0
1987,7,1987.542,mon. mean 1-sigma unc.,0.8
1987,8,1987.625,mon. mean 1-sigma unc.,0.8
1987,9,1987.708,mon. mean 1-sigma unc.,1.1
1987,10,1987.792,mon. mean 1-sigma unc.,1.1
1987,11,1987.875,mon. mean 1-sigma unc.,1.0
1987,12,1987.958,mon. mean 1-sigma unc.,0.9
1988,1,1988.042,mon. mean 1-sigma unc.,0.8
1988,2,1988.125,mon. mean 1-sigma unc.,0.9
1988,3,1988.208,mon. mean 1-sigma unc.,1.1
1988,4,1988.292,mon. mean 1-sigma unc.,1.0
1988,5,1988.375,mon. mean 1-sigma unc.,1.0
1988,6,1988.458,mon. mean 1-sigma unc.,1.2
1988,7,1988.542,mon. mean 1-sigma unc.,1.0
1988,8,1988.625,mon. mean 1-sigma unc.,1.1
1988,9,1988.708,mon. mean 1-sigma unc.,1.1
1988,10,1988.792,mon. mean 1-sigma unc.,1.1
1988,11,1988.875,mon. mean 1-sigma unc.,1.2
1988,12,1988.958,mon. mean 1-sigma unc.,1.1
1989,1,1989.042,mon. mean 1-sigma unc.,1.0
1989,2,1989.125,mon. mean 1-sigma unc.,1.2
1989,3,1989.208,mon. mean 1-sigma unc.,1.5
1989,4,1989.292,mon. mean 1-sigma unc.,1.1
1989,5,1989.375,mon. mean 1-sigma unc.,0.5
1989,6,1989.458,mon. mean 1-sigma unc.,0.9
1989,7,1989.542,mon. mean 1-sigma unc.,0.9
1989,8,1989.625,mon. mean 1-sigma unc.,1.0
1989,9,1989.708,mon. mean 1-sigma unc.,1.0
1989,10,1989.792,mon. mean 1-sigma unc.,1.0
1989,11,1989.875,mon. mean 1-sigma unc.,0.9
1989,12,1989.958,mon. mean 1-sigma unc.,1.0
1990,1,1990.042,mon. mean 1-sigma unc.,1.2
1990,2,1990.125,mon. mean 1-sigma unc.,1.3
1990,3,1990.208,mon. mean 1-sigma unc.,1.2
1990,4,1990.292,mon. mean 1-sigma unc.,1.1
1990,5,1990.375,mon. mean 1-sigma unc.,1.0
1990,6,1990.458,mon. mean 1-sigma unc.,0.9
1990,7,1990.542,mon. mean 1-sigma unc.,0.8
1990,8,1990.625,mon. mean 1-sigma unc.,1.2
1990,9,1990.708,mon. mean 1-sigma unc.,1.2
1990,10,1990.792,mon. mean 1-sigma unc.,1.0
1990,11,1990.875,mon. mean 1-sigma unc.,1.0
1990,12,1990.958,mon. mean 1-sigma unc.,1.0
1991,1,1991.042,mon. mean 1-sigma unc.,1.3
1991,2,1991.125,mon. mean 1-sigma unc.,1.4
1991,3,1991.208,mon. mean 1-sigma unc.,1.1
1991,4,1991.292,mon. mean 1-sigma unc.,1.1
1991,5,1991.375,mon. mean 1-sigma unc.,1.0
1991,6,1991.458,mon. mean 1-sigma unc.,1.1
1991,7,1991.542,mon. mean 1-sigma unc.,1.0
1991,8,1991.625,mon. mean 1-sigma unc.,1.0
1991,9,1991.708,mon. mean 1-sigma unc.,1.4
1991,10,1991.792,mon. mean 1-sigma unc.,1.0
1991,11,1991.875,mon. mean 1-sigma unc.,0.9
1991,12,1991.958,mon. mean 1-sigma unc.,1.0
1992,1,1992.042,mon. mean 1-sigma unc.,1.0
1992,2,1992.125,mon. mean 1-sigma unc.,1.1
1992,3,1992.208,mon. mean 1-sigma unc.,1.0
1992,4,1992.292,mon. mean 1-sigma unc.,0.6
1992,5,1992.375,mon. mean 1-sigma unc.,0.8
1992,6,1992.458,mon. mean 1-sigma unc.,1.1
1992,7,1992.542,mon. mean 1-sigma unc.,1.0
1992,8,1992.625,mon. mean 1-sigma unc.,1.0
1992,9,1992.708,mon. mean 1-sigma unc.,0.7
1992,10,1992.792,mon. mean 1-sigma unc.,0.9
1992,11,1992.875,mon. mean 1-sigma unc.,1.2
1992,12,1992.958,mon. mean 1-sigma unc.,1.0
1993,1,1993.042,mon. mean 1-sigma unc.,1.0
1993,2,1993.125,mon. mean 1-sigma unc.,1.1
1993,3,1993.208,mon. mean 1-sigma unc.,1.0
1993,4,1993.292,mon. mean 1-sigma unc.,0.8
1993,5,1993.375,mon. mean 1-sigma unc.,0.8
1993,6,1993.458,mon. mean 1-sigma unc.,0.8
1993,7,1993.542,mon. mean 1-sigma unc.,0.9
1993,8,1993.625,mon. mean 1-sigma unc.,0.9
1993,9,1993.708,mon. mean 1-sigma unc.,0.9
1993,10,1993.792,mon. mean 1-sigma unc.,0.9
1993,11,1993.875,mon. mean 1-sigma unc.,0.7
1993,12,1993.958,mon. mean 1-sigma unc.,0.9
1994,1,1994.042,mon. mean 1-sigma unc.,1.0
1994,2,1994.125,mon. mean 1-sigma unc.,1.2
1994,3,1994.208,mon. mean 1-sigma unc.,0.9
1994,4,1994.292,mon. mean 1-sigma unc.,0.7
1994,5,1994.375,mon. mean 1-sigma unc.,1.1
1994,6,1994.458,mon. mean 1-sigma unc.,1.2
1994,7,1994.542,mon. mean 1-sigma unc.,1.0
1994,8,1994.625,mon. mean 1-sigma unc.,1.0
1994,9,1994.708,mon. mean 1-sigma unc.,0.8
1994,10,1994.792,mon. mean 1-sigma unc.,0.7
1994,11,1994.875,mon. mean 1-sigma unc.,0.8
1994,12,1994.958,mon. mean 1-sigma unc.,0.9
1995,1,1995.042,mon. mean 1-sigma unc.,1.1
1995,2,1995.125,mon. mean 1-sigma unc.,1.0
1995,3,1995.208,mon. mean 1-sigma unc.,0.7
1995,4,1995.292,mon. mean 1-sigma unc.,0.7
1995,5,1995.375,mon. mean 1-sigma unc.,1.0
1995,6,1995.458,mon. mean 1-sigma unc.,1.0
1995,7,1995.542,mon. mean 1-sigma unc.,0.8
1995,8,1995.625,mon. mean 1-sigma unc.,1.1
1995,9,1995.708,mon. mean 1-sigma unc.,1.2
1995,10,1995.792,mon. mean 1-sigma unc.,0.9
1995,11,1995.875,mon. mean 1-sigma unc.,0.8
1995,12,1995.958,mon. mean 1-sigma unc.,1.0
1996,1,1996.042,mon. mean 1-sigma unc.,1.2
1996,2,1996.125,mon. mean 1-sigma unc.,1.2
1996,3,1996.208,mon. mean 1-sigma unc.,1.0
1996,4,1996.292,mon. mean 1-sigma unc.,1.1
1996,5,1996.375,mon. mean 1-sigma unc.,1.0
1996,6,1996.458,mon. mean 1-sigma unc.,0.9
1996,7,1996.542,mon. mean 1-sigma unc.,0.9
1996,8,1996.625,mon. mean 1-sigma unc.,1.2
