year,population_Mhd
1961,3091.844
1962,3150.421
1963,3211.001
1964,3273.978
1965,3339.584
1966,3407.92
1967,3478.770
1968,3551.599
1969,3625.681
1970,3700.437
1971,3775.760
1972,3851.650
1973,3927.780
1974,4003.794
1975,4079.481
1976,4154.667
1977,4229.51
1978,4304.534
1979,4380.5
1980,4458.004
1981,4536.997
1982,4617.387
1983,4699.569
1984,4784.012
1985,4870.92
1986,4960.568
1987,5052.522
1988,5145.426
1989,5237.442
1990,5327.231
1991,5414.289
1992,5498.920
1993,5581.598
1994,5663.150
1995,5744.213
1996,5824.892
1997,5905.046
1998,5984.794
1999,6064.239
2000,6143.494
2001,6222.627
2002,6301.773
2003,6381.185
2004,6461.159
2005,6541.907
2006,6623.518
2007,6705.95
2008,6789.089
2009,6872.767
2010,6956.824
2011,7041.194
2012,7125.828
2013,7210.582
2014,7295.291
2015,7379.797
2016,7464.022
2017,7547.859
2018,7631.09
