Period,Depth,"Ocean Heat Uptake Rate, ZJ yr–1 ","Ocean Heat Uptake as Average Fluxes, W m–2 "
2005-2017,0–700 m ,5.31 ± 0.48 ,0.33 ± 0.03
2005-2017,700–2000 m ,4.02 ± 0.97 ,0.25 ± 0.06
1993-2017,0–700 m ,6.28 ± 0.48 ,0.39 ± 0.03
1993-2017,700–2000 m ,3.86 ± 2.09 ,0.24 ± 0.13
1969-1993,0–700 m ,3.22 ± 1.61 ,0.20 ± 0.10
1969-1993,700–2000 m ,0.97 ± 0.64 ,0.06 ± 0.04
