Model Year,Regulatory Class,Vehicle Type,Reported quantity,Reported value
1975,All,All,Production Share,1.0
1975,Car,All Car,Production Share,0.807
1975,Car,Sedan/Wagon,Production Share,0.806
1975,Truck,All Truck,Production Share,0.193
1975,Truck,Pickup,Production Share,0.131
1975,Truck,Minivan/Van,Production Share,0.045
1975,Truck,Truck SUV,Production Share,0.017
1975,Car,Car SUV,Production Share,0.001
1976,All,All,Production Share,1.0
1976,Car,All Car,Production Share,0.789
1976,Car,Sedan/Wagon,Production Share,0.788
1976,Truck,All Truck,Production Share,0.211
1976,Truck,Pickup,Production Share,0.151
1976,Truck,Minivan/Van,Production Share,0.041
1976,Truck,Truck SUV,Production Share,0.019
1976,Car,Car SUV,Production Share,0.001
1977,All,All,Production Share,1.0
1977,Car,All Car,Production Share,0.801
1977,Car,Sedan/Wagon,Production Share,0.8
1977,Truck,All Truck,Production Share,0.199
1977,Truck,Pickup,Production Share,0.143
1977,Truck,Minivan/Van,Production Share,0.036
1977,Truck,Truck SUV,Production Share,0.019
1977,Car,Car SUV,Production Share,0.001
1978,All,All,Production Share,1.0
1978,Car,All Car,Production Share,0.775
1978,Car,Sedan/Wagon,Production Share,0.773
1978,Truck,All Truck,Production Share,0.225
1978,Truck,Pickup,Production Share,0.157
1978,Truck,Minivan/Van,Production Share,0.043
1978,Truck,Truck SUV,Production Share,0.025
1978,Car,Car SUV,Production Share,0.001
1979,All,All,Production Share,1.0
1979,Car,All Car,Production Share,0.779
1979,Car,Sedan/Wagon,Production Share,0.778
1979,Truck,All Truck,Production Share,0.221
1979,Truck,Pickup,Production Share,0.159
1979,Truck,Minivan/Van,Production Share,0.035
1979,Truck,Truck SUV,Production Share,0.028
1979,Car,Car SUV,Production Share,0.001
1980,All,All,Production Share,1.0
1980,Car,All Car,Production Share,0.835
1980,Car,Sedan/Wagon,Production Share,0.835
1980,Truck,All Truck,Production Share,0.165
1980,Truck,Pickup,Production Share,0.127
1980,Truck,Minivan/Van,Production Share,0.021
1980,Truck,Truck SUV,Production Share,0.016
1980,Car,Car SUV,Production Share,0.0
1981,All,All,Production Share,1.0
1981,Car,All Car,Production Share,0.828
1981,Car,Sedan/Wagon,Production Share,0.827
1981,Truck,All Truck,Production Share,0.172
1981,Truck,Pickup,Production Share,0.136
1981,Truck,Minivan/Van,Production Share,0.023
1981,Truck,Truck SUV,Production Share,0.013
1981,Car,Car SUV,Production Share,0.0
1982,All,All,Production Share,1.0
1982,Car,All Car,Production Share,0.805
1982,Car,Sedan/Wagon,Production Share,0.803
1982,Truck,All Truck,Production Share,0.195
1982,Truck,Pickup,Production Share,0.148
1982,Truck,Minivan/Van,Production Share,0.032
1982,Truck,Truck SUV,Production Share,0.015
1982,Car,Car SUV,Production Share,0.001
1983,All,All,Production Share,1.0
1983,Car,All Car,Production Share,0.78
1983,Car,Sedan/Wagon,Production Share,0.777
1983,Truck,All Truck,Production Share,0.22
1983,Truck,Pickup,Production Share,0.158
1983,Truck,Minivan/Van,Production Share,0.037
1983,Truck,Truck SUV,Production Share,0.025
1983,Car,Car SUV,Production Share,0.003
1984,All,All,Production Share,1.0
1984,Car,All Car,Production Share,0.765
1984,Car,Sedan/Wagon,Production Share,0.761
1984,Truck,All Truck,Production Share,0.235
1984,Truck,Pickup,Production Share,0.146
1984,Truck,Minivan/Van,Production Share,0.048
1984,Truck,Truck SUV,Production Share,0.041
1984,Car,Car SUV,Production Share,0.004
1985,All,All,Production Share,1.0
1985,Car,All Car,Production Share,0.752
1985,Car,Sedan/Wagon,Production Share,0.746
1985,Truck,All Truck,Production Share,0.248
1985,Truck,Pickup,Production Share,0.144
1985,Truck,Minivan/Van,Production Share,0.059
1985,Truck,Truck SUV,Production Share,0.045
1985,Car,Car SUV,Production Share,0.006
1986,All,All,Production Share,1.0
1986,Car,All Car,Production Share,0.721
1986,Car,Sedan/Wagon,Production Share,0.717
1986,Truck,All Truck,Production Share,0.279
1986,Truck,Pickup,Production Share,0.165
1986,Truck,Minivan/Van,Production Share,0.068
1986,Truck,Truck SUV,Production Share,0.046
1986,Car,Car SUV,Production Share,0.004
1987,All,All,Production Share,1.0
1987,Car,All Car,Production Share,0.728
1987,Car,Sedan/Wagon,Production Share,0.722
1987,Truck,All Truck,Production Share,0.272
1987,Truck,Pickup,Production Share,0.144
1987,Truck,Minivan/Van,Production Share,0.075
1987,Truck,Truck SUV,Production Share,0.052
1987,Car,Car SUV,Production Share,0.006
1988,All,All,Production Share,1.0
1988,Car,All Car,Production Share,0.709
1988,Car,Sedan/Wagon,Production Share,0.702
1988,Truck,All Truck,Production Share,0.291
1988,Truck,Pickup,Production Share,0.161
1988,Truck,Minivan/Van,Production Share,0.074
1988,Truck,Truck SUV,Production Share,0.056
1988,Car,Car SUV,Production Share,0.007
1989,All,All,Production Share,1.0
1989,Car,All Car,Production Share,0.701
1989,Car,Sedan/Wagon,Production Share,0.693
1989,Truck,All Truck,Production Share,0.299
1989,Truck,Pickup,Production Share,0.154
1989,Truck,Minivan/Van,Production Share,0.088
1989,Truck,Truck SUV,Production Share,0.057
1989,Car,Car SUV,Production Share,0.007
1990,All,All,Production Share,1.0
1990,Car,All Car,Production Share,0.704
1990,Car,Sedan/Wagon,Production Share,0.698
1990,Truck,All Truck,Production Share,0.296
1990,Truck,Pickup,Production Share,0.145
1990,Truck,Minivan/Van,Production Share,0.1
1990,Truck,Truck SUV,Production Share,0.051
1990,Car,Car SUV,Production Share,0.005
1991,All,All,Production Share,1.0
1991,Car,All Car,Production Share,0.696
1991,Car,Sedan/Wagon,Production Share,0.678
1991,Truck,All Truck,Production Share,0.304
