Year,Month,Extent,Units
1979,January,15414000.0,km^2
1980,January,14862000.0,km^2
1981,January,14910000.0,km^2
1982,January,15177000.0,km^2
1983,January,14942000.0,km^2
1984,January,14473000.0,km^2
1985,January,14725000.0,km^2
1986,January,14890000.0,km^2
1987,January,14970000.0,km^2
1989,January,14955000.0,km^2
1990,January,14783000.0,km^2
1991,January,14364000.0,km^2
1992,January,14643000.0,km^2
1993,January,14896000.0,km^2
1994,January,14730000.0,km^2
1995,January,14586000.0,km^2
1996,January,14181000.0,km^2
1997,January,14417000.0,km^2
1998,January,14721000.0,km^2
1999,January,14359000.0,km^2
2000,January,14220000.0,km^2
2001,January,14203000.0,km^2
2002,January,14273000.0,km^2
2003,January,14391000.0,km^2
2004,January,14026000.0,km^2
2005,January,13661000.0,km^2
2006,January,13466000.0,km^2
2007,January,13703000.0,km^2
2008,January,13887000.0,km^2
2009,January,13914000.0,km^2
2010,January,13739000.0,km^2
2011,January,13464000.0,km^2
2012,January,13729000.0,km^2
2013,January,13703000.0,km^2
2014,January,13648000.0,km^2
2015,January,13602000.0,km^2
2016,January,13457000.0,km^2
2017,January,13190000.0,km^2
2018,January,13077000.0,km^2
2019,January,13567000.0,km^2
2020,January,13636000.0,km^2
2021,January,13476000.0,km^2
1979,February,16175000.0,km^2
1980,February,15955000.0,km^2
1981,February,15604000.0,km^2
1982,February,15974000.0,km^2
1983,February,16006000.0,km^2
1984,February,15299000.0,km^2
1985,February,15466000.0,km^2
1986,February,15785000.0,km^2
1987,February,16050000.0,km^2
1988,February,15583000.0,km^2
1989,February,15495000.0,km^2
1990,February,15578000.0,km^2
1991,February,15249000.0,km^2
1992,February,15462000.0,km^2
1993,February,15686000.0,km^2
1994,February,15562000.0,km^2
1995,February,15226000.0,km^2
1996,February,15155000.0,km^2
1997,February,15437000.0,km^2
1998,February,15746000.0,km^2
1999,February,15309000.0,km^2
2000,February,15141000.0,km^2
2001,February,15211000.0,km^2
2002,February,15342000.0,km^2
2003,February,15193000.0,km^2
2004,February,14914000.0,km^2
2005,February,14373000.0,km^2
2006,February,14325000.0,km^2
2007,February,14513000.0,km^2
2008,February,14953000.0,km^2
2009,February,14812000.0,km^2
2010,February,14581000.0,km^2
2011,February,14363000.0,km^2
2012,February,14553000.0,km^2
2013,February,14723000.0,km^2
2014,February,14418000.0,km^2
2015,February,14401000.0,km^2
2016,February,14203000.0,km^2
2017,February,14120000.0,km^2
2018,February,13967000.0,km^2
2019,February,14394000.0,km^2
2020,February,14642000.0,km^2
