,year,month,data-type,region,extent_million_sq_km,area_million_sq_km
0,1979,1,      Goddard,      N,15.41,12.41
1,1980,1,      Goddard,      N,14.86,11.94
2,1981,1,      Goddard,      N,14.91,11.91
3,1982,1,      Goddard,      N,15.18,12.19
4,1983,1,      Goddard,      N,14.94,12.01
5,1984,1,      Goddard,      N,14.47,11.68
6,1985,1,      Goddard,      N,14.72,11.69
7,1986,1,      Goddard,      N,14.89,11.88
8,1987,1,      Goddard,      N,14.97,11.9
9,1988,1,        -9999,      N,-9999.0,-9999.0
10,1989,1,      Goddard,      N,14.95,13.18
11,1990,1,      Goddard,      N,14.78,12.8
12,1991,1,      Goddard,      N,14.36,12.57
13,1992,1,      Goddard,      N,14.64,12.61
14,1993,1,      Goddard,      N,14.9,12.93
15,1994,1,      Goddard,      N,14.73,12.88
16,1995,1,      Goddard,      N,14.59,12.79
17,1996,1,      Goddard,      N,14.18,12.15
18,1997,1,      Goddard,      N,14.42,12.39
19,1998,1,      Goddard,      N,14.72,12.81
20,1999,1,      Goddard,      N,14.36,12.6
21,2000,1,      Goddard,      N,14.22,12.3
22,2001,1,      Goddard,      N,14.2,12.35
23,2002,1,      Goddard,      N,14.27,12.26
24,2003,1,      Goddard,      N,14.39,12.29
25,2004,1,      Goddard,      N,14.03,12.26
26,2005,1,      Goddard,      N,13.66,11.92
27,2006,1,      Goddard,      N,13.47,11.65
28,2007,1,      Goddard,      N,13.7,11.86
29,2008,1,      Goddard,      N,13.89,12.3
30,2009,1,      Goddard,      N,13.91,12.32
31,2010,1,      Goddard,      N,13.74,12.04
32,2011,1,      Goddard,      N,13.46,11.83
33,2012,1,      Goddard,      N,13.73,12.21
34,2013,1,      Goddard,      N,13.7,12.02
35,2014,1,      Goddard,      N,13.65,12.1
36,2015,1,      Goddard,      N,13.6,12.17
37,2016,1,      Goddard,      N,13.46,11.8
38,2017,1,      Goddard,      N,13.19,11.37
39,2018,1,      Goddard,      N,13.08,11.7
40,2019,1,      Goddard,      N,13.57,12.14
41,2020,1,      NRTSI-G,      N,13.65,12.11
42,1979,2,      Goddard,      N,16.18,13.18
43,1980,2,      Goddard,      N,15.96,12.9
44,1981,2,      Goddard,      N,15.6,12.53
45,1982,2,      Goddard,      N,15.97,12.87
46,1983,2,      Goddard,      N,16.01,12.94
47,1984,2,      Goddard,      N,15.3,12.26
48,1985,2,      Goddard,      N,15.47,12.48
49,1986,2,      Goddard,      N,15.78,12.62
50,1987,2,      Goddard,      N,16.05,13.02
51,1988,2,      Goddard,      N,15.58,13.57
52,1989,2,      Goddard,      N,15.5,13.36
53,1990,2,      Goddard,      N,15.58,13.42
54,1991,2,      Goddard,      N,15.25,13.22
55,1992,2,      Goddard,      N,15.46,13.58
56,1993,2,      Goddard,      N,15.69,13.61
57,1994,2,      Goddard,      N,15.56,13.52
58,1995,2,      Goddard,      N,15.23,13.37
59,1996,2,      Goddard,      N,15.15,12.98
60,1997,2,      Goddard,      N,15.44,13.44
61,1998,2,      Goddard,      N,15.75,13.77
62,1999,2,      Goddard,      N,15.31,13.45
63,2000,2,      Goddard,      N,15.14,13.09
64,2001,2,      Goddard,      N,15.21,13.22
65,2002,2,      Goddard,      N,15.34,13.42
66,2003,2,      Goddard,      N,15.19,13.23
67,2004,2,      Goddard,      N,14.91,12.94
68,2005,2,      Goddard,      N,14.37,12.35
69,2006,2,      Goddard,      N,14.32,12.35
70,2007,2,      Goddard,      N,14.51,12.58
71,2008,2,      Goddard,      N,14.95,13.21
72,2009,2,      Goddard,      N,14.81,13.21
73,2010,2,      Goddard,      N,14.58,12.96
74,2011,2,      Goddard,      N,14.36,12.76
75,2012,2,      Goddard,      N,14.55,12.72
76,2013,2,      Goddard,      N,14.72,13.2
77,2014,2,      Goddard,      N,14.42,12.56
78,2015,2,      Goddard,      N,14.4,12.85
79,2016,2,      Goddard,      N,14.2,12.43
80,2017,2,      Goddard,      N,14.12,12.32
81,2018,2,      Goddard,      N,13.97,12.31
82,2019,2,      Goddard,      N,14.39,12.76
83,2020,2,      NRTSI-G,      N,14.68,12.91
84,1979,3,      Goddard,      N,16.34,13.21
85,1980,3,      Goddard,      N,16.04,12.99
86,1981,3,      Goddard,      N,15.63,12.71
87,1982,3,      Goddard,      N,16.04,13.07
88,1983,3,      Goddard,      N,16.09,12.93
89,1984,3,      Goddard,      N,15.58,12.55
90,1985,3,      Goddard,      N,15.89,12.75
91,1986,3,      Goddard,      N,15.91,12.72
92,1987,3,      Goddard,      N,15.82,12.83
93,1988,3,      Goddard,      N,15.96,13.9
94,1989,3,      Goddard,      N,15.42,13.21
95,1990,3,      Goddard,      N,15.87,13.51
96,1991,3,      Goddard,      N,15.42,13.42
97,1992,3,      Goddard,      N,15.48,13.48
98,1993,3,      Goddard,      N,15.81,13.77
99,1994,3,      Goddard,      N,15.55,13.55
100,1995,3,      Goddard,      N,15.26,13.34
101,1996,3,      Goddard,      N,15.12,12.9
102,1997,3,      Goddard,      N,15.47,13.3
103,1998,3,      Goddard,      N,15.6,13.57
104,1999,3,      Goddard,      N,15.4,13.54
105,2000,3,      Goddard,      N,15.22,13.17
106,2001,3,      Goddard,      N,15.52,13.64
107,2002,3,      Goddard,      N,15.35,13.42
108,2003,3,      Goddard,      N,15.48,13.42
109,2004,3,      Goddard,      N,14.99,12.99
110,2005,3,      Goddard,      N,14.69,12.74
111,2006,3,      Goddard,      N,14.42,12.52
112,2007,3,      Goddard,      N,14.54,12.56
113,2008,3,      Goddard,      N,15.18,13.53
114,2009,3,      Goddard,      N,14.98,13.43
115,2010,3,      Goddard,      N,15.14,13.53
116,2011,3,      Goddard,      N,14.55,12.83
117,2012,3,      Goddard,      N,15.2,13.41
118,2013,3,      Goddard,      N,15.03,13.45
119,2014,3,      Goddard,      N,14.76,12.95
120,2015,3,      Goddard,      N,14.37,12.78
121,2016,3,      Goddard,      N,14.4,12.61
122,2017,3,      Goddard,      N,14.29,12.61
123,2018,3,      Goddard,      N,14.3,12.69
124,2019,3,      Goddard,      N,14.57,12.89
125,2020,3,      NRTSI-G,      N,14.78,12.97
126,1979,4,      Goddard,      N,15.45,12.53
127,1980,4,      Goddard,      N,15.43,12.52
128,1981,4,      Goddard,      N,15.01,12.24
129,1982,4,      Goddard,      N,15.47,12.63
130,1983,4,      Goddard,      N,15.17,12.21
131,1984,4,      Goddard,      N,15.01,12.18
132,1985,4,      Goddard,      N,15.36,12.54
133,1986,4,      Goddard,      N,15.06,12.04
134,1987,4,      Goddard,      N,15.21,12.35
135,1988,4,      Goddard,      N,15.12,13.18
136,1989,4,      Goddard,      N,14.33,12.36
137,1990,4,      Goddard,      N,14.65,12.28
138,1991,4,      Goddard,      N,14.86,12.87
139,1992,4,      Goddard,      N,14.68,12.84
140,1993,4,      Goddard,      N,15.08,13.03
141,1994,4,      Goddard,      N,14.89,12.91
142,1995,4,      Goddard,      N,14.45,12.4
143,1996,4,      Goddard,      N,14.22,12.32
144,1997,4,      Goddard,      N,14.56,12.57
145,1998,4,      Goddard,      N,14.89,12.85
146,1999,4,      Goddard,      N,15.08,13.15
147,2000,4,      Goddard,      N,14.56,12.6
148,2001,4,      Goddard,      N,14.86,13.05
149,2002,4,      Goddard,      N,14.3,12.41
150,2003,4,      Goddard,      N,14.51,12.46
151,2004,4,      Goddard,      N,13.99,12.16
152,2005,4,      Goddard,      N,14.09,12.23
153,2006,4,      Goddard,      N,13.91,12.04
154,2007,4,      Goddard,      N,13.85,11.83
155,2008,4,      Goddard,      N,14.35,12.78
156,2009,4,      Goddard,      N,14.5,12.92
157,2010,4,      Goddard,      N,14.66,12.85
158,2011,4,      Goddard,      N,14.11,12.45
159,2012,4,      Goddard,      N,14.63,12.87
160,2013,4,      Goddard,      N,14.3,12.75
161,2014,4,      Goddard,      N,14.09,12.43
162,2015,4,      Goddard,      N,13.89,12.33
163,2016,4,      Goddard,      N,13.68,11.98
164,2017,4,      Goddard,      N,13.75,12.26
