Year,Month,Area,Units
1979,January,12406000.0,km^2
1980,January,11938000.0,km^2
1981,January,11907000.0,km^2
1982,January,12192000.0,km^2
1983,January,12010000.0,km^2
1984,January,11683000.0,km^2
1985,January,11695000.0,km^2
1986,January,11882000.0,km^2
1987,January,11897000.0,km^2
1989,January,13179000.0,km^2
1990,January,12805000.0,km^2
1991,January,12568000.0,km^2
1992,January,12614000.0,km^2
1993,January,12926000.0,km^2
1994,January,12875000.0,km^2
1995,January,12785000.0,km^2
1996,January,12152000.0,km^2
1997,January,12395000.0,km^2
1998,January,12806000.0,km^2
1999,January,12602000.0,km^2
2000,January,12304000.0,km^2
2001,January,12354000.0,km^2
2002,January,12261000.0,km^2
2003,January,12289000.0,km^2
2004,January,12263000.0,km^2
2005,January,11922000.0,km^2
2006,January,11651000.0,km^2
2007,January,11861000.0,km^2
2008,January,12297000.0,km^2
2009,January,12316000.0,km^2
2010,January,12041000.0,km^2
2011,January,11827000.0,km^2
2012,January,12214000.0,km^2
2013,January,12021000.0,km^2
2014,January,12100000.0,km^2
2015,January,12170000.0,km^2
2016,January,11802000.0,km^2
2017,January,11366000.0,km^2
2018,January,11696000.0,km^2
2019,January,12144000.0,km^2
2020,January,12148000.0,km^2
2021,January,11711000.0,km^2
1979,February,13181000.0,km^2
1980,February,12901000.0,km^2
1981,February,12533000.0,km^2
1982,February,12868000.0,km^2
1983,February,12942000.0,km^2
1984,February,12257000.0,km^2
1985,February,12480000.0,km^2
1986,February,12617000.0,km^2
1987,February,13021000.0,km^2
1988,February,13574000.0,km^2
1989,February,13364000.0,km^2
1990,February,13416000.0,km^2
1991,February,13224000.0,km^2
1992,February,13583000.0,km^2
1993,February,13613000.0,km^2
1994,February,13523000.0,km^2
1995,February,13369000.0,km^2
1996,February,12979000.0,km^2
1997,February,13438000.0,km^2
1998,February,13768000.0,km^2
1999,February,13451000.0,km^2
2000,February,13088000.0,km^2
2001,February,13220000.0,km^2
2002,February,13421000.0,km^2
2003,February,13227000.0,km^2
2004,February,12941000.0,km^2
2005,February,12348000.0,km^2
2006,February,12354000.0,km^2
2007,February,12579000.0,km^2
2008,February,13209000.0,km^2
2009,February,13214000.0,km^2
2010,February,12962000.0,km^2
2011,February,12757000.0,km^2
