Year,Month,Area,Units
1979,January,3474000.0,km^2
1980,January,3082000.0,km^2
1981,January,2841000.0,km^2
1982,January,3251000.0,km^2
1983,January,3207000.0,km^2
1984,January,2934000.0,km^2
1985,January,2874000.0,km^2
1986,January,3428000.0,km^2
1987,January,3307000.0,km^2
1989,January,3170000.0,km^2
1990,January,3388000.0,km^2
1991,January,3517000.0,km^2
1992,January,3235000.0,km^2
1993,January,2548000.0,km^2
1994,January,3372000.0,km^2
1995,January,3730000.0,km^2
1996,January,3548000.0,km^2
1997,January,2769000.0,km^2
1998,January,3039000.0,km^2
1999,January,3108000.0,km^2
2000,January,2921000.0,km^2
2001,January,3638000.0,km^2
2002,January,2950000.0,km^2
2003,January,4113000.0,km^2
2004,January,3800000.0,km^2
2005,January,3178000.0,km^2
2006,January,2807000.0,km^2
2007,January,3001000.0,km^2
2008,January,4071000.0,km^2
2009,January,3499000.0,km^2
2010,January,3334000.0,km^2
2011,January,3048000.0,km^2
2012,January,3713000.0,km^2
2013,January,3943000.0,km^2
2014,January,4377000.0,km^2
2015,January,4336000.0,km^2
2016,January,3027000.0,km^2
2017,January,2564000.0,km^2
2018,January,2687000.0,km^2
2019,January,2659000.0,km^2
2020,January,3093000.0,km^2
2021,January,2849000.0,km^2
1979,February,2107000.0,km^2
1980,February,1847000.0,km^2
1981,February,1737000.0,km^2
1982,February,1860000.0,km^2
1983,February,1906000.0,km^2
1984,February,1752000.0,km^2
1985,February,1835000.0,km^2
1986,February,1996000.0,km^2
1987,February,1999000.0,km^2
1988,February,1900000.0,km^2
1989,February,2026000.0,km^2
1990,February,2205000.0,km^2
1991,February,2091000.0,km^2
1992,February,1856000.0,km^2
1993,February,1373000.0,km^2
1994,February,2225000.0,km^2
1995,February,2188000.0,km^2
1996,February,1768000.0,km^2
1997,February,1717000.0,km^2
1998,February,1868000.0,km^2
1999,February,1774000.0,km^2
2000,February,1719000.0,km^2
2001,February,2445000.0,km^2
2002,February,1817000.0,km^2
2003,February,2659000.0,km^2
2004,February,2361000.0,km^2
2005,February,1968000.0,km^2
2006,February,1758000.0,km^2
2007,February,1940000.0,km^2
2008,February,2400000.0,km^2
2009,February,1970000.0,km^2
2010,February,2108000.0,km^2
2011,February,1857000.0,km^2
2012,February,2191000.0,km^2
2013,February,2579000.0,km^2
2014,February,2651000.0,km^2
2015,February,2539000.0,km^2
2016,February,1855000.0,km^2
2017,February,1641000.0,km^2
2018,February,1627000.0,km^2
2019,February,1813000.0,km^2
2020,February,1832000.0,km^2
2021,February,1678000.0,km^2
1979,March,2663000.0,km^2
1980,March,2110000.0,km^2
1981,March,2155000.0,km^2
1982,March,2841000.0,km^2
1983,March,2616000.0,km^2
1984,March,2345000.0,km^2
1985,March,2538000.0,km^2
1986,March,2379000.0,km^2
1987,March,2747000.0,km^2
1988,March,2590000.0,km^2
1989,March,2587000.0,km^2
1990,March,2793000.0,km^2
1991,March,2654000.0,km^2
1992,March,2467000.0,km^2
1993,March,2238000.0,km^2
1994,March,3199000.0,km^2
1995,March,3011000.0,km^2
1996,March,2649000.0,km^2
1997,March,2297000.0,km^2
1998,March,2705000.0,km^2
1999,March,2576000.0,km^2
2000,March,2665000.0,km^2
2001,March,3356000.0,km^2
2002,March,2363000.0,km^2
2003,March,3238000.0,km^2
2004,March,3164000.0,km^2
2005,March,2735000.0,km^2
2006,March,2014000.0,km^2
2007,March,2543000.0,km^2
2008,March,3676000.0,km^2
2009,March,3015000.0,km^2
2010,March,2664000.0,km^2
2011,March,2255000.0,km^2
2012,March,2909000.0,km^2
2013,March,3488000.0,km^2
2014,March,3320000.0,km^2
2015,March,3448000.0,km^2
2016,March,2774000.0,km^2
2017,March,1833000.0,km^2
2018,March,2313000.0,km^2
2019,March,2099000.0,km^2
2020,March,2592000.0,km^2
2021,March,2787000.0,km^2
1979,April,5452000.0,km^2
1980,April,3678000.0,km^2
1981,April,4073000.0,km^2
1982,April,5792000.0,km^2
1983,April,4696000.0,km^2
1984,April,4528000.0,km^2
1985,April,4742000.0,km^2
1986,April,4558000.0,km^2
1987,April,5044000.0,km^2
1988,April,4436000.0,km^2
1989,April,4496000.0,km^2
1990,April,5180000.0,km^2
1991,April,5181000.0,km^2
1992,April,4997000.0,km^2
1993,April,4900000.0,km^2
1994,April,5455000.0,km^2
1995,April,5404000.0,km^2
1996,April,5365000.0,km^2
1997,April,4835000.0,km^2
1998,April,5120000.0,km^2
1999,April,5130000.0,km^2
2000,April,5306000.0,km^2
2001,April,5299000.0,km^2
2002,April,4585000.0,km^2
2003,April,5558000.0,km^2
2004,April,5395000.0,km^2
2005,April,5191000.0,km^2
2006,April,4278000.0,km^2
2007,April,4697000.0,km^2
2008,April,6234000.0,km^2
2009,April,5962000.0,km^2
2010,April,5005000.0,km^2
2011,April,4392000.0,km^2
2012,April,5551000.0,km^2
2013,April,5753000.0,km^2
2014,April,6408000.0,km^2
2015,April,6370000.0,km^2
2016,April,5377000.0,km^2
2017,April,3925000.0,km^2
2018,April,4146000.0,km^2
2019,April,4181000.0,km^2
2020,April,4811000.0,km^2
2021,April,5258000.0,km^2
1979,May,8299000.0,km^2
1980,May,6437000.0,km^2
1981,May,7077000.0,km^2
1982,May,8273000.0,km^2
1983,May,7159000.0,km^2
1984,May,7413000.0,km^2
1985,May,7839000.0,km^2
1986,May,7040000.0,km^2
1987,May,7534000.0,km^2
1988,May,7228000.0,km^2
1989,May,7999000.0,km^2
1990,May,7463000.0,km^2
1991,May,7855000.0,km^2
1992,May,7622000.0,km^2
1993,May,7885000.0,km^2
1994,May,8208000.0,km^2
1995,May,8189000.0,km^2
1996,May,8655000.0,km^2
1997,May,7910000.0,km^2
1998,May,7911000.0,km^2
1999,May,8073000.0,km^2
2000,May,8562000.0,km^2
2001,May,8000000.0,km^2
2002,May,7175000.0,km^2
2003,May,8452000.0,km^2
2004,May,8186000.0,km^2
2005,May,7957000.0,km^2
2006,May,7199000.0,km^2
2007,May,7544000.0,km^2
2008,May,8597000.0,km^2
2009,May,8463000.0,km^2
2010,May,8335000.0,km^2
2011,May,7848000.0,km^2
2012,May,8150000.0,km^2
2013,May,8486000.0,km^2
2014,May,9029000.0,km^2
2015,May,9209000.0,km^2
2016,May,7913000.0,km^2
2017,May,6832000.0,km^2
2018,May,7155000.0,km^2
2019,May,6844000.0,km^2
2020,May,7615000.0,km^2
2021,May,8155000.0,km^2
1979,June,11224000.0,km^2
1980,June,9581000.0,km^2
1981,June,10163000.0,km^2
1982,June,10498000.0,km^2
1983,June,9769000.0,km^2
1984,June,10645000.0,km^2
1985,June,10506000.0,km^2
1986,June,9720000.0,km^2
1987,June,9910000.0,km^2
1988,June,10278000.0,km^2
1989,June,10814000.0,km^2
1990,June,10353000.0,km^2
1991,June,9986000.0,km^2
1992,June,10004000.0,km^2
1993,June,10369000.0,km^2
1994,June,10733000.0,km^2
1995,June,10455000.0,km^2
1996,June,11090000.0,km^2
1997,June,10215000.0,km^2
1998,June,10339000.0,km^2
1999,June,10827000.0,km^2
2000,June,11037000.0,km^2
2001,June,10556000.0,km^2
2002,June,9695000.0,km^2
2003,June,11158000.0,km^2
2004,June,10890000.0,km^2
2005,June,10312000.0,km^2
2006,June,10579000.0,km^2
2007,June,10479000.0,km^2
2008,June,11401000.0,km^2
2009,June,11093000.0,km^2
2010,June,11647000.0,km^2
2011,June,10544000.0,km^2
2012,June,10786000.0,km^2
2013,June,11267000.0,km^2
2014,June,12057000.0,km^2
2015,June,11479000.0,km^2
2016,June,10607000.0,km^2
2017,June,9797000.0,km^2
2018,June,10229000.0,km^2
2019,June,9747000.0,km^2
2020,June,10593000.0,km^2
2021,June,10979000.0,km^2
1979,July,13257000.0,km^2
1980,July,12180000.0,km^2
1981,July,12777000.0,km^2
1982,July,12473000.0,km^2
1983,July,12366000.0,km^2
1984,July,13380000.0,km^2
1985,July,12480000.0,km^2
1986,July,12093000.0,km^2
1987,July,12498000.0,km^2
1988,July,12615000.0,km^2
1989,July,12578000.0,km^2
1990,July,12267000.0,km^2
1991,July,12218000.0,km^2
1992,July,12576000.0,km^2
1993,July,12721000.0,km^2
1994,July,13121000.0,km^2
1995,July,12529000.0,km^2
1996,July,12887000.0,km^2
1997,July,12749000.0,km^2
1998,July,12657000.0,km^2
1999,July,13063000.0,km^2
2000,July,12987000.0,km^2
2001,July,12576000.0,km^2
2002,July,12516000.0,km^2
2003,July,13165000.0,km^2
2004,July,13157000.0,km^2
2005,July,12720000.0,km^2
