,year,month,data-type,region,extent,area
0,1979,1,      Goddard,      S,5.4,3.47
1,1980,1,      Goddard,      S,4.56,3.08
2,1981,1,      Goddard,      S,4.41,2.84
3,1982,1,      Goddard,      S,5.26,3.25
4,1983,1,      Goddard,      S,4.77,3.21
5,1984,1,      Goddard,      S,4.78,2.93
6,1985,1,      Goddard,      S,4.46,2.87
7,1986,1,      Goddard,      S,5.42,3.43
8,1987,1,      Goddard,      S,5.13,3.31
9,1988,1,        -9999,      S,-9999.0,-9999.0
10,1989,1,      Goddard,      S,4.74,3.17
11,1990,1,      Goddard,      S,4.87,3.39
12,1991,1,      Goddard,      S,5.34,3.52
13,1992,1,      Goddard,      S,4.75,3.24
14,1993,1,      Goddard,      S,4.41,2.55
15,1994,1,      Goddard,      S,4.97,3.37
16,1995,1,      Goddard,      S,5.64,3.73
17,1996,1,      Goddard,      S,5.87,3.55
18,1997,1,      Goddard,      S,4.2,2.77
19,1998,1,      Goddard,      S,4.46,3.04
20,1999,1,      Goddard,      S,4.82,3.11
21,2000,1,      Goddard,      S,4.75,2.92
22,2001,1,      Goddard,      S,5.23,3.64
23,2002,1,      Goddard,      S,4.74,2.95
24,2003,1,      Goddard,      S,5.77,4.11
25,2004,1,      Goddard,      S,5.59,3.8
26,2005,1,      Goddard,      S,4.75,3.18
27,2006,1,      Goddard,      S,4.16,2.81
28,2007,1,      Goddard,      S,4.67,3.0
29,2008,1,      Goddard,      S,6.41,4.07
30,2009,1,      Goddard,      S,5.71,3.5
31,2010,1,      Goddard,      S,4.96,3.33
32,2011,1,      Goddard,      S,4.51,3.05
33,2012,1,      Goddard,      S,5.65,3.71
34,2013,1,      Goddard,      S,5.54,3.94
35,2014,1,      Goddard,      S,6.33,4.38
36,2015,1,      Goddard,      S,6.85,4.34
37,2016,1,      Goddard,      S,4.69,3.03
38,2017,1,      Goddard,      S,3.78,2.56
39,2018,1,      Goddard,      S,4.21,2.69
40,2019,1,      Goddard,      S,3.87,2.66
41,2020,1,      NRTSI-G,      S,4.51,3.01
42,1979,2,      Goddard,      S,3.14,2.11
43,1980,2,      Goddard,      S,2.82,1.85
44,1981,2,      Goddard,      S,2.87,1.74
45,1982,2,      Goddard,      S,3.13,1.86
46,1983,2,      Goddard,      S,3.07,1.91
47,1984,2,      Goddard,      S,2.68,1.75
48,1985,2,      Goddard,      S,2.84,1.83
49,1986,2,      Goddard,      S,3.19,2.0
50,1987,2,      Goddard,      S,3.25,2.0
51,1988,2,      Goddard,      S,2.89,1.9
52,1989,2,      Goddard,      S,2.98,2.03
53,1990,2,      Goddard,      S,3.04,2.21
54,1991,2,      Goddard,      S,3.16,2.09
55,1992,2,      Goddard,      S,2.84,1.86
56,1993,2,      Goddard,      S,2.48,1.37
57,1994,2,      Goddard,      S,3.2,2.22
58,1995,2,      Goddard,      S,3.56,2.19
59,1996,2,      Goddard,      S,2.98,1.77
60,1997,2,      Goddard,      S,2.49,1.72
61,1998,2,      Goddard,      S,2.99,1.87
62,1999,2,      Goddard,      S,2.97,1.77
63,2000,2,      Goddard,      S,2.91,1.72
64,2001,2,      Goddard,      S,3.65,2.44
65,2002,2,      Goddard,      S,2.96,1.82
66,2003,2,      Goddard,      S,3.79,2.66
67,2004,2,      Goddard,      S,3.58,2.36
68,2005,2,      Goddard,      S,2.97,1.97
69,2006,2,      Goddard,      S,2.65,1.76
70,2007,2,      Goddard,      S,2.9,1.94
71,2008,2,      Goddard,      S,3.89,2.4
72,2009,2,      Goddard,      S,2.99,1.97
73,2010,2,      Goddard,      S,3.11,2.11
74,2011,2,      Goddard,      S,2.52,1.86
75,2012,2,      Goddard,      S,3.55,2.19
76,2013,2,      Goddard,      S,3.84,2.58
77,2014,2,      Goddard,      S,3.84,2.65
78,2015,2,      Goddard,      S,3.8,2.54
79,2016,2,      Goddard,      S,2.79,1.86
80,2017,2,      Goddard,      S,2.29,1.64
81,2018,2,      Goddard,      S,2.33,1.63
82,2019,2,      Goddard,      S,2.65,1.81
83,2020,2,      NRTSI-G,      S,2.87,1.79
84,1979,3,      Goddard,      S,4.0,2.66
85,1980,3,      Goddard,      S,3.29,2.11
86,1981,3,      Goddard,      S,3.39,2.16
87,1982,3,      Goddard,      S,4.29,2.84
88,1983,3,      Goddard,      S,4.02,2.62
89,1984,3,      Goddard,      S,3.61,2.34
90,1985,3,      Goddard,      S,3.72,2.54
91,1986,3,      Goddard,      S,3.7,2.38
92,1987,3,      Goddard,      S,4.11,2.75
93,1988,3,      Goddard,      S,3.97,2.59
94,1989,3,      Goddard,      S,3.93,2.59
95,1990,3,      Goddard,      S,3.97,2.79
96,1991,3,      Goddard,      S,3.81,2.65
97,1992,3,      Goddard,      S,3.57,2.47
98,1993,3,      Goddard,      S,3.67,2.24
