Year,Month,Extent,Units
1979,January,5402000.0,km^2
1980,January,4562000.0,km^2
1981,January,4412000.0,km^2
1982,January,5260000.0,km^2
1983,January,4770000.0,km^2
1984,January,4779000.0,km^2
1985,January,4455000.0,km^2
1986,January,5422000.0,km^2
1987,January,5126000.0,km^2
1989,January,4737000.0,km^2
1990,January,4867000.0,km^2
1991,January,5338000.0,km^2
1992,January,4749000.0,km^2
1993,January,4409000.0,km^2
1994,January,4966000.0,km^2
1995,January,5636000.0,km^2
1996,January,5871000.0,km^2
1997,January,4197000.0,km^2
1998,January,4465000.0,km^2
1999,January,4816000.0,km^2
2000,January,4749000.0,km^2
2001,January,5233000.0,km^2
2002,January,4740000.0,km^2
2003,January,5773000.0,km^2
2004,January,5590000.0,km^2
2005,January,4752000.0,km^2
2006,January,4164000.0,km^2
2007,January,4673000.0,km^2
2008,January,6414000.0,km^2
2009,January,5707000.0,km^2
2010,January,4958000.0,km^2
2011,January,4512000.0,km^2
2012,January,5654000.0,km^2
2013,January,5543000.0,km^2
2014,January,6327000.0,km^2
2015,January,6852000.0,km^2
2016,January,4689000.0,km^2
2017,January,3784000.0,km^2
2018,January,4211000.0,km^2
2019,January,3868000.0,km^2
2020,January,4598000.0,km^2
2021,January,4666000.0,km^2
1979,February,3141000.0,km^2
1980,February,2818000.0,km^2
1981,February,2873000.0,km^2
1982,February,3129000.0,km^2
1983,February,3070000.0,km^2
1984,February,2677000.0,km^2
1985,February,2836000.0,km^2
1986,February,3193000.0,km^2
1987,February,3254000.0,km^2
1988,February,2886000.0,km^2
1989,February,2978000.0,km^2
1990,February,3036000.0,km^2
1991,February,3161000.0,km^2
1992,February,2837000.0,km^2
1993,February,2482000.0,km^2
1994,February,3197000.0,km^2
1995,February,3561000.0,km^2
1996,February,2985000.0,km^2
1997,February,2490000.0,km^2
1998,February,2989000.0,km^2
1999,February,2966000.0,km^2
2000,February,2907000.0,km^2
2001,February,3650000.0,km^2
2002,February,2960000.0,km^2
2003,February,3789000.0,km^2
2004,February,3584000.0,km^2
2005,February,2970000.0,km^2
2006,February,2651000.0,km^2
2007,February,2905000.0,km^2
2008,February,3895000.0,km^2
2009,February,2991000.0,km^2
2010,February,3106000.0,km^2
2011,February,2519000.0,km^2
2012,February,3553000.0,km^2
2013,February,3836000.0,km^2
2014,February,3843000.0,km^2
2015,February,3799000.0,km^2
2016,February,2790000.0,km^2
2017,February,2288000.0,km^2
2018,February,2326000.0,km^2
2019,February,2655000.0,km^2
2020,February,2920000.0,km^2
2021,February,2826000.0,km^2
1979,March,3999000.0,km^2
1980,March,3295000.0,km^2
1981,March,3392000.0,km^2
1982,March,4288000.0,km^2
1983,March,4016000.0,km^2
1984,March,3612000.0,km^2
1985,March,3717000.0,km^2
1986,March,3698000.0,km^2
1987,March,4113000.0,km^2
1988,March,3966000.0,km^2
1989,March,3927000.0,km^2
1990,March,3966000.0,km^2
1991,March,3807000.0,km^2
1992,March,3573000.0,km^2
1993,March,3668000.0,km^2
1994,March,4549000.0,km^2
1995,March,4626000.0,km^2
1996,March,4184000.0,km^2
1997,March,3457000.0,km^2
1998,March,4108000.0,km^2
1999,March,3978000.0,km^2
2000,March,4086000.0,km^2
2001,March,4731000.0,km^2
2002,March,3748000.0,km^2
2003,March,4444000.0,km^2
2004,March,4526000.0,km^2
2005,March,4082000.0,km^2
2006,March,3215000.0,km^2
2007,March,3835000.0,km^2
2008,March,5284000.0,km^2
2009,March,4441000.0,km^2
2010,March,3847000.0,km^2
2011,March,3368000.0,km^2
2012,March,4550000.0,km^2
2013,March,5017000.0,km^2
2014,March,4901000.0,km^2
2015,March,4964000.0,km^2
2016,March,4069000.0,km^2
2017,March,2699000.0,km^2
2018,March,3540000.0,km^2
2019,March,3169000.0,km^2
2020,March,4003000.0,km^2
2021,March,4452000.0,km^2
1979,April,7486000.0,km^2
1980,April,5405000.0,km^2
1981,April,5838000.0,km^2
1982,April,7723000.0,km^2
1983,April,6470000.0,km^2
1984,April,6422000.0,km^2
1985,April,6493000.0,km^2
1986,April,6386000.0,km^2
1987,April,6797000.0,km^2
1988,April,6288000.0,km^2
1989,April,6306000.0,km^2
1990,April,7000000.0,km^2
1991,April,7053000.0,km^2
1992,April,6794000.0,km^2
1993,April,6652000.0,km^2
1994,April,7222000.0,km^2
1995,April,7268000.0,km^2
1996,April,7280000.0,km^2
1997,April,6492000.0,km^2
1998,April,6854000.0,km^2
1999,April,6892000.0,km^2
2000,April,7132000.0,km^2
2001,April,7044000.0,km^2
2002,April,6328000.0,km^2
2003,April,7208000.0,km^2
2004,April,7280000.0,km^2
2005,April,7032000.0,km^2
2006,April,6010000.0,km^2
2007,April,6418000.0,km^2
2008,April,8242000.0,km^2
2009,April,7798000.0,km^2
2010,April,6715000.0,km^2
2011,April,6097000.0,km^2
2012,April,7309000.0,km^2
2013,April,7623000.0,km^2
2014,April,8343000.0,km^2
2015,April,8373000.0,km^2
2016,April,7222000.0,km^2
2017,April,5436000.0,km^2
2018,April,6033000.0,km^2
2019,April,5718000.0,km^2
2020,April,6662000.0,km^2
2021,April,7081000.0,km^2
1979,May,10827000.0,km^2
1980,May,8857000.0,km^2
1981,May,9355000.0,km^2
1982,May,10758000.0,km^2
1983,May,9526000.0,km^2
1984,May,9748000.0,km^2
1985,May,10153000.0,km^2
1986,May,9296000.0,km^2
1987,May,9694000.0,km^2
1988,May,9602000.0,km^2
1989,May,10297000.0,km^2
1990,May,9716000.0,km^2
1991,May,10279000.0,km^2
1992,May,9925000.0,km^2
1993,May,10104000.0,km^2
1994,May,10408000.0,km^2
1995,May,10416000.0,km^2
1996,May,10917000.0,km^2
1997,May,10124000.0,km^2
1998,May,10328000.0,km^2
1999,May,10265000.0,km^2
2000,May,10921000.0,km^2
2001,May,10330000.0,km^2
2002,May,9512000.0,km^2
2003,May,10736000.0,km^2
2004,May,10470000.0,km^2
2005,May,10289000.0,km^2
2006,May,9456000.0,km^2
2007,May,9648000.0,km^2
2008,May,11049000.0,km^2
2009,May,10926000.0,km^2
2010,May,10639000.0,km^2
2011,May,10093000.0,km^2
2012,May,10457000.0,km^2
2013,May,10920000.0,km^2
2014,May,11519000.0,km^2
2015,May,11716000.0,km^2
2016,May,10102000.0,km^2
2017,May,9014000.0,km^2
2018,May,9321000.0,km^2
2019,May,8852000.0,km^2
2020,May,9871000.0,km^2
2021,May,10334000.0,km^2
1979,June,14187000.0,km^2
1980,June,12490000.0,km^2
1981,June,13109000.0,km^2
1982,June,13417000.0,km^2
1983,June,12643000.0,km^2
