Emission totals,Regions,GLOBAL
Biomass and Biofuel Burning,TM5-4Dvar/GOSAT1,29.8
Biomass and Biofuel Burning,TM5-4Dvar/GOSAT2,27.9
Biomass and Biofuel Burning,TM5-4Dvar/SURF1,28.3
Biomass and Biofuel Burning,TM5-4Dvar/SURF2,26.3
Biomass and Biofuel Burning,TM5-CAMS/GOSAT,30.2
Biomass and Biofuel Burning,TM5-CAMS/SURF,31.7
Soil Sink,CTE-CH4/GOSAT,37.9
Soil Sink,CTE-CH4/SURF,37.9
Soil Sink,NICAM-TM/4DVar,36.6
Soil Sink,NIES-TM-FLEXPART/GOSAT,38.2
Soil Sink,NIES-TM-FLEXPART/SURF,38.2
Soil Sink,PYVARLMDZ/GOSAT1,37.9
Soil Sink,PYVARLMDZ/GOSAT2,37.9
Soil Sink,PYVARLMDZ/GOSAT3,38.3
Soil Sink,PYVARLMDZ/GOSAT4,38.3
Soil Sink,PYVARLMDZ/GOSAT5,38.3
Soil Sink,PYVARLMDZ/GOSAT6,38.3
Soil Sink,TM5-4Dvar/GOSAT1,43.6
Soil Sink,TM5-4Dvar/GOSAT2,41.5
Soil Sink,TM5-4Dvar/SURF1,39.9
Soil Sink,TM5-4Dvar/SURF2,39.5
Soil Sink,TM5-CAMS/GOSAT,47.0
Soil Sink,TM5-CAMS/SURF,41.2
