Emissions by sectors,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Other Natural Sources - Posterior,MIROC4-ACTM-Cao/SURF,46.53,31.21,11.21,4.11,1.40,1.51,2.99,1.96,2.54,2.95,2.18,2.05,3.83,3.06,2.39,2.56,1.01,1.65,1.62,0.35,1.51,1.96
Other Natural Sources - Posterior,NICAM-TM/4DVar,38.27,21.35,12.84,4.08,0.67,1.09,2.63,1.11,1.99,1.55,0.79,0.58,3.27,1.35,1.51,2.28,1.55,3.90,0.69,0.27,1.33,2.90
Other Natural Sources - Posterior,NIES-TM-FLEXPART/GOSAT,20.88,13.62,5.69,1.57,0.71,0.89,1.40,0.94,1.17,1.49,0.99,1.18,1.38,1.25,1.37,1.15,0.62,1.09,0.70,0.10,0.47,0.67
Other Natural Sources - Posterior,NIES-TM-FLEXPART/SURF,20.88,13.62,5.69,1.57,0.71,0.89,1.40,0.94,1.17,1.49,0.99,1.18,1.38,1.25,1.37,1.15,0.62,1.09,0.70,0.10,0.47,0.67
Other Natural Sources - Posterior,PYVARLMDZ/GOSAT1,45.29,31.90,8.72,4.67,1.12,2.99,4.07,1.89,2.47,3.29,1.55,0.56,4.70,2.83,2.21,1.97,0.80,1.76,0.50,0.27,1.60,2.76
Other Natural Sources - Posterior,PYVARLMDZ/GOSAT2,39.07,25.29,10.25,3.53,0.81,1.47,3.87,1.66,2.08,2.71,0.99,0.61,4.37,1.61,1.33,2.07,0.29,4.24,0.52,0.21,1.10,2.38
Other Natural Sources - Posterior,PYVARLMDZ/GOSAT3,40.69,32.45,4.94,3.31,0.79,1.40,4.18,1.23,3.58,4.97,2.16,1.07,3.15,1.74,0.98,1.04,0.27,1.00,0.88,0.21,0.95,0.85
Other Natural Sources - Posterior,PYVARLMDZ/GOSAT4,39.41,31.73,4.41,3.28,0.73,1.40,4.53,1.34,3.38,4.92,2.17,0.93,2.86,1.77,0.90,0.95,0.22,0.84,0.75,0.16,0.92,0.84
Other Natural Sources - Posterior,PYVARLMDZ/GOSAT5,38.79,30.74,4.67,3.38,0.71,1.30,4.22,1.31,3.05,4.32,2.08,0.92,3.09,1.82,0.91,1.02,0.23,0.81,0.89,0.21,0.96,0.89
Other Natural Sources - Posterior,PYVARLMDZ/GOSAT6,39.10,31.82,4.01,3.27,0.69,1.39,4.76,1.45,3.10,4.64,2.17,0.84,3.10,1.87,0.85,0.86,0.19,0.70,0.71,0.15,0.91,0.83
Other Natural Sources - Posterior,PYVARLMDZ/SURF1,35.99,27.15,5.22,3.63,0.74,1.14,3.12,1.00,2.88,3.64,1.88,1.00,2.71,1.60,1.07,1.45,0.22,0.94,0.77,0.17,0.99,1.00
Other Natural Sources - Posterior,PYVARLMDZ/SURF2,35.33,26.87,4.89,3.58,0.73,1.14,3.25,1.05,2.85,3.63,1.90,0.93,2.52,1.64,1.01,1.38,0.20,0.88,0.58,0.18,0.97,0.99
Other Natural Sources - Posterior,TM5-4Dvar/GOSAT1,61.02,41.64,16.08,3.30,0.95,2.62,5.99,2.36,4.22,7.93,4.22,1.10,4.04,2.76,3.15,2.13,1.03,6.27,0.96,0.23,1.45,2.96
Other Natural Sources - Posterior,TM5-4Dvar/GOSAT2,38.17,22.82,12.53,2.83,0.49,1.74,3.84,1.73,1.45,2.20,1.27,0.46,3.48,1.70,1.88,1.89,0.64,5.43,0.47,0.20,1.11,2.36
Other Natural Sources - Posterior,TM5-4Dvar/SURF1,56.91,38.86,14.31,3.75,1.18,2.07,5.19,2.15,4.81,5.77,3.41,1.31,4.45,2.62,2.65,2.07,0.74,5.56,1.09,0.28,1.54,3.05
Other Natural Sources - Posterior,TM5-4Dvar/SURF2,38.67,23.37,12.07,3.24,0.75,1.16,3.62,1.57,2.08,1.83,1.00,0.54,4.31,1.60,1.84,1.83,0.53,5.38,0.53,0.25,1.21,2.44
Other Natural Sources - Posterior,TM5-CAMS/GOSAT,46.22,35.52,6.99,3.71,1.15,2.02,4.81,2.10,4.39,6.64,3.44,0.98,2.60,2.24,1.69,1.48,0.58,0.93,0.66,0.17,1.28,1.66
Other Natural Sources - Posterior,TM5-CAMS/SURF,44.76,33.82,6.77,4.16,1.20,1.86,4.88,1.91,3.81,5.72,3.29,0.79,2.89,2.21,2.07,1.40,0.34,0.83,0.54,0.21,1.31,1.77
Other Natural Sources - Posterior,TOMCAT/surf,24.06,13.57,6.68,3.82,1.05,1.03,0.62,0.68,0.53,0.82,0.46,1.61,2.38,1.47,1.53,2.07,0.69,1.38,0.61,0.11,0.55,0.99
Agriculture and Waste - Posterior,CTE-CH4/GOSAT,239.52,157.02,80.53,1.98,9.34,3.93,11.29,10.51,2.98,16.65,7.40,50.82,27.02,6.82,24.63,21.95,3.72,5.80,23.77,2.71,3.85,5.37
Agriculture and Waste - Posterior,CTE-CH4/SURF,235.96,147.51,86.43,2.03,6.39,3.97,26.33,10.26,13.64,10.21,4.85,40.02,20.92,5.48,23.23,25.53,3.28,5.92,22.70,2.75,3.11,6.41
Agriculture and Waste - Posterior,GELCA/SURF,213.24,133.11,79.04,1.09,6.93,4.54,20.33,7.96,9.61,7.29,4.00,38.57,21.61,4.80,16.86,20.74,3.87,9.38,24.45,2.12,3.31,6.55
