Emissions by sectors,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Biomass and Biofuel Burning - Posterior,TM5-CAMS/SURF,28.36,22.66,4.85,0.85,0.48,0.15,2.54,0.87,2.07,5.01,3.35,1.67,5.54,0.68,0.67,1.36,0.13,0.27,1.35,0.07,0.57,1.55
Biomass and Biofuel Burning - Posterior,TOMCAT/surf,21.52,18.37,2.42,0.73,0.27,0.18,2.09,0.76,1.25,4.28,2.98,0.23,5.47,0.75,0.21,0.14,0.13,0.02,0.33,0.02,0.69,1.72
Total Anthropogenic Sources - Posterior,CTE-CH4/GOSAT,374.72,228.66,139.62,6.47,12.39,7.20,14.00,13.39,0.62,31.88,13.80,58.79,40.57,9.61,43.00,29.46,9.82,17.76,41.48,3.43,8.58,14.70
Total Anthropogenic Sources - Posterior,CTE-CH4/SURF,376.21,216.62,150.42,9.18,8.73,7.22,29.88,12.97,22.59,23.44,9.88,46.78,32.93,7.65,37.44,34.32,8.41,16.33,41.48,3.47,7.04,21.13
Total Anthropogenic Sources - Posterior,GELCA/SURF,374.43,198.27,169.53,6.63,9.50,7.32,24.19,10.46,16.30,14.91,8.83,45.91,32.58,7.33,28.45,32.05,10.53,25.55,55.23,2.99,6.54,34.05
Total Anthropogenic Sources - Posterior,MIROC4-ACTM-Cao/SURF,335.98,216.05,118.11,1.83,8.59,7.98,27.40,11.97,20.02,20.68,9.07,48.90,37.89,6.29,18.06,24.38,7.03,23.22,44.72,3.42,1.94,11.16
Total Anthropogenic Sources - Posterior,NICAM-TM/4DVar,360.99,224.33,130.43,6.25,8.79,6.99,20.59,9.74,18.98,20.46,8.18,54.89,35.77,5.08,30.91,24.94,7.97,27.29,40.75,2.67,5.17,16.44
Total Anthropogenic Sources - Posterior,NIES-TM-FLEXPART/GOSAT,363.75,206.17,149.72,7.86,8.76,7.06,21.17,11.11,19.01,20.96,8.77,44.37,34.80,7.15,25.94,26.99,7.87,24.15,63.28,4.20,5.56,19.64
Total Anthropogenic Sources - Posterior,NIES-TM-FLEXPART/SURF,370.81,207.48,153.43,9.90,9.24,7.11,20.32,10.64,18.87,19.50,8.53,50.42,35.11,6.96,29.80,30.98,8.77,26.93,52.47,3.13,6.13,22.42
Total Anthropogenic Sources - Posterior,PYVARLMDZ/GOSAT1,353.41,216.37,125.42,11.62,9.61,16.39,21.89,13.03,19.25,21.08,10.43,42.10,30.39,7.27,26.32,23.47,7.03,19.08,57.29,3.28,3.72,20.18
Total Anthropogenic Sources - Posterior,PYVARLMDZ/GOSAT2,339.90,214.30,119.32,6.28,8.44,7.77,25.28,12.72,20.25,25.34,9.52,42.46,34.18,6.95,23.65,25.29,6.90,21.57,44.99,3.75,4.06,13.64
Total Anthropogenic Sources - Posterior,PYVARLMDZ/GOSAT3,358.31,205.43,146.55,6.33,8.14,7.28,23.54,9.25,18.17,16.53,8.55,40.59,33.21,6.03,24.93,26.03,7.46,22.35,57.32,4.28,4.65,22.11
Total Anthropogenic Sources - Posterior,PYVARLMDZ/GOSAT4,341.33,198.23,137.11,5.99,7.59,7.14,25.26,10.09,17.35,16.27,8.74,37.22,31.07,6.19,22.69,24.46,6.65,20.04,54.31,4.08,4.32,20.95
Total Anthropogenic Sources - Posterior,PYVARLMDZ/GOSAT5,357.54,200.82,149.92,6.81,7.43,6.76,24.58,10.08,16.24,14.66,8.47,39.88,32.73,6.33,23.06,25.56,6.96,19.76,65.39,4.38,4.65,23.19
Total Anthropogenic Sources - Posterior,PYVARLMDZ/GOSAT6,335.67,199.01,131.10,5.55,7.22,7.01,26.75,10.91,16.33,15.42,8.91,36.61,32.05,6.47,20.96,22.88,5.96,18.10,55.43,4.03,4.04,19.62
Total Anthropogenic Sources - Posterior,PYVARLMDZ/SURF1,369.55,196.84,163.04,9.68,7.64,6.20,19.94,7.99,15.89,13.19,7.44,45.02,32.59,5.57,27.70,26.34,8.28,21.94,64.92,3.77,5.87,32.46
Total Anthropogenic Sources - Posterior,PYVARLMDZ/SURF2,352.72,191.05,152.39,9.29,7.52,6.20,20.68,8.39,15.72,13.16,7.61,41.80,30.86,5.72,26.50,25.72,7.91,21.02,57.45,3.85,5.63,30.57
Total Anthropogenic Sources - Posterior,TM5-4Dvar/GOSAT1,331.60,202.89,124.45,4.25,6.74,10.34,25.55,11.60,16.06,30.12,11.90,38.53,35.93,6.03,34.36,20.19,10.40,8.07,44.43,2.96,4.01,11.07
Total Anthropogenic Sources - Posterior,TM5-4Dvar/GOSAT2,357.95,220.34,133.84,3.78,4.53,10.07,32.22,17.33,17.07,28.84,14.40,38.74,36.23,9.27,33.80,21.53,11.27,8.03,52.74,3.19,3.70,12.65
Total Anthropogenic Sources - Posterior,TM5-4Dvar/SURF1,325.02,208.54,111.21,5.29,8.87,8.24,23.91,9.53,19.88,26.29,10.36,40.78,35.92,5.23,27.92,17.70,6.32,21.71,39.05,3.55,4.68,11.35
Total Anthropogenic Sources - Posterior,TM5-4Dvar/SURF2,350.05,223.52,121.86,4.67,7.66,7.09,35.56,14.71,19.75,23.78,11.26,37.57,37.24,7.93,28.05,19.16,7.67,23.14,45.46,3.74,4.86,12.49
Total Anthropogenic Sources - Posterior,TM5-CAMS/GOSAT,361.92,196.06,161.07,4.81,9.65,10.44,25.68,13.42,20.65,21.83,11.79,37.40,28.90,7.02,34.68,32.78,14.16,16.69,42.21,3.01,5.79,24.23
Total Anthropogenic Sources - Posterior,TM5-CAMS/SURF,344.28,186.46,152.39,5.44,10.01,8.86,28.87,10.27,17.18,18.79,11.27,27.94,31.34,6.03,42.95,32.04,7.02,14.91,39.72,3.49,7.10,24.83
Total Anthropogenic Sources - Posterior,TOMCAT/surf,367.12,206.59,154.20,6.34,20.96,6.68,10.95,5.26,10.23,12.13,7.62,18.50,22.85,18.19,26.59,8.27,8.50,20.31,46.79,0.87,6.65,16.93
