Emission totals,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Agriculture and Waste,GAINSgridded,199.28,121.97,76.60,0.71,6.44,3.43,15.44,8.56,14.12,9.42,3.74,37.20,14.88,4.44,16.19,16.45,2.49,7.73,27.03,2.83,2.07,6.63
Agriculture and Waste,USEPA,197.06,NA,NA,NA,10.00,4.28,13.41,7.59,12.80,10.85,4.67,26.08,20.65,4.86,16.89,18.05,2.94,8.49,25.78,2.11,2.18,5.32
Wetland,CLASS-CTEM,180.73,143.30,28.37,9.06,6.54,10.18,23.06,13.92,6.31,20.69,5.62,3.90,39.92,2.57,7.90,2.81,0.12,0.24,2.98,1.68,13.41,12.14
Wetland,DLEM,150.34,116.76,25.46,8.11,4.85,3.65,10.93,15.43,8.67,10.83,9.95,13.68,30.38,5.69,4.70,2.43,1.82,1.40,9.24,1.06,7.21,8.08
Wetland,ELM,164.86,122.72,27.35,14.79,6.76,11.30,29.18,13.08,-0.51,20.72,0.22,1.40,35.88,0.04,7.91,3.76,0.09,-0.67,0.82,0.28,14.71,19.10
Wetland,JSBACH,129.74,112.53,11.39,5.82,3.58,9.39,26.86,14.48,4.22,22.88,3.65,4.64,19.12,2.38,3.12,0.73,0.13,0.17,1.26,0.28,6.28,6.32
Wetland,JULES,182.48,144.93,26.05,11.50,5.76,13.28,29.38,19.41,6.11,24.60,5.81,4.97,29.52,3.24,6.73,2.19,0.23,0.40,2.09,0.46,13.71,14.55
Wetland,LPJ-GUESS,166.33,105.89,42.71,17.73,4.29,6.50,14.65,14.66,11.84,14.05,6.60,3.43,15.40,13.11,6.76,3.21,1.84,2.06,1.94,0.25,23.21,22.49
Wetland,LPJ-MPI,161.95,146.25,12.73,2.98,4.83,11.13,28.00,19.37,11.15,25.89,6.36,4.28,28.20,4.64,4.82,1.06,0.91,0.50,1.40,0.17,5.11,4.08
Wetland,LPJ-WSL,145.06,131.55,10.46,3.04,5.27,12.14,26.82,16.19,7.18,19.32,4.60,4.93,29.54,3.50,3.98,0.91,0.22,0.22,1.30,0.20,4.43,4.26
Wetland,LPX,138.58,113.92,17.85,6.80,5.91,7.89,18.16,17.54,8.62,14.69,6.88,4.46,22.65,4.85,6.69,2.37,1.06,0.86,3.15,0.69,4.44,7.59
Wetland,ORCHIDEE,142.57,94.28,31.07,17.22,0.09,7.49,31.80,15.14,1.48,30.02,0.96,1.74,5.06,0.14,4.32,2.30,0.67,0.32,1.89,0.04,18.19,20.92
Wetland,TEM-MDM,106.50,70.83,33.47,2.20,3.56,4.97,10.75,10.57,9.17,7.09,1.98,3.33,13.68,6.69,12.28,1.61,2.95,2.07,1.93,0.20,7.13,6.62
Wetland,TRIPLEX-GHG,102.37,73.98,21.77,6.61,1.23,5.12,10.58,11.29,1.18,11.80,2.99,2.81,21.25,3.57,6.45,1.65,0.61,0.57,2.82,0.64,8.45,9.33
Wetland,VISIT,163.21,125.21,31.68,6.33,3.97,6.83,21.71,22.00,2.70,22.35,8.04,7.82,24.25,4.05,7.34,1.69,0.71,0.51,3.54,0.27,11.05,14.11
"Total anthropogenic excl, biomass burning",CEDSgridded,366.74,204.54,146.04,16.17,8.41,18.20,18.12,12.14,19.81,15.06,6.37,46.68,28.41,6.37,28.73,23.97,7.45,22.34,71.81,3.18,4.34,24.83
"Total anthropogenic excl, biomass burning",EDGARv432,348.89,192.51,149.06,7.32,8.32,6.52,18.48,10.44,18.06,17.89,6.82,46.30,29.42,6.24,25.06,27.48,8.30,24.91,66.09,4.28,4.62,16.47
"Total anthropogenic excl, biomass burning",GAINSgridded,335.45,172.25,154.06,9.14,7.56,6.19,15.95,9.82,20.46,18.14,6.42,43.16,21.93,6.06,33.25,21.89,7.11,27.39,52.16,3.39,4.17,28.77
"Total anthropogenic excl, biomass burning",USEPA,330.55,NA,NA,NA,12.14,6.53,14.37,8.68,20.80,16.40,10.41,34.22,28.03,6.63,32.67,25.12,10.39,26.83,44.63,3.29,5.20,24.03
