source,year,produced mass (Mt)
captured,1950,18.716
captured,1951,21.163
captured,1952,22.975
captured,1953,23.417
captured,1954,25.363
captured,1955,26.754
captured,1956,28.457
captured,1957,28.6
captured,1958,29.191
captured,1959,31.589
captured,1960,33.924
captured,1961,37.714
captured,1962,41.044
captured,1963,42.094
captured,1964,46.681
captured,1965,47.662
captured,1966,51.525
captured,1967,54.868
captured,1968,58.203
captured,1969,56.8
captured,1970,62.837
captured,1971,62.804
captured,1972,58.624
captured,1973,59.167
captured,1974,62.348
captured,1975,61.859
captured,1976,65.244
captured,1977,63.908
captured,1978,66.032
captured,1979,66.489
captured,1980,67.212
captured,1981,69.407
captured,1982,71.086
captured,1983,71.062
captured,1984,76.668
captured,1985,78.25
captured,1986,83.757
captured,1987,84.362
captured,1988,87.837
captured,1989,88.325
captured,1990,84.664
captured,1991,83.71
captured,1992,85.201
captured,1993,86.582
captured,1994,92.129
captured,1995,92.251
captured,1996,93.816
captured,1997,93.181
captured,1998,85.855
captured,1999,91.726
captured,2000,93.564
captured,2001,90.792
captured,2002,91.076
captured,2003,88.298
captured,2004,92.856
captured,2005,92.48
captured,2006,90.19
captured,2007,90.481
captured,2008,89.492
captured,2009,89.054
captured,2010,87.128
captured,2011,91.625
captured,2012,88.634
captured,2013,89.733
captured,2014,90.379
captured,2015,91.657
captured,2016,89.637
captured,2017,93.116
captured,2018,96.434
cultured,1950,0.604
cultured,1951,0.729
cultured,1952,0.822
cultured,1953,0.962
cultured,1954,1.091
cultured,1955,1.218
cultured,1956,1.209
cultured,1957,1.561
cultured,1958,1.519
cultured,1959,1.652
cultured,1960,1.655
cultured,1961,1.524
cultured,1962,1.579
cultured,1963,1.762
cultured,1964,1.847
cultured,1965,2.021
cultured,1966,2.084
cultured,1967,2.144
cultured,1968,2.282
cultured,1969,2.361
cultured,1970,2.567
cultured,1971,2.739
cultured,1972,2.954
cultured,1973,3.081
cultured,1974,3.258
cultured,1975,3.617
cultured,1976,3.73
cultured,1977,4.122
cultured,1978,4.204
cultured,1979,4.341
cultured,1980,4.706
cultured,1981,5.243
cultured,1982,5.672
cultured,1983,6.223
cultured,1984,6.945
cultured,1985,8.022
cultured,1986,9.164
cultured,1987,10.566
cultured,1988,11.682
cultured,1989,12.319
cultured,1990,13.085
cultured,1991,13.726
cultured,1992,15.41
cultured,1993,17.799
cultured,1994,20.84
cultured,1995,24.382
cultured,1996,26.541
cultured,1997,27.322
cultured,1998,28.413
cultured,1999,30.731
cultured,2000,32.418
cultured,2001,34.614
cultured,2002,36.786
cultured,2003,38.913
cultured,2004,41.909
cultured,2005,44.298
cultured,2006,47.257
cultured,2007,49.941
cultured,2008,52.915
cultured,2009,55.157
cultured,2010,57.744
cultured,2011,59.789
cultured,2012,63.48
cultured,2013,66.952
cultured,2014,70.506
cultured,2015,72.771
cultured,2016,76.504
cultured,2017,79.545
cultured,2018,82.095
total,1950,19.32
total,1951,21.892
total,1952,23.797
total,1953,24.38
total,1954,26.453
total,1955,27.972
total,1956,29.667
total,1957,30.161
total,1958,30.71
total,1959,33.24
total,1960,35.579
total,1961,39.238
total,1962,42.623
total,1963,43.856
total,1964,48.529
total,1965,49.682
total,1966,53.609
total,1967,57.012
total,1968,60.484
total,1969,59.161
total,1970,65.404
total,1971,65.542
total,1972,61.578
total,1973,62.248
total,1974,65.606
total,1975,65.476
total,1976,68.973
total,1977,68.03
total,1978,70.236
total,1979,70.831
total,1980,71.918
total,1981,74.65
total,1982,76.758
total,1983,77.285
total,1984,83.613
total,1985,86.272
total,1986,92.921
total,1987,94.927
total,1988,99.519
total,1989,100.644
total,1990,97.749
total,1991,97.436
total,1992,100.611
total,1993,104.382
total,1994,112.969
total,1995,116.634
total,1996,120.358
total,1997,120.503
total,1998,114.268
total,1999,122.457
total,2000,125.982
total,2001,125.406
total,2002,127.862
total,2003,127.212
total,2004,134.765
total,2005,136.778
total,2006,137.447
total,2007,140.422
total,2008,142.407
total,2009,144.211
total,2010,144.872
total,2011,151.414
total,2012,152.114
total,2013,156.685
total,2014,160.885
total,2015,164.428
total,2016,166.141
total,2017,172.661
total,2018,178.529
