Region,year,source,produced mass (tonnes)
Africa,1950,captured,1055287.0
Africa,1950,cultured,2393.0
Africa,1951,captured,1231421.0
Africa,1951,cultured,2574.0
Africa,1952,captured,1458766.0
Africa,1952,cultured,3242.0
Africa,1953,captured,1569847.0
Africa,1953,cultured,3689.0
Africa,1954,captured,1611554.0
Africa,1954,cultured,4201.0
Africa,1955,captured,1670018.0
Africa,1955,cultured,4766.0
Africa,1956,captured,1786893.0
Africa,1956,cultured,5018.0
Africa,1957,captured,1919093.0
Africa,1957,cultured,5626.0
Africa,1958,captured,1929193.0
Africa,1958,cultured,6322.0
Africa,1959,captured,1998878.0
Africa,1959,cultured,6774.0
Africa,1960,captured,2134272.0
Africa,1960,cultured,6985.0
Africa,1961,captured,2327835.0
Africa,1961,cultured,7783.0
Africa,1962,captured,2493839.0
Africa,1962,cultured,7921.0
Africa,1963,captured,2640529.0
Africa,1963,cultured,8927.0
Africa,1964,captured,2955121.0
Africa,1964,cultured,10160.0
Africa,1965,captured,3013813.0
Africa,1965,cultured,9503.0
Africa,1966,captured,3267626.0
Africa,1966,cultured,9362.0
Africa,1967,captured,3581645.0
Africa,1967,cultured,9245.0
Africa,1968,captured,4034206.0
Africa,1968,cultured,9387.0
Africa,1969,captured,4004994.0
Africa,1969,cultured,9874.0
Africa,1970,captured,3506755.0
Africa,1970,cultured,10271.0
Africa,1971,captured,3593093.0
Africa,1971,cultured,11470.0
Africa,1972,captured,3954738.0
Africa,1972,cultured,12738.0
Africa,1973,captured,4191415.0
Africa,1973,cultured,14014.0
Africa,1974,captured,4164115.0
Africa,1974,cultured,14165.0
Africa,1975,captured,3917038.0
Africa,1975,cultured,14410.0
Africa,1976,captured,3684997.0
Africa,1976,cultured,16723.0
Africa,1977,captured,3646719.0
Africa,1977,cultured,19102.0
Africa,1978,captured,3670272.0
Africa,1978,cultured,21446.0
Africa,1979,captured,3594168.0
Africa,1979,cultured,23768.0
Africa,1980,captured,3520169.0
Africa,1980,cultured,26202.0
Africa,1981,captured,3669834.0
Africa,1981,cultured,28596.0
