Year,Temperature anomaly (K)
1891,-0.038
1892,-0.118
1893,-0.158
1894,-0.108
1895,-0.088
1896,0.122
1897,0.102
1898,-0.068
1899,0.032
1900,0.102
1901,0.012
1902,-0.108
1903,-0.178
1904,-0.248
1905,-0.108
1906,-0.008
1907,-0.188
1908,-0.228
1909,-0.228
1910,-0.198
1911,-0.228
1912,-0.138
1913,-0.108
1914,0.062
1915,0.162
1916,-0.048
1917,-0.118
1918,0.042
1919,0.012
1920,0.082
1921,0.162
1922,0.032
1923,0.052
1924,0.042
1925,0.132
1926,0.232
1927,0.122
1928,0.122
1929,-0.008
1930,0.212
1931,0.252
1932,0.212
1933,0.062
1934,0.222
1935,0.132
1936,0.112
1937,0.222
1938,0.262
1939,0.222
1940,0.272
1941,0.332
1942,0.332
1943,0.362
1944,0.482
1945,0.342
1946,0.192
1947,0.162
1948,0.192
1949,0.172
1950,0.102
1951,0.242
1952,0.302
1953,0.372
1954,0.142
1955,0.122
1956,0.032
1957,0.312
1958,0.372
1959,0.302
1960,0.262
1961,0.362
1962,0.382
1963,0.412
1964,0.102
1965,0.172
1966,0.242
1967,0.242
1968,0.222
1969,0.322
1970,0.302
1971,0.182
1972,0.302
1973,0.432
1974,0.152
1975,0.202
1976,0.112
1977,0.402
1978,0.312
1979,0.432
1980,0.462
1981,0.502
1982,0.382
1983,0.532
1984,0.352
1985,0.332
1986,0.422
1987,0.582
1988,0.562
1989,0.492
1990,0.632
1991,0.572
1992,0.422
1993,0.442
1994,0.522
1995,0.602
1996,0.502
1997,0.682
1998,0.812
1999,0.592
2000,0.592
2001,0.712
2002,0.752
2003,0.752
2004,0.712
2005,0.762
2006,0.752
2007,0.712
2008,0.642
2009,0.752
2010,0.792
2011,0.672
2012,0.742
2013,0.792
2014,0.862
2015,1.012
2016,1.042
2017,0.972
2018,0.902
2019,1.022
2020,1.062
