year,population_Mhd
1961,7381.262653000001
1962,7555.494989
1963,7906.4896839999965
1964,7833.101705
1965,8043.284866999999
1966,8212.894409
1967,8538.304704999999
1968,8725.778872
1969,8770.45024
1970,9177.119705000001
1971,9489.921996999998
1972,9730.318857000002
1973,9904.099861
1974,10125.845399000002
1975,10269.477448999998
1976,10464.079616
1977,10719.546327
1978,11151.072678
1979,11614.015251
1980,12021.228745999997
1981,12362.104295000001
1982,12662.768193999997
1983,12927.168917999998
1984,13266.63481
1985,13661.479405999997
1986,14282.524070000001
1987,14952.483203999998
1988,15405.435347999995
1989,15859.620356000001
1990,16424.199791000003
1991,16867.499258
1992,17262.999866000002
1993,17821.599479000004
1994,18501.399704000003
1995,18887.261581
1996,19654.455759
1997,20267.246838000003
1998,19131.063987
1999,19760.632458999993
2000,20655.630444999995
2001,21262.888800000004
2002,22579.942051999995
2003,22649.282951999994
2004,23333.108071
2005,23944.632707000004
2006,24418.632636999995
2007,25128.489356000002
2008,25947.456217
2009,26744.175117000003
2010,27361.874441
2011,25874.430274999995
2012,27628.61113
2013,28102.380257999997
2014,28254.156130000003
2015,28898.511225
2016,30147.197918
2017,30542.790655999997
2018,31111.720781
