year,animal,population_Mhd
1966,geese and guinea fowls,69.051
1966,goats,429.598407
1966,horses,67.147588
1966,mules,12.049506
1966,pigs,680.460174
1966,rabbits and hares,134.28
1966,"rodents, other",21.346
1966,sheep,1118.256672
1966,turkeys,167.064
1967,asses,45.413845
1967,beehives,56.136741
1967,buffaloes,115.435299
1967,"camelids, other",6.069000000000001
1967,camels,16.283425
1967,cattle,1105.787084
1967,chickens,5273.503
1967,ducks,359.788
1967,geese and guinea fowls,74.566
1967,goats,430.846348
1967,horses,67.852292
1967,mules,12.255289000000001
1967,pigs,744.2593870000001
1967,rabbits and hares,139.229
1967,"rodents, other",21.082
1967,sheep,1136.2261310000001
1967,turkeys,174.60999999999999
1968,asses,46.010619
1968,beehives,56.529379999999996
1968,buffaloes,119.642751
1968,"camelids, other",6.252000000000001
1968,camels,16.8839
1968,cattle,1121.581927
1968,chickens,5438.423
1968,ducks,373.257
1968,geese and guinea fowls,78.716
1968,goats,439.019099
1968,horses,68.752756
1968,mules,13.464977
1968,pigs,740.312496
1968,rabbits and hares,146.782
1968,"rodents, other",20.942
1968,sheep,1155.664811
1968,turkeys,155.685
1969,asses,46.241384000000004
1969,beehives,57.637287
1969,buffaloes,121.952635
1969,"camelids, other",6.6303
1969,camels,16.964169
1969,cattle,1127.665107
1969,chickens,5615.786
1969,ducks,382.037
1969,geese and guinea fowls,82.979
1969,goats,439.805222
1969,horses,68.89719
1969,mules,13.771586
1969,pigs,719.592058
1969,rabbits and hares,154.552
1969,"rodents, other",20.878999999999998
1969,sheep,1162.231611
1969,turkeys,158.454
1970,asses,46.850602
1970,beehives,58.183571
1970,buffaloes,122.975307
1970,"camelids, other",6.873200000000001
1970,camels,17.027213
1970,cattle,1139.197262
1970,chickens,5849.719
1970,ducks,390.331
1970,geese and guinea fowls,87.085
1970,goats,438.162804
1970,horses,70.192443
1970,mules,14.50651
1970,pigs,723.129329
1970,rabbits and hares,162.559
1970,"rodents, other",20.987
1970,sheep,1142.27995
1970,turkeys,179.49599999999998
1971,asses,48.03161
1971,beehives,58.542880000000004
1971,buffaloes,124.981241
1971,"camelids, other",6.468
1971,camels,17.243505
1971,cattle,1154.195753
1971,chickens,6031.5419999999995
1971,ducks,407.525
1971,geese and guinea fowls,89.804
1971,goats,443.02396999999996
1971,horses,71.102616
1971,mules,14.705384
1971,pigs,827.870724
1971,rabbits and hares,171.703
1971,"rodents, other",20.997
1971,sheep,1151.413679
1971,turkeys,202.232
1972,asses,48.210796
1972,beehives,58.855706999999995
1972,buffaloes,126.298085
1972,"camelids, other",6.2406500000000005
1972,camels,17.47063
1972,cattle,1176.863047
1972,chickens,6212.635
1972,ducks,420.846
1972,geese and guinea fowls,94.05199999999999
1972,goats,447.594026
1972,horses,71.031958
1972,mules,15.07973
1972,pigs,923.037909
1972,rabbits and hares,186.086
1972,"rodents, other",21.099999999999998
1972,sheep,1124.411991
1972,turkeys,213.983
1973,asses,47.670655000000004
1973,beehives,59.489165
1973,buffaloes,128.140666
1973,"camelids, other",6.2856000000000005
1973,camels,17.241801
1973,cattle,1195.776638
1973,chickens,6344.831
1973,ducks,445.004
1973,geese and guinea fowls,98.875
1973,goats,446.369286
1973,horses,71.390627
1973,mules,15.577204
1973,pigs,951.954735
1973,rabbits and hares,193.886
1973,"rodents, other",20.887
1973,sheep,1105.003029
1973,turkeys,224.142
1974,asses,48.022000999999996
1974,beehives,59.379255
1974,buffaloes,131.17673100000002
1974,"camelids, other",6.345000000000001
1974,camels,17.166289
1974,cattle,1223.503469
1974,chickens,6509.254
1974,ducks,456.529
1974,geese and guinea fowls,100.647
1974,goats,458.316551
1974,horses,72.264278
1974,mules,16.132865
1974,pigs,949.4436129999999
1974,rabbits and hares,205.353
1974,"rodents, other",21.092
1974,sheep,1121.374294
1974,turkeys,232.492
1975,asses,47.96029
1975,beehives,60.039624
1975,buffaloes,131.15332
1975,"camelids, other",6.2292000000000005
1975,camels,17.531712
1975,cattle,1244.558026
1975,chickens,6603.791
1975,ducks,454.495
1975,geese and guinea fowls,104.142
1975,goats,471.629147
1975,horses,73.08221499999999
1975,mules,16.593158
1975,pigs,949.560174
1975,rabbits and hares,212.591
1975,"rodents, other",21.605
1975,sheep,1141.917168
1975,turkeys,228.835
1976,asses,47.636967
