year,region,animal,population_Mhd
1961,South America,goats,18.692321
1961,South America,horses,12.237776
1961,South America,mules,2.513476
1961,South America,pigs,38.34738
1961,South America,rabbits and hares,1.637
1961,South America,"rodents, other",20.657
1961,South America,sheep,118.441402
1961,South America,turkeys,1.629
1962,Africa,asses,10.84625
1962,Africa,beehives,6.986195
1962,Africa,buffaloes,1.53002
1962,Africa,camels,8.855092
1962,Africa,cattle,124.465332
1962,Africa,chickens,282.811
1962,Africa,ducks,6.363
1962,Africa,geese and guinea fowls,3.958
1962,Africa,goats,94.454812
1962,Africa,horses,3.485918
1962,Africa,mules,1.897192
1962,Africa,pigs,5.814898
1962,Africa,rabbits and hares,2.792
1962,Africa,sheep,133.22224
1962,Africa,turkeys,1.276
1962,Asia,asses,15.063037
1962,Asia,beehives,10.901851
1962,Asia,buffaloes,86.951863
1962,Asia,camels,3.995154
1962,Asia,cattle,315.793765
1962,Asia,chickens,1139.125
1962,Asia,ducks,159.022
1962,Asia,geese and guinea fowls,19.711
1962,Asia,goats,213.402786
1962,Asia,horses,14.290192
1962,Asia,mules,2.020794
1962,Asia,pigs,116.026686
1962,Asia,rabbits and hares,18.882
1962,Asia,sheep,229.536258
1962,Asia,turkeys,3.411
1962,Europe,asses,3.300385
1962,Europe,beehives,21.182265
1962,Europe,buffaloes,0.74746
1962,Europe,camels,0.2864
1962,Europe,cattle,200.744521
1962,Europe,chickens,1378.938
1962,Europe,ducks,25.374
1962,Europe,geese and guinea fowls,13.433
1962,Europe,goats,21.438777
1962,Europe,horses,20.826766
1962,Europe,mules,1.940358
1962,Europe,pigs,180.191456
1962,Europe,rabbits and hares,77.933
1962,Europe,sheep,271.842841
1962,Europe,turkeys,66.358
1962,Northern America,asses,0.015
1962,Northern America,beehives,5.84647
1962,Northern America,cattle,111.303419
1962,Northern America,chickens,847.087
1962,Northern America,ducks,3.805
1962,Northern America,geese and guinea fowls,0.311
1962,Northern America,goats,3.6598
1962,Northern America,horses,2.62625
1962,Northern America,mules,0.024
1962,Northern America,pigs,66.956683
1962,Northern America,sheep,31.685008
1962,Northern America,turkeys,94.837
1962,Oceania,asses,0.011
1962,Oceania,beehives,0.529975
1962,Oceania,cattle,24.942878
1962,Oceania,chickens,26.763
1962,Oceania,ducks,0.416
1962,Oceania,geese and guinea fowls,0.075
1962,Oceania,goats,0.288794
1962,Oceania,horses,0.680506
1962,Oceania,pigs,3.156236
1962,Oceania,sheep,206.709297
1962,Oceania,turkeys,0.253
1962,South America,asses,3.023395
1962,South America,beehives,1.667301
1962,South America,buffaloes,0.068
1962,South America,"camelids, other",5.445
1962,South America,cattle,147.145578
1962,South America,chickens,264.407
1962,South America,ducks,4.907
