year,source,mean,lower,upper,units
1923,Antarctic Ice Sheet,1.2483568190000014,-3.9051465999999984,6.044852972000001,mm difference from 1900 average
1924,Antarctic Ice Sheet,1.3032245640000006,-3.7551469799999992,6.044852972000001,mm difference from 1900 average
1925,Antarctic Ice Sheet,1.3570575720000004,-3.6551465999999984,6.044852972000001,mm difference from 1900 average
1926,Antarctic Ice Sheet,1.412163735,-3.5551471699999997,6.044852972000001,mm difference from 1900 average
1927,Antarctic Ice Sheet,1.4657878879999995,-3.4051465999999984,5.994853020000001,mm difference from 1900 average
1928,Antarctic Ice Sheet,1.5196418770000015,-3.3051471699999997,5.994853020000001,mm difference from 1900 average
1929,Antarctic Ice Sheet,1.5738453870000013,-3.205146789999999,5.994853020000001,mm difference from 1900 average
1930,Antarctic Ice Sheet,1.6285066610000012,-3.0551471699999997,5.994853020000001,mm difference from 1900 average
1931,Antarctic Ice Sheet,1.6822304730000006,-2.955146789999999,5.994853020000001,mm difference from 1900 average
1932,Antarctic Ice Sheet,1.7375116350000006,-2.8051471699999997,5.994853020000001,mm difference from 1900 average
1933,Antarctic Ice Sheet,1.7913575179999999,-2.705146789999999,5.994853020000001,mm difference from 1900 average
1934,Antarctic Ice Sheet,1.8459777830000004,-2.60514736,5.9448530680000005,mm difference from 1900 average
1935,Antarctic Ice Sheet,1.8999900820000013,-2.455146789999999,5.9448530680000005,mm difference from 1900 average
1936,Antarctic Ice Sheet,1.9540252690000006,-2.35514736,5.9448530680000005,mm difference from 1900 average
1937,Antarctic Ice Sheet,2.0078706740000003,-2.205146789999999,5.994853020000001,mm difference from 1900 average
1938,Antarctic Ice Sheet,2.0631394390000004,-2.10514736,5.994853020000001,mm difference from 1900 average
1939,Antarctic Ice Sheet,2.1169128420000014,-1.9551467899999988,5.994853020000001,mm difference from 1900 average
1940,Antarctic Ice Sheet,2.171212197000001,-1.8551473600000001,5.994853020000001,mm difference from 1900 average
1941,Antarctic Ice Sheet,2.225073815000001,-1.7051467899999988,5.9448530680000005,mm difference from 1900 average
1942,Antarctic Ice Sheet,2.2793507580000005,-1.6051473600000001,5.9448530680000005,mm difference from 1900 average
1943,Antarctic Ice Sheet,2.3344540600000006,-1.5051469799999992,5.994853020000001,mm difference from 1900 average
1944,Antarctic Ice Sheet,2.388138295000001,-1.3551473600000001,5.994853020000001,mm difference from 1900 average
1945,Antarctic Ice Sheet,2.4426794050000007,-1.2551469799999992,5.994853020000001,mm difference from 1900 average
1946,Antarctic Ice Sheet,2.4973011020000015,-1.1551465999999984,5.994853020000001,mm difference from 1900 average
1947,Antarctic Ice Sheet,2.550888062000001,-1.0551471699999997,5.994853020000001,mm difference from 1900 average
1948,Antarctic Ice Sheet,2.6055908210000007,-0.9051465999999984,5.994853020000001,mm difference from 1900 average
1949,Antarctic Ice Sheet,2.659551621000001,-0.8051471699999997,5.994853020000001,mm difference from 1900 average
1950,Antarctic Ice Sheet,2.7143607140000006,-0.7051467899999988,5.994853020000001,mm difference from 1900 average
1951,Antarctic Ice Sheet,2.768178463,-0.5551471699999997,5.994853020000001,mm difference from 1900 average
1952,Antarctic Ice Sheet,2.822674752000001,-0.4551467889999987,5.994853020000001,mm difference from 1900 average
1953,Antarctic Ice Sheet,2.8769211770000016,-0.3551473610000002,5.994853020000001,mm difference from 1900 average
1954,Antarctic Ice Sheet,2.930902005000001,-0.20514678899999872,5.994853020000001,mm difference from 1900 average
1955,Antarctic Ice Sheet,2.985478401000001,-0.10514736100000022,5.994853020000001,mm difference from 1900 average
1956,Antarctic Ice Sheet,3.0391469000000004,-0.005146979999999246,6.044852972000001,mm difference from 1900 average
1957,Antarctic Ice Sheet,3.0933609010000014,0.09485340100000172,5.994853020000001,mm difference from 1900 average
1958,Antarctic Ice Sheet,3.147938252000001,0.19485282900000023,6.044852972000001,mm difference from 1900 average
1959,Antarctic Ice Sheet,3.201821327000001,0.2948532110000013,6.044852972000001,mm difference from 1900 average
1960,Antarctic Ice Sheet,3.2566862110000008,0.4448528290000002,6.044852972000001,mm difference from 1900 average
1961,Antarctic Ice Sheet,3.3098235130000004,0.5448532110000013,6.044852972000001,mm difference from 1900 average
1962,Antarctic Ice Sheet,3.3653426170000014,0.6948528290000002,6.044852972000001,mm difference from 1900 average
1963,Antarctic Ice Sheet,3.4189348220000015,0.7948532110000013,6.044852972000001,mm difference from 1900 average
1964,Antarctic Ice Sheet,3.4729151730000005,0.8948526389999998,6.044852972000001,mm difference from 1900 average
1965,Antarctic Ice Sheet,3.5277004240000007,0.9948530200000008,6.0948529250000005,mm difference from 1900 average
1966,Antarctic Ice Sheet,3.5816125870000013,1.1448526389999998,6.0948529250000005,mm difference from 1900 average
1967,Antarctic Ice Sheet,3.6358265880000005,1.2448530200000008,6.0948529250000005,mm difference from 1900 average
1968,Antarctic Ice Sheet,3.6909899710000014,1.3448534010000017,6.144853115000001,mm difference from 1900 average
1969,Antarctic Ice Sheet,3.744474888,1.4448528290000002,6.144853115000001,mm difference from 1900 average
1970,Antarctic Ice Sheet,3.798249245000001,1.5448532110000013,6.144853115000001,mm difference from 1900 average
1971,Antarctic Ice Sheet,3.853356839000001,1.6948528290000002,6.144853115000001,mm difference from 1900 average
1972,Antarctic Ice Sheet,3.907964230000001,1.7448530200000008,6.1948530680000005,mm difference from 1900 average
1973,Antarctic Ice Sheet,3.961734295000001,1.8448529250000005,6.1948530680000005,mm difference from 1900 average
1974,Antarctic Ice Sheet,4.016170502000001,1.9448528290000002,6.244853020000001,mm difference from 1900 average
1975,Antarctic Ice Sheet,4.069906712000002,2.0948529250000005,6.244853020000001,mm difference from 1900 average
1976,Antarctic Ice Sheet,4.124876976000001,2.144853115000001,6.244853020000001,mm difference from 1900 average
1977,Antarctic Ice Sheet,4.178319931000001,2.2448530200000008,6.244853020000001,mm difference from 1900 average
1978,Antarctic Ice Sheet,4.2328019150000005,2.3448529250000005,6.294852972000001,mm difference from 1900 average
1979,Antarctic Ice Sheet,4.2871541980000005,2.4448528290000002,6.294852972000001,mm difference from 1900 average
1980,Antarctic Ice Sheet,4.341466427,2.4948530200000008,6.3448529250000005,mm difference from 1900 average
1981,Antarctic Ice Sheet,4.395578862000001,2.5448532110000013,6.3448529250000005,mm difference from 1900 average
1982,Antarctic Ice Sheet,4.4502854350000005,2.644853115000001,6.394853115000001,mm difference from 1900 average
1983,Antarctic Ice Sheet,4.503701210000001,2.7448530200000008,6.394853115000001,mm difference from 1900 average
1984,Antarctic Ice Sheet,4.558806896000001,2.7948532110000013,6.4448530680000005,mm difference from 1900 average
1985,Antarctic Ice Sheet,4.612183094000001,2.8448529250000005,6.4448530680000005,mm difference from 1900 average
1986,Antarctic Ice Sheet,4.667355538000001,2.894853115000001,6.494853020000001,mm difference from 1900 average
1987,Antarctic Ice Sheet,4.721502781000001,2.9448528290000002,6.544852972000001,mm difference from 1900 average
1988,Antarctic Ice Sheet,4.775956154,3.0448532110000013,6.5948529250000005,mm difference from 1900 average
1989,Antarctic Ice Sheet,4.829233170000001,3.144853115000001,6.644853115000001,mm difference from 1900 average
1990,Antarctic Ice Sheet,4.884601116000001,3.1948528290000002,6.6948530680000005,mm difference from 1900 average
1991,Antarctic Ice Sheet,4.937898636000001,3.2448530200000008,6.744853020000001,mm difference from 1900 average
1992,Antarctic Ice Sheet,4.780322552,3.0448532110000013,6.644853115000001,mm difference from 1900 average
1993,Antarctic Ice Sheet,4.811786652,2.9948530200000008,6.894853115000001,mm difference from 1900 average
1994,Antarctic Ice Sheet,5.149132729000001,3.4948530200000008,7.0948529250000005,mm difference from 1900 average
1995,Antarctic Ice Sheet,5.393956662000001,3.7948532110000013,7.1948530680000005,mm difference from 1900 average
1996,Antarctic Ice Sheet,5.5172286040000005,3.9948530200000008,7.1948530680000005,mm difference from 1900 average
1997,Antarctic Ice Sheet,5.671361685000001,4.294853211000001,7.244853020000001,mm difference from 1900 average
1998,Antarctic Ice Sheet,5.844531536000002,4.494853020000001,7.394853115000001,mm difference from 1900 average
1999,Antarctic Ice Sheet,6.134362459,4.944852829,7.494853020000001,mm difference from 1900 average
2000,Antarctic Ice Sheet,6.358781815,5.294853211000001,7.544852972000001,mm difference from 1900 average
2001,Antarctic Ice Sheet,6.515281439000001,5.444852829,7.594853044000001,mm difference from 1900 average
2002,Antarctic Ice Sheet,6.623284102000001,5.744853020000001,7.544852972000001,mm difference from 1900 average
2003,Antarctic Ice Sheet,6.934351921000001,6.1948530680000005,7.794852972000001,mm difference from 1900 average
2004,Antarctic Ice Sheet,7.414703846,6.794852972000001,8.144852996000001,mm difference from 1900 average
2005,Antarctic Ice Sheet,7.340769291000001,6.794852972000001,7.9448530680000005,mm difference from 1900 average
2006,Antarctic Ice Sheet,7.0804810530000015,6.644853115000001,7.594853044000001,mm difference from 1900 average
2007,Antarctic Ice Sheet,7.648471594000001,7.294852972000001,8.044852972000001,mm difference from 1900 average
2008,Antarctic Ice Sheet,8.460950494,8.194853068,8.74485302,mm difference from 1900 average
2009,Antarctic Ice Sheet,8.416445375,8.24485302,8.594853044,mm difference from 1900 average
2010,Antarctic Ice Sheet,9.259132862000001,9.194853008,9.344853014,mm difference from 1900 average
2011,Antarctic Ice Sheet,9.581959814000001,9.49485302,9.644853026000002,mm difference from 1900 average
2012,Antarctic Ice Sheet,9.877734095000001,9.694853023,10.044853032,mm difference from 1900 average
2013,Antarctic Ice Sheet,10.574824095,10.294853032,10.794852972000001,mm difference from 1900 average
2014,Antarctic Ice Sheet,11.264904023000001,10.894852996000001,11.594852925000001,mm difference from 1900 average
2015,Antarctic Ice Sheet,12.196410895000001,11.694853068,12.644853115,mm difference from 1900 average
2016,Antarctic Ice Sheet,12.006783724000002,11.394852996000001,12.544852972000001,mm difference from 1900 average
2017,Antarctic Ice Sheet,12.147271395,11.394852996000001,12.794852972000001,mm difference from 1900 average
2018,Antarctic Ice Sheet,13.30487442,12.444853068,14.044853211000001,mm difference from 1900 average
1900,Glaciers,0.0,-15.946304319999996,17.053695680000004,mm difference from 1900 average
1901,Glaciers,0.8498840299999983,-15.046302789999999,17.753696440000006,mm difference from 1900 average
1902,Glaciers,1.7100601200000085,-13.946304319999996,18.353694920000002,mm difference from 1900 average
1903,Glaciers,2.281600949999998,-13.296302789999999,19.003696440000006,mm difference from 1900 average
1904,Glaciers,3.1229553200000026,-12.246307369999997,19.753696440000006,mm difference from 1900 average
1905,Glaciers,4.118591309999999,-11.146301269999995,20.70369721,mm difference from 1900 average
1906,Glaciers,4.918388370000002,-10.146301269999995,21.503696440000006,mm difference from 1900 average
1907,Glaciers,5.570434570000003,-9.346305849999993,21.903694150000007,mm difference from 1900 average
1908,Glaciers,6.360244750000007,-8.396301269999995,22.503696440000006,mm difference from 1900 average
1909,Glaciers,7.10708618000001,-7.396301269999995,23.153694150000007,mm difference from 1900 average
1910,Glaciers,7.802604680000002,-6.696304319999996,23.753696440000006,mm difference from 1900 average
1911,Glaciers,8.69172669000001,-5.596305849999993,24.503696440000006,mm difference from 1900 average
1912,Glaciers,9.442245480000011,-4.696304319999996,25.153694150000007,mm difference from 1900 average
1913,Glaciers,10.12659454,-3.846305849999993,25.803695680000004,mm difference from 1900 average
1914,Glaciers,11.258781429999999,-2.5463027899999986,26.70369721,mm difference from 1900 average
1915,Glaciers,12.808433530000002,-0.896301269999995,27.903694150000007,mm difference from 1900 average
1916,Glaciers,13.809425360000006,0.40369415000000686,28.95369721,mm difference from 1900 average
1917,Glaciers,15.003448490000011,1.9036941500000069,30.053695680000004,mm difference from 1900 average
1918,Glaciers,16.052249910000008,3.353698730000005,30.853694920000002,mm difference from 1900 average
1919,Glaciers,16.919734960000007,4.353698730000005,31.603694920000002,mm difference from 1900 average
1920,Glaciers,17.442047120000005,5.003692630000003,32.10369492,mm difference from 1900 average
1921,Glaciers,18.055736540000005,5.603698730000005,32.503696440000006,mm difference from 1900 average
1922,Glaciers,18.799400330000005,6.403694150000007,33.20369721,mm difference from 1900 average
1923,Glaciers,19.990341190000002,7.753692630000003,34.20369721,mm difference from 1900 average
1924,Glaciers,20.93107605,8.853698730000005,35.003696440000006,mm difference from 1900 average
1925,Glaciers,21.864692690000005,10.003692630000003,35.85369492,mm difference from 1900 average
1926,Glaciers,22.927490240000004,11.303695680000004,36.753696440000006,mm difference from 1900 average
1927,Glaciers,24.059810640000002,12.653694150000007,37.803695680000004,mm difference from 1900 average
1928,Glaciers,25.082416540000004,14.003692630000003,38.753696440000006,mm difference from 1900 average
1929,Glaciers,26.057418820000002,15.303695680000004,39.753696440000006,mm difference from 1900 average
1930,Glaciers,27.018772130000002,16.403694150000007,40.60369492,mm difference from 1900 average
1931,Glaciers,28.335033420000002,17.903694150000007,41.803695680000004,mm difference from 1900 average
1932,Glaciers,29.266345980000004,19.053695680000004,42.40369415000001,mm difference from 1900 average
1933,Glaciers,30.174716950000004,20.103694920000002,43.20369721,mm difference from 1900 average
1934,Glaciers,30.912563330000005,21.003696440000006,43.803695680000004,mm difference from 1900 average
1935,Glaciers,31.79192734,22.003696440000006,44.65369415000001,mm difference from 1900 average
1936,Glaciers,32.86084366000001,23.303695680000004,45.65369415000001,mm difference from 1900 average
1937,Glaciers,33.80089951,24.45369721,46.60369492,mm difference from 1900 average
1938,Glaciers,34.780113220000004,25.503696440000006,47.45369721,mm difference from 1900 average
1939,Glaciers,35.56071854,26.353694920000002,48.15369606,mm difference from 1900 average
1940,Glaciers,36.51137543,27.45369721,49.053695680000004,mm difference from 1900 average
1941,Glaciers,37.54894257,28.653694150000007,50.003696440000006,mm difference from 1900 average
1942,Glaciers,38.490551,29.803695680000004,51.003696440000006,mm difference from 1900 average
1943,Glaciers,39.577915190000006,31.053695680000004,52.053695680000004,mm difference from 1900 average
1944,Glaciers,40.73884583,32.45369721,53.10369492,mm difference from 1900 average
1945,Glaciers,41.739013670000006,33.60369492,53.85369492,mm difference from 1900 average
1946,Glaciers,42.672424320000005,34.70369721,54.803695680000004,mm difference from 1900 average
1947,Glaciers,43.71175385,35.85369492,55.753696440000006,mm difference from 1900 average
1948,Glaciers,44.625556950000004,36.85369492,56.60369492,mm difference from 1900 average
1949,Glaciers,45.24507904000001,37.70369721,57.20369530000001,mm difference from 1900 average
1950,Glaciers,46.35648346000001,38.803695680000004,58.20369530000001,mm difference from 1900 average
1951,Glaciers,47.13441849,39.60369492,59.003696440000006,mm difference from 1900 average
1952,Glaciers,48.06114960000001,40.65369415000001,60.10369492,mm difference from 1900 average
1953,Glaciers,49.061882020000006,41.85369492,61.003696440000006,mm difference from 1900 average
1954,Glaciers,49.8781929,42.70369721,61.803695680000004,mm difference from 1900 average
1955,Glaciers,50.34314156000001,43.20369721,62.053695680000004,mm difference from 1900 average
1956,Glaciers,51.24902153000001,44.20369721,63.10369492,mm difference from 1900 average
1957,Glaciers,52.23376656000001,45.40369415000001,63.70369530000001,mm difference from 1900 average
1958,Glaciers,52.97769737,46.40369415000001,64.15369606,mm difference from 1900 average
1959,Glaciers,53.524839400000005,47.053695680000004,64.35369587000001,mm difference from 1900 average
1960,Glaciers,54.271350860000005,47.85369492,64.90369606,mm difference from 1900 average
1961,Glaciers,55.01905251000001,48.70369530000001,65.30369568,mm difference from 1900 average
1962,Glaciers,55.84877396,49.60369492,66.10369587000001,mm difference from 1900 average
1963,Glaciers,56.20873642000001,50.10369492,66.00369549,mm difference from 1900 average
1964,Glaciers,56.206205370000006,49.90369606,65.40369606,mm difference from 1900 average
1965,Glaciers,56.33385468,49.95369530000001,65.30369568,mm difference from 1900 average
1966,Glaciers,56.69479942,50.553695680000004,65.4536953,mm difference from 1900 average
1967,Glaciers,57.02680206000001,50.803695680000004,65.4536953,mm difference from 1900 average
1968,Glaciers,57.23842812000001,51.10369492,65.75369549,mm difference from 1900 average
1969,Glaciers,57.7099762,51.70369530000001,66.10369587000001,mm difference from 1900 average
1970,Glaciers,58.00259209000001,52.15369606,66.15369606,mm difference from 1900 average
1971,Glaciers,58.47037315,52.70369530000001,66.50369549,mm difference from 1900 average
1972,Glaciers,58.51189041000001,53.10369492,66.35369587000001,mm difference from 1900 average
1973,Glaciers,58.785821920000004,53.35369492,66.35369587000001,mm difference from 1900 average
1974,Glaciers,59.193977360000005,53.803695680000004,66.50369549,mm difference from 1900 average
1975,Glaciers,59.50953865,54.20369530000001,66.55369568,mm difference from 1900 average
1976,Glaciers,59.636117940000005,54.40369606,66.55369568,mm difference from 1900 average
1977,Glaciers,60.19531441000001,55.10369492,67.00369549,mm difference from 1900 average
1978,Glaciers,60.80105591,55.85369492,67.35369587000001,mm difference from 1900 average
1979,Glaciers,61.424484250000006,56.85369492,68.05369568,mm difference from 1900 average
1980,Glaciers,61.866188050000005,57.253696440000006,68.2036953,mm difference from 1900 average
1981,Glaciers,62.31820488,57.553695680000004,68.40369606,mm difference from 1900 average
1982,Glaciers,62.69622994000001,58.053695680000004,68.7036953,mm difference from 1900 average
1983,Glaciers,62.94399834000001,58.253696440000006,68.65369606,mm difference from 1900 average
1984,Glaciers,63.53661919,59.003696440000006,68.9536953,mm difference from 1900 average
1985,Glaciers,64.0760231,59.65369606,69.50369549,mm difference from 1900 average
1986,Glaciers,64.42468643000001,60.053695680000004,69.80369568,mm difference from 1900 average
1987,Glaciers,64.74432278,60.503696440000006,69.853695871,mm difference from 1900 average
1988,Glaciers,65.20784378,61.003696440000006,70.05369568,mm difference from 1900 average
1989,Glaciers,65.73745632,61.65369606,70.403696061,mm difference from 1900 average
1990,Glaciers,66.60241699000001,62.70369530000001,70.80369568,mm difference from 1900 average
1991,Glaciers,67.2736454,63.45369530000001,71.153696061,mm difference from 1900 average
1992,Glaciers,67.44474316,63.85369587,71.353695871,mm difference from 1900 average
1993,Glaciers,68.19322872000001,64.7036953,72.103695871,mm difference from 1900 average
1994,Glaciers,68.88939381,65.55369568,72.603695871,mm difference from 1900 average
1995,Glaciers,69.715094568,66.65369606,73.05369568,mm difference from 1900 average
1996,Glaciers,69.974835397,67.2036953,73.203695775,mm difference from 1900 average
1997,Glaciers,70.66855430700001,68.35369587000001,73.75369548900001,mm difference from 1900 average
1998,Glaciers,71.58870458700001,69.35369587000001,74.30369568,mm difference from 1900 average
1999,Glaciers,72.18609571600001,70.25369548900001,74.603695871,mm difference from 1900 average
2000,Glaciers,72.684953214,70.903696061,74.703695775,mm difference from 1900 average
2001,Glaciers,73.276749612,71.853695871,75.00369548900001,mm difference from 1900 average
2002,Glaciers,73.897881032,72.80369568,75.05369568,mm difference from 1900 average
2003,Glaciers,74.800696374,74.453695775,75.15369558500001,mm difference from 1900 average
2004,Glaciers,75.575276376,75.25369548900001,75.853695632,mm difference from 1900 average
2005,Glaciers,76.101621152,75.80369568,76.353695632,mm difference from 1900 average
2006,Glaciers,76.90944600200001,76.65369558500001,77.103695632,mm difference from 1900 average
2007,Glaciers,77.576563717,77.353695632,77.75369572800001,mm difference from 1900 average
2008,Glaciers,78.105041744,77.95369565600001,78.25369572800001,mm difference from 1900 average
2009,Glaciers,78.74417323,78.603695692,78.903695704,mm difference from 1900 average
2010,Glaciers,79.657810235,79.55369568,79.80369568,mm difference from 1900 average
2011,Glaciers,80.287740172,80.153695704,80.403695704,mm difference from 1900 average
2012,Glaciers,80.554316641,80.403695704,80.70369565600001,mm difference from 1900 average
2013,Glaciers,81.42114484400001,81.25369572800001,81.603695632,mm difference from 1900 average
2014,Glaciers,82.161499025,82.00369572800001,82.353695632,mm difference from 1900 average
2015,Glaciers,82.946356298,82.75369572800001,83.203695775,mm difference from 1900 average
2016,Glaciers,83.651720525,83.40369558500001,83.90369558500001,mm difference from 1900 average
2017,Glaciers,84.53961658600001,84.203695775,84.90369558500001,mm difference from 1900 average
2018,Glaciers,84.82573414000001,84.40369558500001,85.30369568,mm difference from 1900 average
1900,Greenland Ice Sheet,0.0,-10.735572820000002,10.66442489,mm difference from 1900 average
1901,Greenland Ice Sheet,-0.11495972000000165,-10.885574340000005,10.464427949999994,mm difference from 1900 average
1902,Greenland Ice Sheet,0.20272826999999438,-10.58557511,10.614425659999995,mm difference from 1900 average
1903,Greenland Ice Sheet,0.6108779899999988,-10.135574340000005,11.114425659999995,mm difference from 1900 average
1904,Greenland Ice Sheet,1.4378700199999983,-8.135574340000005,10.66442489,mm difference from 1900 average
1905,Greenland Ice Sheet,1.647220609999998,-7.035572050000006,10.114425659999995,mm difference from 1900 average
1906,Greenland Ice Sheet,2.1081390399999975,-6.385574340000005,10.564426419999997,mm difference from 1900 average
1907,Greenland Ice Sheet,2.4736862199999976,-6.135574340000005,10.814426419999997,mm difference from 1900 average
1908,Greenland Ice Sheet,3.183795929999995,-5.385574340000005,11.514427179999998,mm difference from 1900 average
1909,Greenland Ice Sheet,3.756938929999997,-3.635574340000005,10.91442489,mm difference from 1900 average
1910,Greenland Ice Sheet,4.206726069999995,-1.3855743400000051,9.764427179999998,mm difference from 1900 average
1911,Greenland Ice Sheet,4.27876663,-1.2355728200000016,9.764427179999998,mm difference from 1900 average
1912,Greenland Ice Sheet,4.804073329999994,-0.6855735800000033,10.314426419999997,mm difference from 1900 average
1913,Greenland Ice Sheet,5.143253319999992,-0.23557282000000157,10.66442489,mm difference from 1900 average
1914,Greenland Ice Sheet,5.301338189999996,-0.03557205000000607,10.614425659999995,mm difference from 1900 average
1915,Greenland Ice Sheet,5.623832699999994,0.3644256599999949,10.814426419999997,mm difference from 1900 average
1916,Greenland Ice Sheet,5.798954009999996,0.5144271799999984,10.964427949999994,mm difference from 1900 average
1917,Greenland Ice Sheet,6.486705779999994,1.3144264199999967,11.614425659999995,mm difference from 1900 average
1918,Greenland Ice Sheet,6.595855709999995,1.464427949999994,11.614425659999995,mm difference from 1900 average
1919,Greenland Ice Sheet,6.76171875,1.714427949999994,11.714427949999994,mm difference from 1900 average
1920,Greenland Ice Sheet,6.9412269599999945,1.9144248899999994,11.814426419999997,mm difference from 1900 average
1921,Greenland Ice Sheet,7.100280759999997,2.0644264199999967,12.014427179999998,mm difference from 1900 average
1922,Greenland Ice Sheet,6.904022209999994,2.0144271799999984,11.764427179999998,mm difference from 1900 average
1923,Greenland Ice Sheet,7.227603909999999,2.3144264199999967,12.014427179999998,mm difference from 1900 average
1924,Greenland Ice Sheet,7.8145141599999945,3.0644264199999967,12.514427179999998,mm difference from 1900 average
1925,Greenland Ice Sheet,8.006359099999997,3.3144264199999967,12.714427949999994,mm difference from 1900 average
1926,Greenland Ice Sheet,9.026550289999996,4.414424889999999,13.66442489,mm difference from 1900 average
1927,Greenland Ice Sheet,9.780265809999996,5.164424889999999,14.41442489,mm difference from 1900 average
1928,Greenland Ice Sheet,10.903919219999992,6.364425659999995,15.41442489,mm difference from 1900 average
1929,Greenland Ice Sheet,11.93214416,7.514427179999998,16.314426419999997,mm difference from 1900 average
1930,Greenland Ice Sheet,12.545555109999995,8.114425659999995,16.914426799999998,mm difference from 1900 average
1931,Greenland Ice Sheet,14.38956451,10.014427179999998,18.714426039999996,mm difference from 1900 average
1932,Greenland Ice Sheet,15.36641693,11.014427179999998,19.664426799999998,mm difference from 1900 average
1933,Greenland Ice Sheet,16.463266369999996,12.214427949999994,20.714426039999996,mm difference from 1900 average
1934,Greenland Ice Sheet,17.419315339999997,13.214427949999994,21.614425659999995,mm difference from 1900 average
1935,Greenland Ice Sheet,18.534864419999998,14.364425659999995,22.76442718,mm difference from 1900 average
1936,Greenland Ice Sheet,19.787210459999997,15.66442489,24.064426419999997,mm difference from 1900 average
1937,Greenland Ice Sheet,20.443244929999995,16.464426039999996,24.564426419999997,mm difference from 1900 average
1938,Greenland Ice Sheet,20.854034419999998,16.814426419999997,24.914426799999998,mm difference from 1900 average
1939,Greenland Ice Sheet,21.330848689999996,17.314426419999997,25.314426419999997,mm difference from 1900 average
1940,Greenland Ice Sheet,21.750530239999996,17.714426039999996,25.714426039999996,mm difference from 1900 average
1941,Greenland Ice Sheet,22.372089379999995,18.414426799999998,26.26442718,mm difference from 1900 average
1942,Greenland Ice Sheet,22.85211372,18.914426799999998,26.614425659999995,mm difference from 1900 average
1943,Greenland Ice Sheet,23.550727839999997,19.664426799999998,27.26442718,mm difference from 1900 average
1944,Greenland Ice Sheet,24.051492689999996,20.26442718,27.714426039999996,mm difference from 1900 average
1945,Greenland Ice Sheet,24.093381879999995,20.314426419999997,27.714426039999996,mm difference from 1900 average
1946,Greenland Ice Sheet,24.288185119999998,20.614425659999995,27.914426799999998,mm difference from 1900 average
1947,Greenland Ice Sheet,24.809946059999998,21.064426419999997,28.414426799999998,mm difference from 1900 average
1948,Greenland Ice Sheet,25.766801829999995,22.164426799999998,29.26442718,mm difference from 1900 average
1949,Greenland Ice Sheet,26.882114409999996,23.314426419999997,30.314426419999997,mm difference from 1900 average
1950,Greenland Ice Sheet,27.699010849999997,24.164426799999998,31.164426799999998,mm difference from 1900 average
1951,Greenland Ice Sheet,28.390237809999995,24.914426799999998,31.714426039999996,mm difference from 1900 average
1952,Greenland Ice Sheet,28.856164929999995,25.464426039999996,32.1644268,mm difference from 1900 average
1953,Greenland Ice Sheet,29.316190719999998,25.914426799999998,32.56442642,mm difference from 1900 average
1954,Greenland Ice Sheet,29.607625959999996,26.314426419999997,32.864426609999995,mm difference from 1900 average
1955,Greenland Ice Sheet,29.836683269999998,26.614425659999995,33.01442623,mm difference from 1900 average
1956,Greenland Ice Sheet,30.214584349999996,27.01442718,33.31442642,mm difference from 1900 average
