year,source,mean,lower,upper,units
1900,Antarctic Ice Sheet,0.0,-6.655146599999998,6.1948530680000005,mm difference from 1900 average
1901,Antarctic Ice Sheet,0.05452823700000131,-6.505146979999999,6.1948530680000005,mm difference from 1900 average
1902,Antarctic Ice Sheet,0.1092472080000011,-6.405146599999998,6.1948530680000005,mm difference from 1900 average
1903,Antarctic Ice Sheet,0.1630229950000004,-6.30514717,6.1948530680000005,mm difference from 1900 average
1904,Antarctic Ice Sheet,0.21721744600000115,-6.155146599999998,6.1948530680000005,mm difference from 1900 average
1905,Antarctic Ice Sheet,0.271737099000001,-6.05514717,6.1948530680000005,mm difference from 1900 average
1906,Antarctic Ice Sheet,0.32626152100000105,-5.905146599999998,6.144853115000001,mm difference from 1900 average
1907,Antarctic Ice Sheet,0.3805742270000021,-5.80514717,6.144853115000001,mm difference from 1900 average
1908,Antarctic Ice Sheet,0.4346580510000013,-5.655146599999998,6.144853115000001,mm difference from 1900 average
1909,Antarctic Ice Sheet,0.4891176230000003,-5.55514717,6.0948529250000005,mm difference from 1900 average
1910,Antarctic Ice Sheet,0.543312073000001,-5.455146789999999,6.0948529250000005,mm difference from 1900 average
1911,Antarctic Ice Sheet,0.597764015000001,-5.35514736,6.0948529250000005,mm difference from 1900 average
1912,Antarctic Ice Sheet,0.6520814900000005,-5.255146979999999,6.044852972000001,mm difference from 1900 average
1913,Antarctic Ice Sheet,0.7060585020000012,-5.10514736,6.044852972000001,mm difference from 1900 average
1914,Antarctic Ice Sheet,0.7604246139999997,-4.955146789999999,6.044852972000001,mm difference from 1900 average
1915,Antarctic Ice Sheet,0.8147392280000005,-4.85514736,6.044852972000001,mm difference from 1900 average
1916,Antarctic Ice Sheet,0.8689260490000006,-4.705146789999999,6.044852972000001,mm difference from 1900 average
1917,Antarctic Ice Sheet,0.922676087000001,-4.60514736,6.044852972000001,mm difference from 1900 average
1918,Antarctic Ice Sheet,0.9775743490000011,-4.505146979999999,5.994853020000001,mm difference from 1900 average
1919,Antarctic Ice Sheet,1.0320758820000009,-4.405146599999998,5.994853020000001,mm difference from 1900 average
1920,Antarctic Ice Sheet,1.0856132510000016,-4.255146979999999,5.994853020000001,mm difference from 1900 average
1921,Antarctic Ice Sheet,1.139894486000001,-4.155146599999998,5.994853020000001,mm difference from 1900 average
1922,Antarctic Ice Sheet,1.194589615,-4.05514717,5.994853020000001,mm difference from 1900 average
