quantity,mass_kg,total_yield
on_hoof,113,1.00
on_rail,81,0.57
fresh ham,12.7,0.112
pork loin,10.4,0.092
fresh side bacon,10.4,0.092
spare ribs,2.72,0.024
boston butt,4.08,0.036
fresh picnic,5.44,0.048
feet,1.36,0.012
head,2.26,0.02
back fat,10.4,0.092
misc trim,4.08,0.036
jowl,1.36,0.012
