cut,yield
fresh ham, 0.2
pork_loin,0.16
feet,0.02
fresh side bacon,0.16
spare ribs,0.04
back fat, 0.16
pork loin,0.16
boston butt,0.06
jowl,0.02
head,0.03
fresh picnic,0.083
misc trim,0.06
