years,Pollutant,"Fractional uncertainty, 1 std"
1970,SO2,0.561
1971,SO2,0.56
1972,SO2,0.558
1973,SO2,0.557
1974,SO2,0.555
1975,SO2,0.554
1976,SO2,0.553
1977,SO2,0.551
1978,SO2,0.55
1979,SO2,0.548
1980,SO2,0.547
1981,SO2,0.546
1982,SO2,0.544
1983,SO2,0.542
1984,SO2,0.541
1985,SO2,0.54
1986,SO2,0.538
1987,SO2,0.536
1988,SO2,0.535
1989,SO2,0.534
1990,SO2,0.532
1991,SO2,0.53
1992,SO2,0.528
1993,SO2,0.526
1994,SO2,0.524
1995,SO2,0.522
1996,SO2,0.519
1997,SO2,0.517
1998,SO2,0.515
1999,SO2,0.513
2000,SO2,0.511
2001,SO2,0.513
2002,SO2,0.514
2003,SO2,0.508
2004,SO2,0.502
2005,SO2,0.497
2006,SO2,0.494
2007,SO2,0.491
2008,SO2,0.487
2009,SO2,0.486
2010,SO2,0.483
2011,SO2,0.479
2012,SO2,0.477
2013,SO2,0.477
2014,SO2,0.477
2015,SO2,0.477
1970,NMVOC,1.292
1971,NMVOC,1.289
1972,NMVOC,1.287
1973,NMVOC,1.284
1974,NMVOC,1.281
1975,NMVOC,1.278
1976,NMVOC,1.276
1977,NMVOC,1.273
1978,NMVOC,1.27
1979,NMVOC,1.268
1980,NMVOC,1.265
1981,NMVOC,1.265
1982,NMVOC,1.265
1983,NMVOC,1.265
1984,NMVOC,1.265
1985,NMVOC,1.265
1986,NMVOC,1.265
1987,NMVOC,1.265
1988,NMVOC,1.265
1989,NMVOC,1.265
1990,NMVOC,1.265
1991,NMVOC,1.266
1992,NMVOC,1.267
1993,NMVOC,1.268
1994,NMVOC,1.269
1995,NMVOC,1.27
1996,NMVOC,1.271
1997,NMVOC,1.272
1998,NMVOC,1.273
1999,NMVOC,1.274
2000,NMVOC,1.275
2001,NMVOC,1.278
2002,NMVOC,1.278
2003,NMVOC,1.288
2004,NMVOC,131.0
2005,NMVOC,132.0
2006,NMVOC,132.6
2007,NMVOC,133.6
2008,NMVOC,133.8
2009,NMVOC,133.0
2010,NMVOC,133.8
2011,NMVOC,134.1
2012,NMVOC,133.9
2013,NMVOC,133.9
2014,NMVOC,133.9
2015,NMVOC,133.9
1970,PM10,1.418
1971,PM10,1.411
1972,PM10,1.403
1973,PM10,1.396
1974,PM10,1.389
1975,PM10,1.382
1976,PM10,1.374
1977,PM10,1.367
1978,PM10,1.36
1979,PM10,1.352
1980,PM10,1.345
1981,PM10,1.337
1982,PM10,1.328
1983,PM10,1.32
1984,PM10,1.312
1985,PM10,1.304
1986,PM10,1.295
1987,PM10,1.287
1988,PM10,1.279
1989,PM10,1.27
1990,PM10,1.262
1991,PM10,1.256
1992,PM10,1.249
1993,PM10,1.243
1994,PM10,1.236
1995,PM10,1.23
1996,PM10,1.224
1997,PM10,1.217
1998,PM10,1.211
1999,PM10,1.204
2000,PM10,1.198
2001,PM10,1.219
2002,PM10,1.222
2003,PM10,1.2
2004,PM10,1.169
2005,PM10,1.152
2006,PM10,1.135
2007,PM10,1.111
2008,PM10,1.102
2009,PM10,1.098
2010,PM10,1.081
2011,PM10,1.061
2012,PM10,1.043
2013,PM10,1.043
2014,PM10,1.043
2015,PM10,1.043
1970,PM2.5,1.275
1971,PM2.5,1.241
1972,PM2.5,1.207
1973,PM2.5,1.174
1974,PM2.5,1.14
1975,PM2.5,1.106
1976,PM2.5,1.072
1977,PM2.5,1.038
1978,PM2.5,1.005
1979,PM2.5,0.971
1980,PM2.5,0.937
1981,PM2.5,0.911
1982,PM2.5,0.885
1983,PM2.5,0.858
1984,PM2.5,0.832
1985,PM2.5,0.806
1986,PM2.5,0.78
1987,PM2.5,0.754
