years,Pollutant,"Fractional uncertainty, 1 std"
1988,PM2.5,0.727
1989,PM2.5,0.701
1990,PM2.5,0.675
1991,PM2.5,0.67
1992,PM2.5,0.664
1993,PM2.5,0.659
1994,PM2.5,0.653
1995,PM2.5,0.648
1996,PM2.5,0.642
1997,PM2.5,0.637
1998,PM2.5,0.631
1999,PM2.5,0.626
2000,PM2.5,0.62
2001,PM2.5,0.624
2002,PM2.5,0.639
2003,PM2.5,0.637
2004,PM2.5,0.626
2005,PM2.5,0.629
2006,PM2.5,0.624
2007,PM2.5,0.603
2008,PM2.5,0.596
2009,PM2.5,0.607
2010,PM2.5,0.58
2011,PM2.5,0.567
2012,PM2.5,0.565
2013,PM2.5,0.565
2014,PM2.5,0.565
2015,PM2.5,0.565
1970,BC,1.287
1971,BC,1.279
1972,BC,1.272
1973,BC,1.264
1974,BC,1.257
1975,BC,1.249
1976,BC,1.242
1977,BC,1.234
1978,BC,1.227
1979,BC,1.22
1980,BC,1.212
1981,BC,1.201
1982,BC,1.19
1983,BC,1.179
1984,BC,1.168
1985,BC,1.158
1986,BC,1.147
1987,BC,1.136
1988,BC,1.125
1989,BC,1.114
1990,BC,1.103
1991,BC,1.097
1992,BC,1.091
1993,BC,1.085
1994,BC,1.079
1995,BC,1.074
1996,BC,1.068
1997,BC,1.062
1998,BC,1.056
1999,BC,1.05
2000,BC,1.044
2001,BC,1.057
2002,BC,1.067
2003,BC,1.05
2004,BC,1.016
2005,BC,1.009
2006,BC,1.0
2007,BC,0.978
2008,BC,0.974
2009,BC,0.971
2010,BC,0.953
2011,BC,0.937
2012,BC,0.92
2013,BC,0.92
2014,BC,0.92
2015,BC,0.92
1970,NOx,0.831
1971,NOx,0.825
1972,NOx,0.82
1973,NOx,0.814
1974,NOx,0.809
1975,NOx,0.803
1976,NOx,0.797
1977,NOx,0.792
1978,NOx,0.786
1979,NOx,0.781
1980,NOx,0.775
1981,NOx,0.776
1982,NOx,0.777
1983,NOx,0.779
1984,NOx,0.78
1985,NOx,0.781
1986,NOx,0.782
1987,NOx,0.783
1988,NOx,0.785
1989,NOx,0.786
1990,NOx,0.787
1991,NOx,0.785
1992,NOx,0.783
1993,NOx,0.78
1994,NOx,0.778
1995,NOx,0.776
1996,NOx,0.774
1997,NOx,0.772
1998,NOx,0.769
1999,NOx,0.767
2000,NOx,0.765
2001,NOx,0.764
2002,NOx,0.752
2003,NOx,0.736
2004,NOx,0.72
2005,NOx,0.708
2006,NOx,0.689
2007,NOx,0.682
2008,NOx,0.673
2009,NOx,0.668
2010,NOx,0.672
2011,NOx,0.683
2012,NOx,0.694
2013,NOx,0.694
2014,NOx,0.694
2015,NOx,0.694
