Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1961","g/capita/day","19.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1962","g/capita/day","20.01"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1963","g/capita/day","20.48"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1964","g/capita/day","20.46"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1965","g/capita/day","20.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1966","g/capita/day","21.08"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1967","g/capita/day","21.41"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1968","g/capita/day","21.74"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1969","g/capita/day","21.69"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1970","g/capita/day","21.78"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1971","g/capita/day","21.96"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1972","g/capita/day","22.14"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1973","g/capita/day","22.04"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1974","g/capita/day","22.42"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1975","g/capita/day","22.5"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1976","g/capita/day","22.78"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1977","g/capita/day","22.78"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1978","g/capita/day","23.11"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1979","g/capita/day","23.32"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1980","g/capita/day","23.48"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1981","g/capita/day","23.52"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1982","g/capita/day","23.44"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1983","g/capita/day","23.65"
