Domain,Area,Element,Item,Year,Unit,Value
"New Food Balances","World","Protein supply quantity (g/capita/day)","Animal Products","2014","g/capita/day","32.04"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Animal Products","2015","g/capita/day","32.19"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Animal Products","2016","g/capita/day","32.38"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Animal Products","2017","g/capita/day","32.61"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Animal Products","2018","g/capita/day","32.89"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Bovine Meat","2014","g/capita/day","3.49"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Bovine Meat","2015","g/capita/day","3.42"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Bovine Meat","2016","g/capita/day","3.4"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Bovine Meat","2017","g/capita/day","3.41"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Bovine Meat","2018","g/capita/day","3.48"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2014","g/capita/day","0.75"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2015","g/capita/day","0.74"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2016","g/capita/day","0.74"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2017","g/capita/day","0.73"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2018","g/capita/day","0.72"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pigmeat","2014","g/capita/day","4.41"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pigmeat","2015","g/capita/day","4.46"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pigmeat","2016","g/capita/day","4.49"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pigmeat","2017","g/capita/day","4.51"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pigmeat","2018","g/capita/day","4.55"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Poultry Meat","2014","g/capita/day","5.15"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Poultry Meat","2015","g/capita/day","5.25"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Poultry Meat","2016","g/capita/day","5.29"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Poultry Meat","2017","g/capita/day","5.35"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Poultry Meat","2018","g/capita/day","5.37"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Other","2014","g/capita/day","0.4"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Other","2015","g/capita/day","0.4"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Other","2016","g/capita/day","0.38"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Other","2017","g/capita/day","0.38"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Other","2018","g/capita/day","0.37"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Offals, Edible","2014","g/capita/day","1.12"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Offals, Edible","2015","g/capita/day","1.13"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Offals, Edible","2016","g/capita/day","1.15"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Offals, Edible","2017","g/capita/day","1.11"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Offals, Edible","2018","g/capita/day","1.14"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Butter, Ghee","2014","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Butter, Ghee","2015","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Butter, Ghee","2016","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Butter, Ghee","2017","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Butter, Ghee","2018","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cream","2014","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cream","2015","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cream","2016","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cream","2017","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cream","2018","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fats, Animals, Raw","2014","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fats, Animals, Raw","2015","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fats, Animals, Raw","2016","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fats, Animals, Raw","2017","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fats, Animals, Raw","2018","g/capita/day","0.03"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Body Oil","2014","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Body Oil","2015","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Body Oil","2016","g/capita/day","0"
