year,usage_type,area_km2
1961,crops,13512263.43
1962,crops,13546842.16
1963,crops,13622044.33
1964,crops,13646016.6
1965,crops,13702810.34
1966,crops,13673354.09
1967,crops,13711666.07
1968,crops,13830942.47
1969,crops,13986061.76
1970,crops,13944637.23
1971,crops,13905656.4
1972,crops,13906496.3
1973,crops,13976594.9
1974,crops,13958846.7
1975,crops,13951730.4
1976,crops,14081261.23
1977,crops,14068136.4
1978,crops,14138023.1
1979,crops,14157599.1
1980,crops,14211161.48
1981,crops,14212047.9
1982,crops,14329036.3
1983,crops,14388009.8
1984,crops,14577084.8
1985,crops,14738680.57
1986,crops,14812091.92
1987,crops,14841470
1988,crops,14835757
1989,crops,14842205
1990,crops,14860117
1991,crops,14895009.27
1992,crops,14859047.8
1993,crops,14864642
1994,crops,14854055
1995,crops,14856020
1996,crops,14859883.6
1997,crops,14913164.2
1998,crops,14922364.2
1999,crops,14957845.9
2000,crops,14923122.2
2001,crops,14892414.61
2002,crops,14855085.3
2003,crops,14901546.8
2004,crops,14969669
2005,crops,15025500.3
2006,crops,14960381.3
2007,crops,14984908.1
2008,crops,15001658.6
2009,crops,15025920
2010,crops,15059400.7
2011,crops,15199981.3
2012,crops,15300326.6
2013,crops,15327035.77
2014,crops,15338626.49
2015,crops,15505271.84
2016,crops,15557263.2
2017,crops,15613367.53
1961,pasture,31180679.71
1962,pasture,31244123.86
1963,pasture,31268643.46
1964,pasture,31332693.6
1965,pasture,31429668.47
1966,pasture,31509272.57
1967,pasture,31607654.27
1968,pasture,31829110.84
1969,pasture,31813321.33
1970,pasture,31720059.76
1971,pasture,31906921.87
1972,pasture,32011097.2
1973,pasture,32111496.2
1974,pasture,32229553.2
1975,pasture,32297263.2
1976,pasture,32252267.12
1977,pasture,32264785.2
1978,pasture,32322782.2
1979,pasture,32342947.2
1980,pasture,32447378.2
1981,pasture,32467983.2
1982,pasture,32528508.2
1983,pasture,32557500.2
1984,pasture,32670161.2
1985,pasture,32823937.2
1986,pasture,32796592.2
1987,pasture,32923860.2
1988,pasture,33101570.2
1989,pasture,33215137.2
1990,pasture,33320840.2
1991,pasture,33332980.2
1992,pasture,33750813.2
1993,pasture,33579708.2
1994,pasture,33788102.2
1995,pasture,33769789.2
1996,pasture,33869309.2
1997,pasture,34020613.2
1998,pasture,34157383.2
1999,pasture,34152433.2
2000,pasture,34228508.8
2001,pasture,34219365
2002,pasture,34123484.2
2003,pasture,33917126.3
2004,pasture,33487131
2005,pasture,33533756.2
2006,pasture,33559621.4
2007,pasture,33484733.9
2008,pasture,33373779
2009,pasture,33287646.6
2010,pasture,33299559.6
2011,pasture,32983497.1
2012,pasture,32891028.1
2013,pasture,32749314.91
2014,pasture,32727492.8
2015,pasture,32470273.44
2016,pasture,32390607.93
2017,pasture,32664228.34
