year,land_area_Mha
1961,4469.2943
1962,4479.0966
1963,4489.0688
1964,4497.8710
1965,4513.248
1966,4518.2627
1967,4531.9320
1968,4566.0053
1969,4579.9383
1970,4566.4697
1971,4581.2578
1972,4591.76
1973,4608.81
1974,4618.84
1975,4624.90
1976,4633.3528
1977,4633.29
1978,4646.08
1979,4650.05
1980,4665.854
1981,4668.00
1982,4685.75
1983,4694.551
1984,4724.7
1985,4756.262
1986,4760.868
1987,4776.53
1988,4793.73
1989,4805.73
1990,4818.10
1991,4822.7985
1992,4861.0
1993,4844.44
1994,4864.22
1995,4862.58
1996,4872.92
1997,4893.38
1998,4907.97
1999,4911.03
2000,4915.2
2001,4911.1780
2002,4897.86
2003,4881.87
2004,4890.884
2005,4890.84
2006,4877.62
2007,4874.1
2008,4865.54
2009,4856.13
2010,4858.10
2011,4831.90
2012,4837.76
2013,4833.8327
2014,4841.8180
2015,4818.7959
2016,4826.5522
2017,4852.8806
