year,area_Mha
1961,4440.6094
1962,4450.4057
1963,4460.3549
1964,4469.5331
1965,4484.546
1966,4491.8533
1967,4503.2592
1968,4537.2825
1969,4549.2984
1970,4535.8978
1971,4550.7759
1972,4561.706
1973,4578.8575
1974,4588.9766
1975,4595.1522
1976,4597.4462
1977,4599.3331
1978,4614.9624
1979,4621.7908
1980,4637.2947
1981,4639.4122
1982,4656.0708
1983,4664.629
1984,4694.5544
1985,4725.8728
1986,4729.7617
1987,4745.5601
1988,4763.5277
1989,4775.5471
1990,4786.2891
1991,4789.4285
1992,4828.3526
1993,4812.1031
1994,4832.82
1995,4829.57
1996,4837.614
1997,4857.776
1998,4870.748
1999,4873.312
2000,4878.013
2001,4880.2195
2002,4868.5775
2003,4852.9271
2004,4858.9417
2005,4855.341
2006,4843.5993
2007,4837.2122
2008,4825.3454
2009,4818.1421
2010,4816.356
2011,4827.04
2012,4784.8675
2013,4785.9471
2014,4793.6406
2015,4754.9082
2016,4762.7326
2017,4793.319
2018,4775.5489
2019,4779.363
2020,4772.4276
