year,area_Mha
1961,1350.0149
1962,1353.5
1963,1361.022
1964,1363.8232
1965,1369.1676
1966,1368.549
1967,1370.0892
1968,1382.0158
1969,1395.59
1970,1391.4433
1971,1386.775
1972,1388.156
1973,1395.3143
1974,1393.7177
1975,1393.1633
1976,1399.9329
1977,1400.597
1978,1409.9556
1979,1414.7355
1980,1420.0254
1981,1420.3134
1982,1431.2344
1983,1437.306
1984,1456.3297
1985,1472.6805
1986,1480.2159
1987,1483.6436
1988,1483.5371
1989,1484.2118
1990,1485.9349
1991,1489.447
1992,1485.8589
1993,1486.1548
1994,1485.208
1995,1485.566
1996,1485.799
1997,1490.783
1998,1490.97
1999,1495.022
2000,1492.425
2001,1492.6949
2002,1490.7029
2003,1498.9264
2004,1505.0809
2005,1510.2441
2006,1507.94
2007,1510.5042
2008,1511.7704
2009,1516.289
2010,1521.32
2011,1532.845
2012,1541.9816
2013,1546.6788
2014,1548.3127
2015,1550.3079
2016,1553.2926
2017,1562.596
2018,1562.2937
2019,1560.854
2020,1561.6677
