year,value,units
1950,189,Mt
1955,270,Mt
1960,347,Mt
1965,456,Mt
1970,595,Mt
1975,644,Mt
1980,717,Mt
1985,719,Mt
1990,770,Mt
1995,753,Mt
2000,850,Mt
2001,852,Mt
2002,905,Mt
2003,971,Mt
2004,1063,Mt
2005,1148,Mt
2006,1250,Mt
2007,1348,Mt
2008,1343,Mt
2009,1239,Mt
2010,1433,Mt
2011,1538,Mt
2012,1560,Mt
2013,1650,Mt
2014,1671,Mt
2015,1621,Mt
2016,1629,Mt
2017,1732,Mt
2018,1814,Mt
2019,1869,Mt
