year,value,units
1950,1.890E+02,Mt
1955,2.700E+02,Mt
1960,3.470E+02,Mt
1965,4.560E+02,Mt
1970,5.950E+02,Mt
1975,6.440E+02,Mt
1980,7.170E+02,Mt
1985,7.190E+02,Mt
1990,7.700E+02,Mt
1995,7.530E+02,Mt
2000,8.500E+02,Mt
2001,8.520E+02,Mt
2002,9.050E+02,Mt
2003,9.710E+02,Mt
2004,1.063E+03,Mt
2005,1.148E+03,Mt
2006,1.250E+03,Mt
2007,1.350E+03,Mt
2008,1.345E+03,Mt
2009,1.241E+03,Mt
2010,1.435E+03,Mt
2011,1.540E+03,Mt
2012,1.562E+03,Mt
2013,1.652E+03,Mt
2014,1.674E+03,Mt
2015,1.623E+03,Mt
2016,1.632E+03,Mt
2017,1.735E+03,Mt
2018,1.826E+03,Mt
2019,1.874E+03,Mt
2020,1.878E+03,Mt
