Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total EU 28,780, 658, 817, 870, 858, 877, 865, 875, 940, 979, 989, 995
Total E. Europe & C. Asia,12 229,11 443,13 256,12 673,12 815,13 299,12 873,14 264,14 750,16 187,17 296,17 128
Total North America,31 833,27 513,26 152,28 518,30 118,30 864,26 944,27 045,27 459,27 803,25 821,23 686
Total Latin America,7 620,7 770,8 117,10 649,11 436,11 553,11 299,10 997,10 610,9 755,9 810,7 514
Total Africa,40 560,34 167,43 241,41 274,41 214,39 594,42 397,39 588,40 731,48 206,49 083,50 779
Total West Asia,12 404,10 017,13 642,15 622,14 669,13 238,15 406,16 908,16 032,16 887,16 251,21 678
Total South Asia,1 613,1 734,2 047,2 059,1 302,1 363,1 647,1 506, 954,1 367,1 215,1 002
Total East Asia,62 817,65 147,73 364,78 395,80 892,79 656,82 471,85 894,85 400,84 600,84 900,83 000
Total Oceania,3 759,2 784,3 121,3 606,3 373,2 829,3 098,3 508,3 108,3 154,2 644,2 172
Total World,173 613,161 233,183 759,193 665,196 675,193 271,197 000,200 584,199 983,208 937,208 009,207 952
