,category,subcategory,year,mass_produced_Mt,producing_population_Mhd,yield_kg_per_head
0,poultry,egg,1961,13.45702535,1893.2820000000002,7.107776522462052
1,poultry,egg,1962,13.789384699999998,1947.569,7.080306114956644
2,poultry,egg,1963,13.9907111,1945.34,7.191910462952492
3,poultry,egg,1964,14.60378965,1991.7979999999998,7.3319632061082505
4,poultry,egg,1965,15.01701205,2061.013,7.286228689484249
5,poultry,egg,1966,15.41484855,2143.234,7.192331098704108
6,poultry,egg,1967,16.149704999999997,2233.265,7.231432454276586
7,poultry,egg,1968,16.57977425,2294.618,7.225505182126175
8,poultry,egg,1969,17.1942879,2375.499,7.2381793888357775
9,poultry,egg,1970,17.971138399999997,2470.4,7.274586463730568
10,poultry,egg,1971,18.52647785,2557.4,7.244262864628137
11,poultry,egg,1972,19.057032500000002,2583.485,7.376482735529721
12,poultry,egg,1973,19.22912165,2677.18,7.182603205611876
13,poultry,egg,1974,19.68761585,2732.8320000000003,7.20410762534982
14,poultry,egg,1975,20.319733,2775.08,7.322215215417214
15,poultry,egg,1976,20.65696445,2843.289,7.265165254042061
16,poultry,egg,1977,21.609779999999997,2899.304,7.453437100766252
17,poultry,egg,1978,22.52185445,2840.525,7.928764735392225
18,poultry,egg,1979,23.140671100000002,2903.327,7.970397788468196
19,poultry,egg,1980,23.81410295,2923.33,8.146224665022423
20,poultry,egg,1981,24.37965975,2917.545,8.356224068523364
21,poultry,egg,1982,25.07263035,2971.2529999999997,8.43840304073736
22,poultry,egg,1983,25.51403165,3027.7470000000003,8.426738314000476
23,poultry,egg,1984,26.776456,3130.617,8.553092249866399
24,poultry,egg,1985,28.19321055,3256.304,8.65804008163857
25,poultry,egg,1986,29.2431293,3324.99,8.79495255624829
26,poultry,egg,1987,30.02397605,3406.849,8.812828525713936
27,poultry,egg,1988,31.2638094,3457.889,9.041299301394579
28,poultry,egg,1989,31.45509425,3497.7140000000004,8.99304352785848
29,poultry,egg,1990,32.3948969,3604.3379999999997,8.987752230784128
30,poultry,egg,1991,33.7230216,3699.594,9.115330384901695
31,poultry,egg,1992,34.18742545,3688.0890000000004,9.269685587847798
32,poultry,egg,1993,35.353451899999996,3726.72,9.486479236433109
33,poultry,egg,1994,38.2359682,4065.923,9.404006962256787
34,poultry,egg,1995,39.87188025,4207.945,9.475380559869484
35,poultry,egg,1996,42.1061504,4363.0,9.650733531973412
36,poultry,egg,1997,43.226470299999995,4495.168,9.616207959302077
37,poultry,egg,1998,44.6138619,4621.816,9.652885770441749
38,poultry,egg,1999,46.47570435,4784.073,9.714672905283845
39,poultry,egg,2000,47.81519960000001,4973.197,9.614579836672467
40,poultry,egg,2001,48.83773015,5104.308,9.567943421517667
41,poultry,egg,2002,50.23046095,5268.888000000001,9.533408368141435
42,poultry,egg,2003,50.9684874,5362.263000000001,9.50503311754757
43,poultry,egg,2004,52.2124302,5557.018,9.395764095059617
44,poultry,egg,2005,53.33698470000001,5722.981,9.319790630092955
45,poultry,egg,2006,54.41015465,5918.965,9.192511638436788
46,poultry,egg,2007,56.0049118,6077.78,9.214698755137567
47,poultry,egg,2008,58.065174899999995,6254.368,9.283939624275385
48,poultry,egg,2009,59.16256705,6348.052,9.319798742984462
49,poultry,egg,2010,60.2673114,6520.831,9.242274703944942
50,poultry,egg,2011,61.437388299999995,6616.656,9.285262570700365
51,poultry,egg,2012,62.8012169,6819.159000000001,9.209525236176484
52,poultry,egg,2013,64.2542753,6974.713000000001,9.212461545012676
53,poultry,egg,2014,63.6931179,7111.061,8.956907822897314
54,poultry,egg,2015,63.95750765,7223.672,8.853877591618225
55,poultry,egg,2016,65.93669109999999,7389.729,8.922748195502162
56,poultry,egg,2017,67.01877900000001,7483.715,8.955282102538646
57,poultry,egg,2018,68.90186875,7466.46,9.228184273403997
58,cattle,beef,1961,27.684559999999998,172.956292,160.06679884187156
59,cattle,beef,1962,29.203328999999997,184.306019,158.4502186008369
60,cattle,beef,1963,30.85574,193.884384,159.14505007272788
61,cattle,beef,1964,31.276594,191.78355,163.0827774332053
62,cattle,beef,1965,31.85847,191.617876,166.26042760227654
63,cattle,beef,1966,33.554401,196.736063,170.5554156585923
64,cattle,beef,1967,35.269224,204.662382,172.32880637536996
65,cattle,beef,1968,36.965205,211.065231,175.1364013147196
66,cattle,beef,1969,37.929078000000004,211.69523199999998,179.16831494816097
67,cattle,beef,1970,38.349455999999996,210.511331,182.17288265589843
68,cattle,beef,1971,38.073242,204.371632,186.29416239138314
69,cattle,beef,1972,38.539081,203.966484,188.94810678797603
70,cattle,beef,1973,38.839467,203.88558500000002,190.49638550954936
71,cattle,beef,1974,41.850386,216.929813,192.92132059321878
72,cattle,beef,1975,43.734815999999995,232.90156800000003,187.78240256415958
73,cattle,beef,1976,46.09133,243.24655,189.48400295913754
74,cattle,beef,1977,46.48643,243.78805,190.6837927453786
75,cattle,beef,1978,46.989773,245.20277099999998,191.63638652354382
76,cattle,beef,1979,45.785103,237.01611,193.17295773692348
77,cattle,beef,1980,45.566784999999996,234.955671,193.93779603642764
78,cattle,beef,1981,45.954189,237.10416899999998,193.81434410796885
79,cattle,beef,1982,45.915112,238.50753199999997,192.51011326552157
80,cattle,beef,1983,47.160771999999994,240.569335,196.03816920390122
81,cattle,beef,1984,48.484894,246.31993599999998,196.83706803171629
82,cattle,beef,1985,49.308076,246.807157,199.78381745226295
83,cattle,beef,1986,50.984708000000005,253.564338,201.07207662616975
