primary,secondary,year,producing_population_Mhd,produced_Mt
cattle,beef,1961,172.956292,27.68456
cattle,beef,1962,184.306019,29.203329
cattle,beef,1963,193.884384,30.85574
cattle,beef,1964,191.78355,31.276594
cattle,beef,1965,191.617876,31.85847
cattle,beef,1966,196.736063,33.554401
cattle,beef,1967,204.662382,35.269224
cattle,beef,1968,211.065231,36.965205
cattle,beef,1969,211.695232,37.929078
cattle,beef,1970,210.511331,38.349456
cattle,beef,1971,204.371632,38.073242
cattle,beef,1972,203.966484,38.539081
cattle,beef,1973,203.885585,38.839467
cattle,beef,1974,216.929813,41.850386
cattle,beef,1975,232.901568,43.734816
cattle,beef,1976,243.24655,46.09133
cattle,beef,1977,243.78805,46.48643
cattle,beef,1978,245.202771,46.989773
cattle,beef,1979,237.01611,45.785103
cattle,beef,1980,234.955671,45.566785
cattle,beef,1981,237.104169,45.954189
cattle,beef,1982,238.507532,45.915112
cattle,beef,1983,240.569335,47.160772
cattle,beef,1984,246.319936,48.484894
cattle,beef,1985,246.807157,49.308076
cattle,beef,1986,253.564338,50.984708
cattle,beef,1987,250.641496,50.940956
cattle,beef,1988,249.686489,51.340629
cattle,beef,1989,249.967413,51.558609
cattle,beef,1990,254.316127,53.029398
cattle,beef,1991,256.255651,53.554937
cattle,beef,1992,254.214526,52.691678
cattle,beef,1993,254.737613,52.095956
cattle,beef,1994,258.019568,51.950727
cattle,beef,1995,259.539306,52.662543
cattle,beef,1996,261.227492,53.702651
cattle,beef,1997,268.305393,54.749829
cattle,beef,1998,269.588084,54.273427
cattle,beef,1999,271.235668,55.479205
cattle,beef,2000,271.971267,55.835848
cattle,beef,2001,267.078997,55.296982
cattle,beef,2002,272.335478,56.345846
cattle,beef,2003,276.921991,57.151994
cattle,beef,2004,281.211809,58.767355
cattle,beef,2005,283.404941,59.109274
cattle,beef,2006,288.76184,60.365371
cattle,beef,2007,293.835954,62.183015
cattle,beef,2008,294.116193,62.263344
cattle,beef,2009,291.736127,62.570786
cattle,beef,2010,291.416468,62.654388
cattle,beef,2011,290.285032,62.374058
cattle,beef,2012,293.093702,62.938922
cattle,beef,2013,297.59357,63.968833
cattle,beef,2014,296.583849,64.471317
cattle,beef,2015,293.893542,63.923615
cattle,beef,2016,294.463976,64.568004
cattle,beef,2017,297.730185,65.415554
cattle,beef,2018,302.128113,67.3539
chicken,poultry,1961,6577.869,7.555908
chicken,poultry,1962,6853.536,7.884451
chicken,poultry,1963,7219.918,8.372615
chicken,poultry,1964,7495.146,8.677496
chicken,poultry,1965,8120.139,9.414814
chicken,poultry,1966,8277.472,9.998587
chicken,poultry,1967,9159.074,10.565237
chicken,poultry,1968,9474.67,11.031843
chicken,poultry,1969,10158.324,11.942458
chicken,poultry,1970,11034.188,13.140445
chicken,poultry,1971,11390.271,13.650413
chicken,poultry,1972,12169.12,14.653581
chicken,poultry,1973,12704.649,15.310782
chicken,poultry,1974,13190.174,15.927752
chicken,poultry,1975,13382.8,16.391227
chicken,poultry,1976,14286.949,17.54968
chicken,poultry,1977,15193.656,18.677902
chicken,poultry,1978,16215.309,20.032972
chicken,poultry,1979,17452.391,21.679775
chicken,poultry,1980,18392.525,22.896829
chicken,poultry,1981,19353.538,24.3121
chicken,poultry,1982,20022.384,25.184501
chicken,poultry,1983,20481.154,25.740904
chicken,poultry,1984,20861.57,26.268734
chicken,poultry,1985,21774.959,27.523787
chicken,poultry,1986,22869.302,29.292243
chicken,poultry,1987,24545.918,31.468679
chicken,poultry,1988,25491.08,32.913138
chicken,poultry,1989,25863.051,33.560015
chicken,poultry,1990,27184.885,35.416215
chicken,poultry,1991,28202.998,38.210226
chicken,poultry,1992,29335.752,39.87603
chicken,poultry,1993,30831.975,42.430003
chicken,poultry,1994,32078.838,44.804864
chicken,poultry,1995,34087.381,47.547147
chicken,poultry,1996,34994.325,49.146734
chicken,poultry,1997,36368.946,52.266358
chicken,poultry,1998,37102.236,54.476894
chicken,poultry,1999,38954.106,56.86626
chicken,poultry,2000,40554.848,58.6764
chicken,poultry,2001,42005.596,61.002259
chicken,poultry,2002,43664.254,64.16765
chicken,poultry,2003,44363.159,65.840525
chicken,poultry,2004,45278.33,68.23637
chicken,poultry,2005,47461.643,70.607592
chicken,poultry,2006,48259.122,72.716601
chicken,poultry,2007,51167.523,77.03023
chicken,poultry,2008,53571.315,80.839889
chicken,poultry,2009,55394.628,83.030541
chicken,poultry,2010,56643.368,87.2316
chicken,poultry,2011,58260.235,90.900641
chicken,poultry,2012,59489.556,94.109691
chicken,poultry,2013,60408.983,97.634277
chicken,poultry,2014,61827.376,100.437665
chicken,poultry,2015,63814.249,103.740143
chicken,poultry,2016,65326.782,106.638508
chicken,poultry,2017,66708.647,110.237687
chicken,poultry,2018,68785.221,114.26675
duck,poultry,1961,226.713,0.335922
duck,poultry,1962,235.197,0.346045
duck,poultry,1963,250.608,0.366765
duck,poultry,1964,258.949,0.381957
duck,poultry,1965,272.838,0.402146
duck,poultry,1966,283.829,0.417095
duck,poultry,1967,293.365,0.433902
duck,poultry,1968,304.553,0.451276
duck,poultry,1969,315.31,0.466106
duck,poultry,1970,336.631,0.500841
duck,poultry,1971,350.875,0.521801
duck,poultry,1972,358.449,0.530516
duck,poultry,1973,373.609,0.558946
duck,poultry,1974,386.389,0.578956
duck,poultry,1975,381.434,0.570701
duck,poultry,1976,396.43,0.589995
duck,poultry,1977,416.215,0.621924
duck,poultry,1978,441.339,0.661252
duck,poultry,1979,479.383,0.714188
duck,poultry,1980,479.245,0.713113
duck,poultry,1981,502.921,0.750035
duck,poultry,1982,523.895,0.786844
duck,poultry,1983,545.569,0.823462
duck,poultry,1984,560.407,0.842435
duck,poultry,1985,583.083,0.8773
duck,poultry,1986,629.61,0.960756
duck,poultry,1987,687.256,1.055325
duck,poultry,1988,730.986,1.117158
duck,poultry,1989,749.728,1.160024
duck,poultry,1990,812.04,1.239231
duck,poultry,1991,924.383,1.384017
duck,poultry,1992,1024.252,1.600472
duck,poultry,1993,1190.739,1.824259
duck,poultry,1994,1294.263,1.969074
duck,poultry,1995,1449.338,2.174388
duck,poultry,1996,1508.791,2.235681
duck,poultry,1997,1623.025,2.445095
duck,poultry,1998,1746.135,2.617016
duck,poultry,1999,2051.294,2.913024
duck,poultry,2000,1968.545,2.905226
duck,poultry,2001,2031.932,3.015062
duck,poultry,2002,1998.405,2.969118
duck,poultry,2003,2075.858,3.06016
duck,poultry,2004,2107.17,3.105228
duck,poultry,2005,2290.327,3.363853
duck,poultry,2006,2273.089,3.420132
duck,poultry,2007,2440.23,3.648929
duck,poultry,2008,2576.155,3.832971
duck,poultry,2009,2598.656,3.943042
duck,poultry,2010,2685.59,4.08196
duck,poultry,2011,2784.859,4.227252
duck,poultry,2012,2902.224,4.361555
duck,poultry,2013,2881.886,4.425976
duck,poultry,2014,2831.009,4.362532
duck,poultry,2015,2922.409,4.297034
duck,poultry,2016,2975.19,4.417258
duck,poultry,2017,2939.492,4.33452
duck,poultry,2018,2989.098,4.464925
goat,meat,1961,102.919701,1.101886
goat,meat,1962,104.626745,1.127134
goat,meat,1963,105.240845,1.125275
goat,meat,1964,106.687125,1.141659
goat,meat,1965,108.978029,1.172643
goat,meat,1966,111.484322,1.207492
goat,meat,1967,112.804276,1.222564
goat,meat,1968,114.705523,1.244382
goat,meat,1969,117.289368,1.275078
goat,meat,1970,118.837457,1.294486
goat,meat,1971,122.130975,1.327438
goat,meat,1972,125.282673,1.357759
goat,meat,1973,128.288351,1.383816
goat,meat,1974,130.844209,1.418451
goat,meat,1975,135.994437,1.484365
goat,meat,1976,138.036723,1.504076
goat,meat,1977,142.205731,1.54777
goat,meat,1978,148.488512,1.628071
goat,meat,1979,152.412994,1.657902
goat,meat,1980,156.407034,1.694149
goat,meat,1981,161.721278,1.754616
goat,meat,1982,163.678164,1.82427
goat,meat,1983,169.991008,1.912178
goat,meat,1984,174.416591,1.970058
goat,meat,1985,179.990888,2.028267
goat,meat,1986,185.446777,2.112546
goat,meat,1987,201.412501,2.298416
goat,meat,1988,207.31314,2.402032
goat,meat,1989,218.774686,2.545586
goat,meat,1990,228.282931,2.666651
goat,meat,1991,234.070228,2.757446
goat,meat,1992,242.70336,2.869479
goat,meat,1993,246.886613,2.972639
goat,meat,1994,254.527264,3.081506
goat,meat,1995,272.337374,3.334134
goat,meat,1996,266.07921,3.19186
goat,meat,1997,283.014488,3.389943
goat,meat,1998,299.857565,3.619092
goat,meat,1999,317.390537,3.791593
goat,meat,2000,319.370159,3.902627
goat,meat,2001,321.628426,3.989065
goat,meat,2002,325.986494,4.121698
goat,meat,2003,345.356858,4.317962
goat,meat,2004,369.884824,4.524687
goat,meat,2005,383.24619,4.703734
goat,meat,2006,384.956543,4.735574
goat,meat,2007,391.75933,4.919651
goat,meat,2008,400.921838,5.006768
goat,meat,2009,419.291269,5.129865
goat,meat,2010,426.317144,5.206939
goat,meat,2011,429.413577,5.178467
goat,meat,2012,434.691552,5.27217
goat,meat,2013,443.075261,5.396561
goat,meat,2014,453.671378,5.543929
goat,meat,2015,462.885192,5.669013
goat,meat,2016,475.381822,5.794581
goat,meat,2017,470.25028,5.882486
goat,meat,2018,479.172097,5.97702
swine,pork,1961,376.366821,24.748623
swine,pork,1962,400.614529,26.055878
swine,pork,1963,438.317204,28.017011
swine,pork,1964,453.715727,28.678415
swine,pork,1965,491.740573,31.285284
