primary,secondary,year,producing_population_Mhd,produced_Mt
swine,pork,1966,507.144931,32.412805
swine,pork,1967,525.627737,33.864987
swine,pork,1968,528.933603,34.402875
swine,pork,1969,518.408918,34.122221
swine,pork,1970,537.222595,35.796842
swine,pork,1971,595.074277,39.418389
swine,pork,1972,617.789219,40.624567
swine,pork,1973,614.783238,40.471811
swine,pork,1974,630.845691,42.431732
swine,pork,1975,627.303069,41.671811
swine,pork,1976,621.545118,40.752457
swine,pork,1977,643.453717,42.950133
swine,pork,1978,664.926432,45.643945
swine,pork,1979,721.459781,50.08646
swine,pork,1980,756.014033,52.676913
swine,pork,1981,748.905037,52.992604
swine,pork,1982,744.368269,53.198527
swine,pork,1983,770.247913,55.479655
swine,pork,1984,790.755032,57.489121
swine,pork,1985,815.034118,59.967763
swine,pork,1986,836.06101,60.722851
swine,pork,1987,855.73167,63.424667
swine,pork,1988,884.321746,66.897433
swine,pork,1989,901.139877,67.976022
swine,pork,1990,917.442681,69.701012
swine,pork,1991,925.602267,71.266032
swine,pork,1992,946.222814,73.323778
swine,pork,1993,966.11185,75.750763
swine,pork,1994,992.176051,79.289791
swine,pork,1995,1001.073647,83.963063
swine,pork,1996,999.774984,79.294017
swine,pork,1997,997.933665,83.202001
swine,pork,1998,1055.1478,88.793964
swine,pork,1999,1088.254196,90.787504
swine,pork,2000,1100.384024,89.873292
swine,pork,2001,1101.657969,90.761759
swine,pork,2002,1133.500519,93.173505
swine,pork,2003,1173.025584,95.607978
swine,pork,2004,1185.557429,96.657436
swine,pork,2005,1200.487078,98.784115
swine,pork,2006,1231.479013,100.759753
swine,pork,2007,1265.480763,99.363744
swine,pork,2008,1299.545256,103.563936
swine,pork,2009,1319.775446,106.148192
swine,pork,2010,1383.539789,108.972569
swine,pork,2011,1387.639934,109.623889
swine,pork,2012,1427.935389,113.1266
swine,pork,2013,1452.043214,115.104163
swine,pork,2014,1468.266226,117.055107
swine,pork,2015,1485.288483,119.407109
swine,pork,2016,1481.173814,118.956327
swine,pork,2017,1486.716445,119.929879
swine,pork,2018,1484.49284,120.881269
sheep,meat,1961,330.902794,4.930306
sheep,meat,1962,341.528424,5.039647
sheep,meat,1963,344.346633,5.038051
sheep,meat,1964,345.889336,5.016465
sheep,meat,1965,341.996356,5.039501
sheep,meat,1966,353.156025,5.110365
sheep,meat,1967,354.383563,5.271257
sheep,meat,1968,361.962955,5.428243
sheep,meat,1969,359.180542,5.375128
sheep,meat,1970,367.518246,5.536456
sheep,meat,1971,372.157891,5.634239
sheep,meat,1972,372.193401,5.660347
sheep,meat,1973,361.511701,5.401305
sheep,meat,1974,347.737446,5.143378
sheep,meat,1975,363.376997,5.307306
sheep,meat,1976,357.097972,5.315834
sheep,meat,1977,359.491642,5.336575
sheep,meat,1978,366.513464,5.416032
sheep,meat,1979,362.326932,5.386272
sheep,meat,1980,384.396206,5.647384
sheep,meat,1981,402.067515,5.866889
sheep,meat,1982,403.916209,5.887957
sheep,meat,1983,414.686533,6.081255
sheep,meat,1984,414.835674,6.102073
sheep,meat,1985,423.4847,6.220515
sheep,meat,1986,420.771042,6.223229
sheep,meat,1987,431.256493,6.351798
sheep,meat,1988,440.849982,6.651204
sheep,meat,1989,456.257199,6.83539
sheep,meat,1990,464.38474,7.033484
sheep,meat,1991,469.004117,7.134404
sheep,meat,1992,466.004726,7.13341
sheep,meat,1993,464.670615,7.151928
sheep,meat,1994,470.709344,7.242281
sheep,meat,1995,478.263373,7.22934
sheep,meat,1996,463.24159,7.075901
sheep,meat,1997,467.846024,7.240874
sheep,meat,1998,476.566139,7.450429
sheep,meat,1999,479.977796,7.518717
sheep,meat,2000,494.14532,7.717572
sheep,meat,2001,491.934115,7.722231
sheep,meat,2002,494.86801,7.591929
sheep,meat,2003,501.745399,7.72795
sheep,meat,2004,501.369576,7.888131
sheep,meat,2005,513.662329,8.124287
sheep,meat,2006,530.39295,8.341628
sheep,meat,2007,540.882502,8.664775
sheep,meat,2008,534.398155,8.588012
sheep,meat,2009,522.672814,8.565206
sheep,meat,2010,519.509284,8.484009
sheep,meat,2011,512.689187,8.57513
sheep,meat,2012,525.363072,8.680443
sheep,meat,2013,541.034127,8.923286
sheep,meat,2014,551.906143,9.173477
sheep,meat,2015,557.314382,9.437101
sheep,meat,2016,569.982155,9.567978
sheep,meat,2017,564.093728,9.532953
sheep,meat,2018,573.781178,9.788315
cattle,milk,1961,177.334557,313.626619
cattle,milk,1962,176.572244,316.043684
cattle,milk,1963,177.117785,312.824366
cattle,milk,1964,175.927677,317.615783
cattle,milk,1965,176.794885,332.513734
cattle,milk,1966,184.186306,340.905234
cattle,milk,1967,183.648552,350.206534
cattle,milk,1968,186.150424,357.545909
cattle,milk,1969,187.197358,358.277498
cattle,milk,1970,184.796281,359.280844
cattle,milk,1971,186.786143,361.282986
cattle,milk,1972,189.67049,371.08535
cattle,milk,1973,188.414803,377.506964
cattle,milk,1974,191.664627,384.561543
cattle,milk,1975,194.909493,387.727336
cattle,milk,1976,197.407922,394.9271
cattle,milk,1977,200.676806,406.20929
cattle,milk,1978,203.163678,411.685456
cattle,milk,1979,207.244476,417.087909
cattle,milk,1980,210.261906,422.351163
cattle,milk,1981,212.119923,423.980327
cattle,milk,1982,213.217788,434.51646
cattle,milk,1983,215.651397,449.7408
cattle,milk,1984,216.368694,453.18866
cattle,milk,1985,216.954192,458.802203
cattle,milk,1986,220.537233,466.670043
cattle,milk,1987,220.439302,465.776038
cattle,milk,1988,220.261096,471.378885
cattle,milk,1989,222.010096,476.762441
cattle,milk,1990,223.058659,478.539902
cattle,milk,1991,222.652927,469.031416
cattle,milk,1992,220.916779,459.594314
cattle,milk,1993,219.793864,459.252878
cattle,milk,1994,222.139943,460.728095
cattle,milk,1995,222.148313,463.324855
cattle,milk,1996,220.190546,467.108577
cattle,milk,1997,219.504036,468.483681
cattle,milk,1998,219.339328,474.474489
cattle,milk,1999,220.23547,483.144553
cattle,milk,2000,218.477512,489.874522
cattle,milk,2001,221.051627,496.78181
cattle,milk,2002,223.715182,509.52876
cattle,milk,2003,230.736769,518.514926
cattle,milk,2004,234.325435,527.49352
cattle,milk,2005,237.197399,545.067123
cattle,milk,2006,241.944248,561.330913
cattle,milk,2007,249.145515,573.692833
cattle,milk,2008,251.369977,586.205826
cattle,milk,2009,259.237486,590.471016
cattle,milk,2010,261.37358,601.868328
cattle,milk,2011,263.991735,616.177381
cattle,milk,2012,268.213041,630.244839
cattle,milk,2013,269.645043,635.379383
cattle,milk,2014,272.951126,655.24558
cattle,milk,2015,275.544683,661.430554
cattle,milk,2016,276.573845,665.596536
cattle,milk,2017,275.384484,677.670685
cattle,milk,2018,265.099487,683.217055
goat,milk,1961,73.7466,6.970539
goat,milk,1962,72.860597,6.740368
goat,milk,1963,72.066757,6.778274
goat,milk,1964,72.658319,6.771986
goat,milk,1965,73.798012,6.720089
goat,milk,1966,72.961462,6.698348
goat,milk,1967,73.789474,6.613988
goat,milk,1968,75.3288,6.569815
goat,milk,1969,75.803258,6.5288
goat,milk,1970,76.030681,6.486051
goat,milk,1971,76.409363,6.432916
goat,milk,1972,76.00653,6.425862
goat,milk,1973,76.55616,6.467297
goat,milk,1974,78.540136,6.588484
goat,milk,1975,81.358085,6.722877
goat,milk,1976,83.831097,6.960574
goat,milk,1977,87.237396,7.298088
goat,milk,1978,90.156454,7.460745
goat,milk,1979,91.966833,7.653385
goat,milk,1980,92.596412,7.738027
goat,milk,1981,94.957266,7.983162
goat,milk,1982,96.244417,8.12477
goat,milk,1983,97.566751,8.285859
goat,milk,1984,98.251385,8.264114
goat,milk,1985,101.097066,8.409865
goat,milk,1986,104.38884,8.50116
goat,milk,1987,105.92447,8.600676
goat,milk,1988,108.781742,8.828266
goat,milk,1989,111.624761,8.949433
goat,milk,1990,123.476288,10.170236
goat,milk,1991,127.598199,10.023458
goat,milk,1992,128.637641,10.602603
goat,milk,1993,133.298705,11.146618
goat,milk,1994,141.173415,11.600561
goat,milk,1995,146.344255,11.841793
goat,milk,1996,143.675785,11.759297
goat,milk,1997,148.704979,12.042913
goat,milk,1998,150.648145,12.441753
goat,milk,1999,158.650372,12.576574
goat,milk,2000,157.010266,12.71845
goat,milk,2001,155.894099,13.035331
goat,milk,2002,161.064755,13.340235
goat,milk,2003,165.134253,13.833771
goat,milk,2004,166.586328,14.046423
goat,milk,2005,173.310176,14.535513
goat,milk,2006,174.510758,14.683466
goat,milk,2007,178.898342,15.599258
goat,milk,2008,179.308271,15.656164
goat,milk,2009,185.720075,15.921307
goat,milk,2010,189.850751,16.249163
goat,milk,2011,197.35643,16.729434
goat,milk,2012,206.778479,17.150427
goat,milk,2013,200.659412,16.989512
goat,milk,2014,196.995089,17.293249
goat,milk,2015,208.866636,17.595201
goat,milk,2016,208.563046,18.153698
goat,milk,2017,214.012106,18.835764
goat,milk,2018,216.231667,18.712088
sheep,milk,1961,116.824762,5.100408
sheep,milk,1962,116.468178,5.087
sheep,milk,1963,118.115073,5.311553
sheep,milk,1964,119.715005,5.395207
sheep,milk,1965,121.019853,5.570688
sheep,milk,1966,122.673009,5.709241
sheep,milk,1967,125.481361,5.598496
sheep,milk,1968,127.305165,5.480271
sheep,milk,1969,126.429411,5.513193
sheep,milk,1970,126.728552,5.497431
sheep,milk,1971,125.189051,5.461489
sheep,milk,1972,124.724121,5.552197
sheep,milk,1973,126.89745,5.604874
sheep,milk,1974,128.698588,5.717673
sheep,milk,1975,131.741329,5.856305
sheep,milk,1976,135.052849,6.064218
sheep,milk,1977,138.944274,6.291527
sheep,milk,1978,143.225352,6.540376
sheep,milk,1979,146.449879,6.757918
sheep,milk,1980,151.377929,6.822722
sheep,milk,1981,154.930939,7.224908
sheep,milk,1982,157.11631,7.379878
sheep,milk,1983,161.468747,7.570479
sheep,milk,1984,155.009375,6.972902
sheep,milk,1985,155.831118,7.230227
sheep,milk,1986,154.869314,7.303417
sheep,milk,1987,157.309378,7.44728
sheep,milk,1988,161.522991,7.748062
sheep,milk,1989,164.828099,7.7593
sheep,milk,1990,170.292648,8.059848
sheep,milk,1991,179.993793,8.10311
sheep,milk,1992,187.784816,8.068527
sheep,milk,1993,187.932231,8.045259
sheep,milk,1994,193.364308,8.334234
sheep,milk,1995,194.549827,8.360595
sheep,milk,1996,198.892418,8.589104
sheep,milk,1997,198.765935,8.516798
sheep,milk,1998,200.781725,8.522067
sheep,milk,1999,203.581265,8.528762
sheep,milk,2000,205.724258,8.442305
sheep,milk,2001,205.021966,8.635085
sheep,milk,2002,205.026749,8.491152
sheep,milk,2003,200.29256,8.706748
sheep,milk,2004,201.822577,8.903797
sheep,milk,2005,209.459814,9.152989
sheep,milk,2006,210.96372,9.290046
sheep,milk,2007,217.18268,9.39172
sheep,milk,2008,213.506317,9.164566
sheep,milk,2009,221.425442,9.539299
sheep,milk,2010,231.434862,10.021327
sheep,milk,2011,231.870717,9.835687
sheep,milk,2012,233.522998,9.830126
sheep,milk,2013,233.531786,10.049262
sheep,milk,2014,234.689916,10.161633
sheep,milk,2015,238.517638,10.277845
sheep,milk,2016,247.293731,10.539619
sheep,milk,2017,248.457948,10.876334
sheep,milk,2018,251.034215,10.631057
total,eggs,1961,1949.397,15.109946
total,eggs,1962,2004.993,15.474781
total,eggs,1963,2003.272,15.670647
total,eggs,1964,2050.02,16.351543
total,eggs,1965,2119.629,16.852809
total,eggs,1966,2202.565,17.30428
total,eggs,1967,2293.091,18.123342
total,eggs,1968,2355.965,18.617158
total,eggs,1969,2437.523,19.417242
total,eggs,1970,2532.614,20.354149
total,eggs,1971,2619.838,21.058531
total,eggs,1972,2646.043,21.711502
total,eggs,1973,2739.856,21.947482
total,eggs,1974,2794.553,22.521989
total,eggs,1975,2843.062,23.230114
total,eggs,1976,2911.399,23.638479
total,eggs,1977,2973.657,24.742557
total,eggs,1978,2917.111,25.811748
total,eggs,1979,2983.204,26.561368
total,eggs,1980,3004.576,27.406145
total,eggs,1981,2997.677,28.01725
total,eggs,1982,3051.419,28.763022
total,eggs,1983,3106.749,29.308788
total,eggs,1984,3210.422,30.776159
total,eggs,1985,3330.725,32.497013
total,eggs,1986,3402.162,33.602357
total,eggs,1987,3481.378,34.490375
total,eggs,1988,3528.342,36.016964
total,eggs,1989,3564.872,36.30666
total,eggs,1990,3672.976,37.365608
total,eggs,1991,3772.652,39.1524
total,eggs,1992,3767.773,39.792136
total,eggs,1993,3810.296,41.282112
total,eggs,1994,4154.991,44.774081
total,eggs,1995,4299.356,46.884427
total,eggs,1996,4468.215,49.777068
total,eggs,1997,4608.05,49.932898
total,eggs,1998,4737.548,51.616947
total,eggs,1999,4889.429,53.544515
total,eggs,2000,5081.759,55.1719
total,eggs,2001,5218.191,56.29905
total,eggs,2002,5386.983,57.67522
total,eggs,2003,5484.752,58.668946
total,eggs,2004,5681.289,59.969934
total,eggs,2005,5857.51,61.226167
total,eggs,2006,6056.86,62.490135
total,eggs,2007,6221.495,64.323964
total,eggs,2008,6406.817,66.761652
total,eggs,2009,6510.614,68.131698
total,eggs,2010,6690.253,69.517904
total,eggs,2011,6786.69,70.879977
total,eggs,2012,7000.025,72.598479
total,eggs,2013,7168.703,74.280563
total,eggs,2014,7323.975,75.832285
total,eggs,2015,7440.246,78.075221
total,eggs,2016,7600.818,80.288962
total,eggs,2017,7712.277,81.363134
total,eggs,2018,7702.126,82.934177
total,milk,1961,389.107444,344.184775
total,milk,1962,387.477385,346.850639
total,milk,1963,389.216298,344.291955
total,milk,1964,390.546558,349.488572
total,milk,1965,394.236113,364.812477
total,milk,1966,402.654807,373.466847
total,milk,1967,405.495217,381.803333
total,milk,1968,412.271039,390.077633
total,milk,1969,413.211033,391.157148
total,milk,1970,411.965756,391.945638
total,milk,1971,414.378359,395.002336
total,milk,1972,416.751254,405.25151
total,milk,1973,418.416541,412.174137
total,milk,1974,425.760001,420.419019
total,milk,1975,435.301023,424.734585
total,milk,1976,444.71454,433.557297
total,milk,1977,456.312766,446.302451
total,milk,1978,465.316035,452.726282
total,milk,1979,475.854108,459.749411
total,milk,1980,485.777002,465.81916
total,milk,1981,494.730444,469.821906
total,milk,1982,499.879007,481.722523
total,milk,1983,508.607747,499.971613
total,milk,1984,505.614365,504.911887
total,milk,1985,511.068217,512.979429
total,milk,1986,519.013726,522.583172
total,milk,1987,523.532136,522.185551
total,milk,1988,531.635056,529.863289
total,milk,1989,541.618178,537.910826
total,milk,1990,560.297728,542.466322
total,milk,1991,575.934565,533.315002
total,milk,1992,581.668433,526.072469
total,milk,1993,585.761162,528.289694
total,milk,1994,602.586304,532.937911
total,milk,1995,609.877022,539.999313
total,milk,1996,610.967027,547.035147
total,milk,1997,615.855388,550.76684
total,milk,1998,621.197886,559.505507
total,milk,1999,632.900931,570.827439
total,milk,2000,632.445663,579.508811
total,milk,2001,634.626548,589.648558
total,milk,2002,643.571035,604.247386
total,milk,2003,650.295161,616.640014
total,milk,2004,658.539076,628.727698
total,milk,2005,677.280846,649.764895
total,milk,2006,685.307194,668.388394
total,milk,2007,705.480215,685.592848
total,milk,2008,705.562434,700.24813
total,milk,2009,729.074398,707.694287
total,milk,2010,746.710728,723.547498
total,milk,2011,758.920896,741.692398
total,milk,2012,776.787671,759.249683
total,milk,2013,772.904633,767.650676
total,milk,2014,774.288802,793.029201
total,milk,2015,795.366616,801.693936
total,milk,2016,806.649957,812.293511
total,milk,2017,813.295116,831.31717
total,milk,2018,809.812895,843.035456
chicken,eggs,1961,1893.282,13.45702535
chicken,eggs,1962,1947.569,13.7893847
chicken,eggs,1963,1945.34,13.9907111
chicken,eggs,1964,1991.798,14.60378965
chicken,eggs,1965,2061.013,15.01701205
chicken,eggs,1966,2143.234,15.41484855
chicken,eggs,1967,2233.265,16.149705
chicken,eggs,1968,2294.618,16.57977425
chicken,eggs,1969,2375.499,17.1942879
chicken,eggs,1970,2470.4,17.9711384
chicken,eggs,1971,2557.4,18.52647785
chicken,eggs,1972,2583.485,19.0570325
chicken,eggs,1973,2677.18,19.22912165
chicken,eggs,1974,2732.832,19.68761585
chicken,eggs,1975,2775.08,20.319733
chicken,eggs,1976,2843.289,20.65696445
chicken,eggs,1977,2899.304,21.60978
chicken,eggs,1978,2840.525,22.52185445
chicken,eggs,1979,2903.327,23.1406711
chicken,eggs,1980,2923.33,23.81410295
chicken,eggs,1981,2917.545,24.37965975
chicken,eggs,1982,2971.253,25.07263035
chicken,eggs,1983,3027.747,25.51403165
chicken,eggs,1984,3130.617,26.776456
chicken,eggs,1985,3256.304,28.19321055
chicken,eggs,1986,3324.99,29.2431293
chicken,eggs,1987,3406.849,30.02397605
chicken,eggs,1988,3457.889,31.2638094
chicken,eggs,1989,3497.714,31.45509425
chicken,eggs,1990,3604.338,32.3948969
chicken,eggs,1991,3699.594,33.7230216
chicken,eggs,1992,3688.089,34.18742545
chicken,eggs,1993,3726.72,35.3534519
chicken,eggs,1994,4065.923,38.2359682
chicken,eggs,1995,4207.945,39.87188025
chicken,eggs,1996,4363,42.1061504
chicken,eggs,1997,4495.168,43.2264703
chicken,eggs,1998,4621.816,44.6138619
chicken,eggs,1999,4784.073,46.47570435
chicken,eggs,2000,4973.197,47.8151996
chicken,eggs,2001,5104.308,48.83773015
chicken,eggs,2002,5268.888,50.23046095
chicken,eggs,2003,5362.263,50.9684874
chicken,eggs,2004,5557.018,52.2124302
chicken,eggs,2005,5722.981,53.3369847
chicken,eggs,2006,5918.965,54.41015465
chicken,eggs,2007,6077.78,56.0049118
chicken,eggs,2008,6254.368,58.0651749
chicken,eggs,2009,6348.052,59.16256705
chicken,eggs,2010,6520.831,60.2673114
chicken,eggs,2011,6616.656,61.4373883
chicken,eggs,2012,6819.159,62.8012169
chicken,eggs,2013,6974.713,64.2542753
chicken,eggs,2014,7111.061,63.6931179
chicken,eggs,2015,7223.672,63.95750765
chicken,eggs,2016,7389.729,65.9366911
chicken,eggs,2017,7483.715,67.018779
chicken,eggs,2018,7466.46,68.90186875
total,meat,1961,8360.712433,69.642195
total,meat,1962,8682.937633,72.877726
total,meat,1963,9124.714925,77.064856
total,meat,1964,9438.824698,78.61652
total,meat,1965,10132,82.682702
total,meat,1966,10362,86.334608
total,meat,1967,11306,90.408378
total,meat,1968,11656,93.298049
total,meat,1969,12355,94.960225
total,meat,1970,13314,98.645349
total,meat,1971,13800,102.821907
total,meat,1972,14643,105.707924
