,subcategory,mass_produced_Mt,producing_population_Mhd
0,beef,2908.2991720000005,14534.652921000003
1,chicken,2600.004618000001,1792137.4130000002
2,dairy (milk),27303.555509000005,12743.444173000002
3,egg,2114.154117,239533.15999999997
4,pork,4097.384349,53575.58105499999
