product,year,producing_population_Mhd,category
Beef and Buffalo Meat,1961,180.70043,meat
Beef and Buffalo Meat,1962,192.295024,meat
Beef and Buffalo Meat,1963,202.010951,meat
Beef and Buffalo Meat,1964,200.192259,meat
Beef and Buffalo Meat,1965,200.184152,meat
Beef and Buffalo Meat,1966,205.419077,meat
Beef and Buffalo Meat,1967,213.560186,meat
Beef and Buffalo Meat,1968,220.304388,meat
Beef and Buffalo Meat,1969,221.105998,meat
Beef and Buffalo Meat,1970,220.137951,meat
Beef and Buffalo Meat,1971,214.284166,meat
Beef and Buffalo Meat,1972,214.056236,meat
Beef and Buffalo Meat,1973,214.322428,meat
Beef and Buffalo Meat,1974,227.655042,meat
Beef and Buffalo Meat,1975,243.71782,meat
Beef and Buffalo Meat,1976,254.297067,meat
Beef and Buffalo Meat,1977,255.057076,meat
Beef and Buffalo Meat,1978,256.651008,meat
Beef and Buffalo Meat,1979,248.774573,meat
Beef and Buffalo Meat,1980,246.927394,meat
Beef and Buffalo Meat,1981,249.424593,meat
Beef and Buffalo Meat,1982,251.614525,meat
Beef and Buffalo Meat,1983,253.863101,meat
Beef and Buffalo Meat,1984,260.031899,meat
Beef and Buffalo Meat,1985,261.093073,meat
Beef and Buffalo Meat,1986,268.335635,meat
Beef and Buffalo Meat,1987,265.482647,meat
Beef and Buffalo Meat,1988,265.711761,meat
Beef and Buffalo Meat,1989,265.845578,meat
Beef and Buffalo Meat,1990,270.581774,meat
Beef and Buffalo Meat,1991,272.853733,meat
Beef and Buffalo Meat,1992,271.246619,meat
Beef and Buffalo Meat,1993,272.507387,meat
Beef and Buffalo Meat,1994,276.42767,meat
Beef and Buffalo Meat,1995,278.724565,meat
Beef and Buffalo Meat,1996,279.181186,meat
Beef and Buffalo Meat,1997,287.624259,meat
Beef and Buffalo Meat,1998,289.240603,meat
Beef and Buffalo Meat,1999,291.544521,meat
Beef and Buffalo Meat,2000,292.455281,meat
Beef and Buffalo Meat,2001,287.451361,meat
Beef and Buffalo Meat,2002,293.094265,meat
Beef and Buffalo Meat,2003,296.969831,meat
Beef and Buffalo Meat,2004,301.892071,meat
Beef and Buffalo Meat,2005,304.685661,meat
