year,Reported value,Temperature anomaly (K)
1880,global mean,0.076
1881,global mean,0.112
1882,global mean,0.099
1883,global mean,0.017
1884,global mean,-0.071
1885,global mean,-0.058
1886,global mean,-0.046
1887,global mean,-0.09
1888,global mean,0.059
1889,global mean,0.101
1890,global mean,-0.156
1891,global mean,-0.066
1892,global mean,-0.118
1893,global mean,-0.135
1894,global mean,-0.119
1895,global mean,-0.052
1896,global mean,0.098
1897,global mean,0.093
1898,global mean,-0.077
1899,global mean,0.038
1900,global mean,0.12
1901,global mean,0.041
1902,global mean,-0.058
1903,global mean,-0.179
1904,global mean,-0.261
1905,global mean,-0.085
1906,global mean,-0.013
1907,global mean,-0.187
1908,global mean,-0.236
1909,global mean,-0.246
1910,global mean,-0.208
1911,global mean,-0.247
1912,global mean,-0.143
1913,global mean,-0.124
1914,global mean,0.055
1915,global mean,0.103
1916,global mean,-0.127
1917,global mean,-0.2
1918,global mean,-0.106
1919,global mean,-0.053
1920,global mean,-0.035
1921,global mean,0.037
1922,global mean,-0.047
1923,global mean,-0.054
1924,global mean,-0.046
1925,global mean,0.019
1926,global mean,0.125
1927,global mean,0.027
1928,global mean,0.018
1929,global mean,-0.128
1930,global mean,0.089
1931,global mean,0.136
1932,global mean,0.069
1933,global mean,-0.061
1934,global mean,0.088
1935,global mean,0.043
1936,global mean,0.081
1937,global mean,0.191
1938,global mean,0.183
1939,global mean,0.211
1940,global mean,0.358
1941,global mean,0.472
1942,global mean,0.308
1943,global mean,0.306
1944,global mean,0.479
1945,global mean,0.376
1946,global mean,0.19
1947,global mean,0.165
1948,global mean,0.148
1949,global mean,0.127
1950,global mean,0.048
1951,global mean,0.201
1952,global mean,0.245
1953,global mean,0.331
1954,global mean,0.102
1955,global mean,0.073
1956,global mean,0.019
1957,global mean,0.273
1958,global mean,0.327
1959,global mean,0.282
1960,global mean,0.252
1961,global mean,0.298
1962,global mean,0.309
1963,global mean,0.321
1964,global mean,0.06
1965,global mean,0.132
1966,global mean,0.192
1967,global mean,0.2
1968,global mean,0.175
1969,global mean,0.308
1970,global mean,0.26
1971,global mean,0.135
1972,global mean,0.238
1973,global mean,0.395
1974,global mean,0.14
1975,global mean,0.215
1976,global mean,0.135
1977,global mean,0.415
1978,global mean,0.319
1979,global mean,0.43
1980,global mean,0.483
1981,global mean,0.525
1982,global mean,0.395
1983,global mean,0.562
1984,global mean,0.37
1985,global mean,0.359
1986,global mean,0.438
1987,global mean,0.586
1988,global mean,0.595
1989,global mean,0.496
1990,global mean,0.65
1991,global mean,0.592
1992,global mean,0.439
1993,global mean,0.485
1994,global mean,0.547
1995,global mean,0.671
1996,global mean,0.526
1997,global mean,0.716
1998,global mean,0.854
1999,global mean,0.642
2000,global mean,0.626
2001,global mean,0.772
2002,global mean,0.822
2003,global mean,0.841
2004,global mean,0.784
2005,global mean,0.869
2006,global mean,0.837
2007,global mean,0.821
2008,global mean,0.745
2009,global mean,0.846
2010,global mean,0.926
2011,global mean,0.777
2012,global mean,0.838
2013,global mean,0.875
2014,global mean,0.941
2015,global mean,1.128
2016,global mean,1.195
2017,global mean,1.109
2018,global mean,1.028
2019,global mean,1.149
2020,global mean,1.203
1880,total error std,0.096
1881,total error std,0.096
1882,total error std,0.096
1883,total error std,0.096
1884,total error std,0.096
1885,total error std,0.096
1886,total error std,0.096
1887,total error std,0.096
1888,total error std,0.095
1889,total error std,0.092
1890,total error std,0.092
1891,total error std,0.092
1892,total error std,0.092
1893,total error std,0.092
1894,total error std,0.092
1895,total error std,0.091
1896,total error std,0.091
1897,total error std,0.092
1898,total error std,0.092
1899,total error std,0.092
1900,total error std,0.092
1901,total error std,0.092
1902,total error std,0.093
1903,total error std,0.094
1904,total error std,0.094
1905,total error std,0.093
1906,total error std,0.093
1907,total error std,0.094
1908,total error std,0.095
1909,total error std,0.092
1910,total error std,0.091
1911,total error std,0.091
1912,total error std,0.09
1913,total error std,0.089
1914,total error std,0.089
1915,total error std,0.09
1916,total error std,0.09
1917,total error std,0.091
1918,total error std,0.091
1919,total error std,0.092
1920,total error std,0.094
1921,total error std,0.095
1922,total error std,0.096
1923,total error std,0.101
1924,total error std,0.102
1925,total error std,0.105
1926,total error std,0.105
1927,total error std,0.106
1928,total error std,0.107
1929,total error std,0.109
1930,total error std,0.109
1931,total error std,0.109
1932,total error std,0.109
1933,total error std,0.108
1934,total error std,0.107
