quantity,mass_kg,total_yield
on_hoof,453,1.00
on_rail,276,0.61
round,46,0.103
sirloin,17.5,0.0387
short loin,15.6,0.0344
flank,7.8,0.0172
rib,17.55,0.0387
short plate,13.65,0.0301
chuck,48.76,0.107
brisket,11.7,0.02358
shank,7.80,0.0172
suet and hanging tender,7.80, 0.0172
