Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total EU 28,6 886,2 981,4 936,5 177,5 094,4 947,5 089,5 092,4 490,4 844,4 503,4 266
Total E. Europe & C. Asia,18 172,10 294,18 961,19 900,17 266,17 105,22 597,22 116,21 046,23 799,23 951,24 464
Total North America,18 396,8 000,16 574,18 879,16 192,17 608,18 417,19 549,18 378,21 139,23 253,20 950
Total Latin America,1 543,1 802,2 071,2 142,2 599,2 462,2 558,2 530,2 506,2 321,1 971,1 578
Total Africa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Total West Asia,5 561,5 230,6 194,6 519,6 761,6 901,7 234,6 551,7 283,7 096,7 315,6 640
Total South Asia, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Total East Asia,3 300,3 437,3 933,4 356,5 233,6 840,8 063,8 367,8 102,7 762,7 727,8 462
Total Oceania, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Total World,53 857,31 744,52 669,56 972,53 144,55 864,63 957,64 204,61 805,66 961,68 720,66 359
