quantity,year,unit,mass_nitrogen
production,1961,tonnes,12680679
production,1962,tonnes,13296729
production,1963,tonnes,15224622
production,1964,tonnes,17332962
production,1965,tonnes,20009098
production,1966,tonnes,22714708
production,1967,tonnes,25453633
production,1968,tonnes,27746890
production,1969,tonnes,29790258
production,1970,tonnes,32834366
production,1971,tonnes,34797574
production,1972,tonnes,37890637
production,1973,tonnes,40562832
production,1974,tonnes,41938615
production,1975,tonnes,44103593
production,1976,tonnes,45840524
production,1977,tonnes,49743029
production,1978,tonnes,55074463
production,1979,tonnes,58797703
production,1980,tonnes,61924606
production,1981,tonnes,61453749
production,1982,tonnes,62651086
production,1983,tonnes,67451923
production,1984,tonnes,73982695
production,1985,tonnes,72828818
production,1986,tonnes,76863274
production,1987,tonnes,81131360
production,1988,tonnes,84872801
production,1989,tonnes,84295849
production,1990,tonnes,81390341
production,1991,tonnes,79906186
production,1992,tonnes,79401095
production,1993,tonnes,79317920
production,1994,tonnes,79372075
production,1995,tonnes,86084980
production,1996,tonnes,89996464
production,1997,tonnes,87157043
production,1998,tonnes,88009236
production,1999,tonnes,88793871
production,2000,tonnes,84853097
production,2001,tonnes,85417741
production,2002,tonnes,87051246.23
production,2003,tonnes,88392613.74
production,2004,tonnes,93753915.34
production,2005,tonnes,95014966.8
production,2006,tonnes,94701146
production,2007,tonnes,101914084.8
production,2008,tonnes,99688580.8
production,2009,tonnes,98259484.33
production,2010,tonnes,106838151.1
production,2011,tonnes,107196540.5
production,2012,tonnes,109240812.6
production,2013,tonnes,114852162.8
production,2014,tonnes,115635404
production,2015,tonnes,120226901.1
production,2016,tonnes,119073445.5
production,2017,tonnes,119441432.7
production,2018,tonnes,119615318.3
Agricultural Use,1961,tonnes,11391804.27
Agricultural Use,1962,tonnes,12855002.11
Agricultural Use,1963,tonnes,14513072.48
Agricultural Use,1964,tonnes,16264761.43
Agricultural Use,1965,tonnes,18758908.2
Agricultural Use,1966,tonnes,21830266.93
Agricultural Use,1967,tonnes,23828395.37
Agricultural Use,1968,tonnes,26041899.73
Agricultural Use,1969,tonnes,28143365.27
Agricultural Use,1970,tonnes,31343417.79
Agricultural Use,1971,tonnes,33341699.15
Agricultural Use,1972,tonnes,35826077.12
Agricultural Use,1973,tonnes,38681530.99
Agricultural Use,1974,tonnes,38304311.29
Agricultural Use,1975,tonnes,43583776.05
Agricultural Use,1976,tonnes,44775124.52
Agricultural Use,1977,tonnes,48797637.21
Agricultural Use,1978,tonnes,53458253.87
Agricultural Use,1979,tonnes,56447201.52
Agricultural Use,1980,tonnes,60049483.09
Agricultural Use,1981,tonnes,60137215.37
Agricultural Use,1982,tonnes,61137330.73
Agricultural Use,1983,tonnes,65908823.97
Agricultural Use,1984,tonnes,70089567.96
Agricultural Use,1985,tonnes,70017620.99
Agricultural Use,1986,tonnes,71907201.12
Agricultural Use,1987,tonnes,75083108.07
Agricultural Use,1988,tonnes,78848305.38
Agricultural Use,1989,tonnes,78035445.88
Agricultural Use,1990,tonnes,76421665.53
Agricultural Use,1991,tonnes,74889795.8
Agricultural Use,1992,tonnes,72908219.46
Agricultural Use,1993,tonnes,71223619.56
Agricultural Use,1994,tonnes,72279787.88
Agricultural Use,1995,tonnes,77963205.39
Agricultural Use,1996,tonnes,82356294.09
Agricultural Use,1997,tonnes,80986854.72
Agricultural Use,1998,tonnes,82558678.77
Agricultural Use,1999,tonnes,84709334.03
Agricultural Use,2000,tonnes,80727646.99
Agricultural Use,2001,tonnes,81678691.57
Agricultural Use,2002,tonnes,84355535.5
Agricultural Use,2003,tonnes,86708606
Agricultural Use,2004,tonnes,89567210.56
Agricultural Use,2005,tonnes,90181622.78
Agricultural Use,2006,tonnes,92549320.18
Agricultural Use,2007,tonnes,96441722.97
Agricultural Use,2008,tonnes,95243484.94
Agricultural Use,2009,tonnes,96663112.4
Agricultural Use,2010,tonnes,100473913
Agricultural Use,2011,tonnes,104332111.6
Agricultural Use,2012,tonnes,104871008.2
Agricultural Use,2013,tonnes,106783569
Agricultural Use,2014,tonnes,107343123.3
Agricultural Use,2015,tonnes,106072236.2
Agricultural Use,2016,tonnes,107943737.2
Agricultural Use,2017,tonnes,109905248.4
Agricultural Use,2018,tonnes,108657995.1
