Region,year,Units,Reported value,Value
EEA-38+UK,1800,km2,Area,193.0
EEA-38+UK,1838,km2,Area,195.0
EEA-38+UK,1858,km2,Area,201.0
EEA-38+UK,1899,km2,Area,3066.0
EEA-38+UK,1900,km2,Area,3206.0
EEA-38+UK,1905,km2,Area,3207.0
EEA-38+UK,1909,km2,Area,3486.0
EEA-38+UK,1911,km2,Area,3486.0
EEA-38+UK,1912,km2,Area,3494.0
EEA-38+UK,1913,km2,Area,3494.0
EEA-38+UK,1914,km2,Area,3665.0
EEA-38+UK,1915,km2,Area,3665.0
EEA-38+UK,1916,km2,Area,3665.0
EEA-38+UK,1917,km2,Area,3665.0
EEA-38+UK,1918,km2,Area,4483.0
EEA-38+UK,1919,km2,Area,4483.0
EEA-38+UK,1920,km2,Area,4537.0
EEA-38+UK,1921,km2,Area,4701.0
EEA-38+UK,1922,km2,Area,5412.0
EEA-38+UK,1923,km2,Area,5913.0
EEA-38+UK,1924,km2,Area,6753.0
EEA-38+UK,1925,km2,Area,6762.0
EEA-38+UK,1926,km2,Area,6785.0
EEA-38+UK,1927,km2,Area,6794.0
EEA-38+UK,1928,km2,Area,6795.0
EEA-38+UK,1929,km2,Area,6854.0
EEA-38+UK,1930,km2,Area,6928.0
EEA-38+UK,1931,km2,Area,6981.0
EEA-38+UK,1932,km2,Area,7219.0
EEA-38+UK,1933,km2,Area,7330.0
EEA-38+UK,1934,km2,Area,7748.0
EEA-38+UK,1935,km2,Area,9087.0
EEA-38+UK,1936,km2,Area,9116.0
EEA-38+UK,1937,km2,Area,9167.0
EEA-38+UK,1938,km2,Area,9493.0
EEA-38+UK,1939,km2,Area,10836.0
EEA-38+UK,1940,km2,Area,11072.0
EEA-38+UK,1941,km2,Area,11415.0
EEA-38+UK,1942,km2,Area,11520.0
EEA-38+UK,1943,km2,Area,11599.0
EEA-38+UK,1944,km2,Area,11610.0
EEA-38+UK,1945,km2,Area,11616.0
EEA-38+UK,1946,km2,Area,11646.0
EEA-38+UK,1947,km2,Area,11734.0
EEA-38+UK,1948,km2,Area,11995.0
EEA-38+UK,1949,km2,Area,13217.0
EEA-38+UK,1950,km2,Area,13429.0
EEA-38+UK,1951,km2,Area,22584.0
EEA-38+UK,1952,km2,Area,24882.0
EEA-38+UK,1953,km2,Area,25340.0
EEA-38+UK,1954,km2,Area,30128.0
EEA-38+UK,1955,km2,Area,35528.0
EEA-38+UK,1956,km2,Area,42366.0
EEA-38+UK,1957,km2,Area,43856.0
EEA-38+UK,1958,km2,Area,87043.0
EEA-38+UK,1959,km2,Area,90890.0
EEA-38+UK,1960,km2,Area,92730.0
EEA-38+UK,1961,km2,Area,93937.0
EEA-38+UK,1962,km2,Area,96014.0
EEA-38+UK,1963,km2,Area,101366.0
EEA-38+UK,1964,km2,Area,103759.0
EEA-38+UK,1965,km2,Area,106256.0
EEA-38+UK,1966,km2,Area,109393.0
EEA-38+UK,1967,km2,Area,114649.0
EEA-38+UK,1968,km2,Area,118505.0
EEA-38+UK,1969,km2,Area,122709.0
EEA-38+UK,1970,km2,Area,141267.0
EEA-38+UK,1971,km2,Area,148520.0
EEA-38+UK,1972,km2,Area,157599.0
EEA-38+UK,1973,km2,Area,169189.0
EEA-38+UK,1974,km2,Area,179225.0
EEA-38+UK,1975,km2,Area,189520.0
EEA-38+UK,1976,km2,Area,197481.0
EEA-38+UK,1977,km2,Area,210384.0
EEA-38+UK,1978,km2,Area,213824.0
EEA-38+UK,1979,km2,Area,224106.0
EEA-38+UK,1980,km2,Area,243716.0
