,dam_name,height_m,reservoir_capacity_million_m^3,reservoir_area_km^2
13,Ighil Emda,76.0,160.0,
15,Erraguene,82.0,200.0,
84,Matala,16.0,78.0,
85,Mabubas,38.0,61.7,
86,Biopio,20.0,2.2,
90,Cambambe,68.0,20.0,
91,Lomaum,30.0,0.7,0.28
94,Gove,58.0,2574.0,178.2
95,Tundavala,26.0,2.05,
99,Cunje II,24.0,87.06,9.0
100,Chicapa I,16.0,1.0,
101,Capanda,110.0,4975.0,
102,Luachimo,,,
103,Lomaum,,0.7,
104,Capanda,,,
105,Medio Kwanza,,,
106,Capanda II,,,
107,Baine,,,
110,Nangbeto East,,,
111,Olougbe,,1250.0,
112,Ketou,,1550.0,
113,Batchanga,,350.0,
114,Assante,,980.0,
190,Bagre,,3.5,
207,Kompienga,,2050.0,
210,Kompienga,,1400.0,65.55
269,NoumbieL,,,
270,Diebuugo,,,
271,Rwegura,,,
272,Rusumo Falls,,17000.0,
273,Mpanda,,,
274,Kaganuzi Complex,,,
275,Kabu 16,,,
276,Jiji 03,,,
277,Edea,15.0,6.573,
278,Edea,,,
279,Mopfou,20.0,5.0,
280,Mbakaou,30.0,2600.0,
281,Bamendjin,17.0,1879.0,
284,Song Loulou,35.0,10.0,
285,Lagdo,40.0,7800.0,
287,Mape,34.0,3300.0,520.0
288,Nachtigal,,,
289,Memve Ele,,,
290,Lom Pangar,,7500.0,
291,Kader,,,
292,Bini Warak,,,
293,Song Ndong,,,
294,Son Mbengue,,,
295,Njock-Poume,,10.0,
296,Kikot,,,
297,Boali 1and2,,,
298,Palambo,,,
299,Boali III,,,
300,Djoue,36.0,8.5,
301,Moukoukoulou,60.0,0.5,
302,Sounda,,,
303,Maukaukoule,,,
304,Djouel,,,
305,Mpe,,,
306,Kouembali,,,
307,Imboulou,,,
308,Gamomba,,,
309,Dijoue Ext.,,,
310,Chollet,,,
311,Ayme I,30.0,900.0,180.0
315,Ayme II,35.0,69.0,1.0
316,Kossou,58.0,27675.0,1780.0
327,Taabo,34.0,69.0,29.7
330,San Pedro,15.0,25.0,
331,Buyo,37.0,8300.0,895.0
333,Soubre,,,
334,Tayaboui,,,
335,Singrobo,,,
336,Ndieliesso,,,
337,Missouli,,,
338,Malamasso,,,
339,Louga,,,
340,Kokumbo,,,
341,Gibo-Popoli (Gribo-Popoli),,,
