region,area_loss_Mha,time_period
north america,70,2001-2015
latin america,78,2001-2015
europe,15,2001-2015
africa,39,2001-2015
russia/china/south asia,64,2001-2015
southeast asia,39,2001-2015
oceania,10,2001-2015
