Sink/source type,Estimate type,Original data source,Value (Tg CH4 yr-1)
Biomass and Biofuel Burning,Top-down,NIES-TM-FLEXPART/SURF,35
Biomass and Biofuel Burning,Top-down,MIROC4-ACTM-Cao/SURF,36
Biomass and Biofuel Burning,Top-down,Ensemble max,36
Biomass burning,Bottom-up,GFEDv41s,14
Biomass burning,Bottom-up,"QFEDv2,5",14
Biomass burning,Bottom-up,Ensemble min,14
Biomass burning,Bottom-up,"FINNv1,5",15
Biomass burning,Bottom-up,GFASv13,16
Biomass burning,Bottom-up,USEPA,20
Biomass burning,Bottom-up,FAO,26
Biomass burning,Bottom-up,Ensemble max,26
Coal mining,Bottom-up,USEPA,29
Coal mining,Bottom-up,Ensemble min,29
Coal mining,Bottom-up,EDGARv432,37
Coal mining,Bottom-up,GAINSgridded,41
Coal mining,Bottom-up,CEDScount,61
Coal mining,Bottom-up,Ensemble max,61
Enteric fermentation and Manure,Bottom-up,USEPA,106
Enteric fermentation and Manure,Bottom-up,Ensemble min,106
Enteric fermentation and Manure,Bottom-up,GAINSgridded,107
Enteric fermentation and Manure,Bottom-up,CEDScount,110
Enteric fermentation and Manure,Bottom-up,FAO,115
Enteric fermentation and Manure,Bottom-up,EDGARv432,116
Enteric fermentation and Manure,Bottom-up,Ensemble max,116
Fossil fuel,Bottom-up,EDGARv432,113
Fossil fuel,Bottom-up,Ensemble min,113
Fossil fuel,Bottom-up,GAINSgridded,122
Fossil fuel,Bottom-up,USEPA,124
Fossil fuel,Bottom-up,CEDSgridded,154
Fossil fuel,Bottom-up,Ensemble max,154
Fossil fuels,Top-down,MIROC4-ACTM-Cao/SURF,80
Fossil fuels,Top-down,Ensemble min,80
Fossil fuels,Top-down,TM5-4Dvar/GOSAT1,83
Fossil fuels,Top-down,TM5-4Dvar/SURF1,88
Fossil fuels,Top-down,TM5-4Dvar/GOSAT2,92
Fossil fuels,Top-down,TM5-4Dvar/SURF2,97
Fossil fuels,Top-down,PYVARLMDZ/GOSAT2,100
Fossil fuels,Top-down,PYVARLMDZ/GOSAT6,102
Fossil fuels,Top-down,NICAM-TM/4DVar,104
Fossil fuels,Top-down,PYVARLMDZ/GOSAT4,105
Fossil fuels,Top-down,TM5-CAMS/SURF,105
Fossil fuels,Top-down,CTE-CH4/GOSAT,107
Fossil fuels,Top-down,PYVARLMDZ/GOSAT1,107
Fossil fuels,Top-down,PYVARLMDZ/GOSAT3,110
Fossil fuels,Top-down,TM5-CAMS/GOSAT,110
Fossil fuels,Top-down,NIES-TM-FLEXPART/GOSAT,112
Fossil fuels,Top-down,PYVARLMDZ/GOSAT5,112
Fossil fuels,Top-down,CTE-CH4/SURF,113
Fossil fuels,Top-down,NIES-TM-FLEXPART/SURF,115
Fossil fuels,Top-down,PYVARLMDZ/SURF2,119
Fossil fuels,Top-down,PYVARLMDZ/SURF1,124
Fossil fuels,Top-down,GELCA/SURF,132
Fossil fuels,Top-down,TOMCAT/surf,170
Fossil fuels,Top-down,Ensemble max,170
Industry,Bottom-up,USEPA,0
Industry,Bottom-up,Ensemble min,0
Industry,Bottom-up,CEDSgridded,1
Industry,Bottom-up,GAINSgridded,2
Industry,Bottom-up,EDGARv432,7
Industry,Bottom-up,Ensemble max,7
Landfills and Waste,Bottom-up,GAINSgridded,60
Landfills and Waste,Bottom-up,Ensemble min,60
Landfills and Waste,Bottom-up,CEDSgridded,65
Landfills and Waste,Bottom-up,USEPA,67
Landfills and Waste,Bottom-up,EDGARv432,68
Landfills and Waste,Bottom-up,Ensemble max,68
Oil and Gas,Bottom-up,EDGARv432,68
Oil and Gas,Bottom-up,Ensemble min,68
Oil and Gas,Bottom-up,GAINSgridded,78
Oil and Gas,Bottom-up,USEPA,82
Oil and Gas,Bottom-up,CEDScount,92
Oil and Gas,Bottom-up,Ensemble max,92
Other Natural Sources,Top-down,NIES-TM-FLEXPART/GOSAT,21
Other Natural Sources,Top-down,NIES-TM-FLEXPART/SURF,21
Other Natural Sources,Top-down,Ensemble min,21
Other Natural Sources,Top-down,GELCA/SURF,22
Other Natural Sources,Top-down,TOMCAT/surf,24
Other Natural Sources,Top-down,PYVARLMDZ/SURF2,35
Other Natural Sources,Top-down,PYVARLMDZ/SURF1,36
Other Natural Sources,Top-down,CTE-CH4/GOSAT,38
Other Natural Sources,Top-down,CTE-CH4/SURF,38
Other Natural Sources,Top-down,NICAM-TM/4DVar,38
Other Natural Sources,Top-down,TM5-4Dvar/GOSAT2,38
Other Natural Sources,Top-down,PYVARLMDZ/GOSAT2,39
Other Natural Sources,Top-down,PYVARLMDZ/GOSAT4,39
Other Natural Sources,Top-down,PYVARLMDZ/GOSAT5,39
Other Natural Sources,Top-down,PYVARLMDZ/GOSAT6,39
Other Natural Sources,Top-down,TM5-4Dvar/SURF2,39
Other Natural Sources,Top-down,PYVARLMDZ/GOSAT3,41
Other Natural Sources,Top-down,PYVARLMDZ/GOSAT1,45
Other Natural Sources,Top-down,TM5-CAMS/SURF,45
Other Natural Sources,Top-down,MIROC4-ACTM-Cao/SURF,46
Other Natural Sources,Top-down,TM5-CAMS/GOSAT,46
Other Natural Sources,Top-down,TM5-4Dvar/SURF1,57
Other Natural Sources,Top-down,TM5-4Dvar/GOSAT1,61
Other Natural Sources,Top-down,Ensemble max,61
Rice cultivation,Bottom-up,CEDScount,25
Rice cultivation,Bottom-up,USEPA,25
Rice cultivation,Bottom-up,Ensemble min,25
Rice cultivation,Bottom-up,FAO,30
Rice cultivation,Bottom-up,GAINSgridded,32
Rice cultivation,Bottom-up,EDGARv432,38
Rice cultivation,Bottom-up,Ensemble max,38
Soil Sink,Top-down,TOMCAT/surf,27
Soil Sink,Top-down,Ensemble min,27
Soil Sink,Top-down,GELCA/SURF,34
Soil Sink,Top-down,NICAM-TM/4DVar,35
Soil Sink,Top-down,MIROC4-ACTM-Cao/SURF,36
Soil Sink,Top-down,NIES-TM-FLEXPART/GOSAT,37
Soil Sink,Top-down,NIES-TM-FLEXPART/SURF,37
Soil Sink,Top-down,CTE-CH4/GOSAT,38
Soil Sink,Top-down,CTE-CH4/SURF,38
Soil Sink,Top-down,PYVARLMDZ/GOSAT1,38
Soil Sink,Top-down,PYVARLMDZ/GOSAT2,38
Soil Sink,Top-down,PYVARLMDZ/GOSAT3,38
Soil Sink,Top-down,PYVARLMDZ/GOSAT4,38
