Sink/source type,Estimate type,Original data source,Value (Tg CH4 yr-1)
Agriculture and Waste,Bottom-up,USEPA,204
Agriculture and Waste,Bottom-up,Ensemble min,204
Agriculture and Waste,Bottom-up,CEDSgridded,207
Agriculture and Waste,Bottom-up,GAINSgridded,207
Agriculture and Waste,Bottom-up,EDGARv432,232
Agriculture and Waste,Bottom-up,Ensemble max,232
Agriculture and Waste,Top-down,TM5-CAMS/SURF,205
Agriculture and Waste,Top-down,Ensemble min,205
Agriculture and Waste,Top-down,TM5-4Dvar/SURF1,208
Agriculture and Waste,Top-down,PYVARLMDZ/GOSAT4,210
Agriculture and Waste,Top-down,PYVARLMDZ/GOSAT6,210
Agriculture and Waste,Top-down,TM5-4Dvar/GOSAT1,210
Agriculture and Waste,Top-down,PYVARLMDZ/GOSAT3,221
Agriculture and Waste,Top-down,PYVARLMDZ/GOSAT5,221
Agriculture and Waste,Top-down,PYVARLMDZ/GOSAT2,222
Agriculture and Waste,Top-down,NIES-TM-FLEXPART/GOSAT,224
Agriculture and Waste,Top-down,PYVARLMDZ/GOSAT1,226
Agriculture and Waste,Top-down,TM5-4Dvar/SURF2,228
Agriculture and Waste,Top-down,TM5-CAMS/GOSAT,228
Agriculture and Waste,Top-down,NIES-TM-FLEXPART/SURF,229
Agriculture and Waste,Top-down,TM5-4Dvar/GOSAT2,230
Agriculture and Waste,Top-down,CTE-CH4/SURF,237
Agriculture and Waste,Top-down,NICAM-TM/4DVar,243
Agriculture and Waste,Top-down,CTE-CH4/GOSAT,246
Agriculture and Waste,Top-down,Ensemble max,246
Biofuel,Bottom-up,USEPA,10
Biofuel,Bottom-up,Ensemble min,10
Biofuel,Bottom-up,CEDSgridded,12
Biofuel,Bottom-up,EDGARv432,14
Biofuel,Bottom-up,GAINSgridded,14
Biofuel,Bottom-up,Ensemble max,14
Biomass and Biofuel Burning,Top-down,CTE-CH4/GOSAT,25
Biomass and Biofuel Burning,Top-down,CTE-CH4/SURF,25
Biomass and Biofuel Burning,Top-down,NICAM-TM/4DVar,25
Biomass and Biofuel Burning,Top-down,PYVARLMDZ/GOSAT2,25
Biomass and Biofuel Burning,Top-down,Ensemble min,25
Biomass and Biofuel Burning,Top-down,TM5-4Dvar/SURF2,26
Biomass and Biofuel Burning,Top-down,PYVARLMDZ/GOSAT1,27
Biomass and Biofuel Burning,Top-down,TM5-4Dvar/GOSAT2,28
Biomass and Biofuel Burning,Top-down,TM5-4Dvar/SURF1,28
Biomass and Biofuel Burning,Top-down,NIES-TM-FLEXPART/GOSAT,30
Biomass and Biofuel Burning,Top-down,NIES-TM-FLEXPART/SURF,30
Biomass and Biofuel Burning,Top-down,TM5-4Dvar/GOSAT1,30
