Year,yield_kg_per_head,product,animal
1961,7.5977,eggs,chicken
1962,7.57,eggs,chicken
1963,7.6734,eggs,chicken
1964,7.831,eggs,chicken
1965,7.799,eggs,chicken
1966,7.7034,eggs,chicken
1967,7.7549,eggs,chicken
1968,7.7501,eggs,chicken
1969,7.8013,eggs,chicken
1970,7.8854,eggs,chicken
1971,7.88,eggs,chicken
1972,8.0448,eggs,chicken
1973,7.8372,eggs,chicken
1974,7.8886,eggs,chicken
1975,8.0051,eggs,chicken
1976,7.9427,eggs,chicken
1977,8.1501,eggs,chicken
1978,8.682,eggs,chicken
1979,8.7542,eggs,chicken
1980,8.9649,eggs,chicken
1981,9.1869,eggs,chicken
1982,9.2653,eggs,chicken
1983,9.2437,eggs,chicken
1984,9.3452,eggs,chicken
1985,9.4428,eggs,chicken
1986,9.5538,eggs,chicken
1987,9.5589,eggs,chicken
1988,9.8204,eggs,chicken
1989,9.7754,eggs,chicken
1990,9.7309,eggs,chicken
1991,9.8918,eggs,chicken
1992,10.0404,eggs,chicken
1993,10.2588,eggs,chicken
1994,10.1178,eggs,chicken
1995,10.1818,eggs,chicken
1996,10.3248,eggs,chicken
1997,10.3141,eggs,chicken
1998,10.3595,eggs,chicken
1999,10.3735,eggs,chicken
2000,10.282,eggs,chicken
2001,10.2226,eggs,chicken
2002,10.1518,eggs,chicken
2003,10.1276,eggs,chicken
2004,9.9977,eggs,chicken
2005,9.9041,eggs,chicken
2006,9.7889,eggs,chicken
2007,9.8025,eggs,chicken
2008,9.8694,eggs,chicken
2009,9.9132,eggs,chicken
2010,9.8503,eggs,chicken
2011,9.8976,eggs,chicken
2012,9.8381,eggs,chicken
2013,9.9534,eggs,chicken
2014,9.9628,eggs,chicken
2015,10.1268,eggs,chicken
2016,10.1124,eggs,chicken
2017,10.6581,eggs,chicken
2018,10.6903,eggs,chicken
2019,10.7684,eggs,chicken
2020,10.9718,eggs,chicken
1961,138.3,meat,
1962,138.2,meat,
1963,137.9,meat,
1964,138.0,meat,
1965,138.0,meat,
1966,138.2,meat,
1967,138.0,meat,
1968,136.7,meat,
1969,136.3,meat,
1970,136.4,meat,
1971,135.3,meat,
1972,134.8,meat,
1973,136.2,meat,
1974,136.3,meat,
1975,135.3,meat,
1976,135.0,meat,
1977,133.1,meat,
1978,133.1,meat,
1979,133.7,meat,
1980,134.1,meat,
1981,136.4,meat,
1982,138.3,meat,
1983,138.3,meat,
1984,139.3,meat,
1985,139.7,meat,
1986,142.3,meat,
1987,142.0,meat,
1988,137.4,meat,
1989,139.0,meat,
1990,139.4,meat,
1991,140.7,meat,
1992,141.1,meat,
1993,141.1,meat,
1994,142.4,meat,
1995,141.4,meat,
1996,142.4,meat,
1997,140.0,meat,
1998,139.7,meat,
1999,145.9,meat,
2000,147.2,meat,
2001,146.9,meat,
2002,149.3,meat,
2003,156.7,meat,
2004,155.9,meat,
2005,155.6,meat,
2006,159.5,meat,
2007,159.4,meat,
2008,158.6,meat,
2009,150.7,meat,
2010,151.3,meat,
2011,150.8,meat,
2012,149.4,meat,
2013,153.1,meat,
2014,152.4,meat,
2015,152.8,meat,
2016,151.6,meat,
2017,155.0,meat,
2018,154.5,meat,
2019,151.4,meat,
2020,152.4,meat,
