IPCC-Annex,World Region,ISO_A3,Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
Annex_I,Canada,CAN,Canada,40.99653287,40.76824684,40.81944176,43.66147451,43.00042211,36.37762658,38.21115258,38.01389408,40.89936708,41.94034269,44.09657685,42.30891074,37.5522942,38.37365153,38.99767554,40.34558059,42.23368969,42.92017564,43.50099236,42.33075468,49.874834,48.53611223,47.36498718,45.99777488,49.01701866,49.69628287,47.76927885,46.57487685,47.01813638,47.79753182,44.34756176,41.16990581,40.88305434,40.21623367,42.06454683,40.2250866,37.35852044,37.38187948,34.96516286,33.70290924,33.90522008,33.63485216,33.81674577,34.42260159,32.44886796,32.56131526,,
Non-Annex_I,USA,SPM,Saint Pierre and Miquelon,0.001831282,0.001823899,0.001654688,0.001686535,0.001832972,0.00178129,0.001787815,0.001714475,0.001871013,0.001827641,0.002011848,0.002025796,0.001966137,0.002071442,0.001936735,0.001978273,0.002182127,0.004107165,0.004167378,0.005087628,0.005229912,0.004373493,0.004221636,0.004296849,0.004196166,0.002137808,0.002151748,0.00189753,0.002493011,0.002507259,0.002768877,0.002668501,0.002635247,0.002499461,0.002739962,0.00228069,0.002230008,0.002200385,0.002047464,0.002112771,0.002126998,0.002176752,0.002936569,0.002640447,0.003197116,0.003176871,,
Annex_I,USA,USA,United States,241.1301,221.3658287,229.3684866,247.9858914,239.8808388,232.0549099,234.3622165,247.7209406,247.956434,258.0677516,244.8068909,254.5516505,238.8037072,234.5760302,255.9810804,256.7464961,201.8113682,202.1375403,208.4393199,208.0143519,260.0657163,248.1655392,256.8188728,239.3848696,235.7158069,229.0024308,229.2802738,223.3479988,222.7949748,229.388849,229.3894383,211.6037487,205.8140016,222.0104076,224.9010705,228.0710443,220.1253976,221.2453318,190.9724693,176.4293403,187.6089111,188.2850351,204.1325454,204.5333583,209.7001614,198.6564201,,
Non-Annex_I,Mexico,MEX,Mexico,22.39497599,22.13458779,22.64800692,23.63992953,24.65619494,25.41963339,26.45428294,26.62043463,27.9583644,26.9263685,27.59232485,28.34990381,27.86597395,28.52020011,28.69640749,29.90273125,31.86783805,32.4325537,30.39107148,31.18482168,33.41621352,32.51499587,32.36313597,31.88007119,32.35240756,31.78030137,32.31770658,32.88739322,33.47562626,32.65956597,32.69503278,31.44693299,30.02606816,30.87567372,31.05460876,31.45275527,32.47965569,32.49554697,32.90233382,30.42765494,31.96833817,31.78551878,31.92587693,32.65991245,32.20941357,31.89306642,,
Non-Annex_I,Rest Central America,ABW,Aruba,0.00177986,0.001765348,0.001536396,0.001527872,0.001596304,0.001479003,0.001488931,0.001401916,0.001504192,0.001485579,0.001482278,0.001481552,0.001462101,0.001457179,0.001432243,0.001455721,0.001541506,0.001817542,0.007179502,0.007848916,0.008899367,0.010560545,0.010173049,0.016545079,0.016625276,0.013978833,0.009722983,0.013963772,0.021928085,0.023722063,0.023459185,0.024295063,0.023467315,0.022585757,0.027533806,0.022612652,0.023281422,0.021410861,0.021382867,0.022152239,0.022749097,0.019694823,0.035523555,0.040832806,0.043475032,0.043548587,,
Non-Annex_I,Rest Central America,AIA,Anguilla,0.000124696,0.000124454,0.000142248,0.000137763,0.00016257,0.000234619,0.000195702,0.000211895,0.000225094,0.000244758,0.000257749,0.000459919,0.000476195,0.000421265,0.000440839,0.000264061,0.000260751,0.000588294,0.000502636,0.000501229,0.000445947,0.000543004,0.000569356,0.000800281,0.000956944,0.001320883,0.001414029,0.001137881,0.00114055,0.001121871,0.001753475,0.00158608,0.001061682,0.001202533,0.001225419,0.001095407,0.001136261,0.000861748,0.000979852,0.001278086,0.001703042,0.001808449,0.001811206,0.001944651,0.001941556,0.001949168,,
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,0.077198122,0.077062766,0.085376246,0.093479544,0.101616372,0.110594513,0.111016539,0.114668384,0.123290613,0.118786869,0.144226896,0.13830913,0.12833843,0.136519724,0.121063961,0.105747933,0.110767517,0.158436509,0.155962831,0.159789232,0.145478757,0.154298654,0.152654362,0.193410659,0.204309963,0.1808945,0.178065283,0.177945493,0.271741087,0.2856018,0.267438097,0.258230865,0.222329923,0.199944954,0.22864203,0.198482172,0.203876574,0.223120597,0.250019893,0.241569789,0.25200467,0.270539924,0.301707477,0.292052096,0.308190177,0.31233876,,
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,0.003704099,0.008320158,0.001872676,0.002066226,0.002166136,0.002325097,0.002333815,0.002452255,0.002621212,0.002563276,0.00309369,0.002653117,0.00362484,0.002195154,0.002615601,0.002755471,0.002888931,0.004960615,0.005219535,0.005011308,0.004631749,0.00510464,0.005094868,0.006662308,0.007866156,0.006381945,0.006416573,0.006002608,0.009119004,0.010223647,0.009895143,0.009723904,0.009148629,0.010287217,0.011926499,0.011367299,0.01113124,0.01161693,0.011816175,0.013542684,0.013945875,0.01323302,0.024329038,0.022943931,0.02337506,0.025677621,,
Non-Annex_I,Rest Central America,BHS,Bahamas,0.027934329,0.027222907,0.031573616,0.03321792,0.032919158,0.030577571,0.030212925,0.031578193,0.033166405,0.033974131,0.037169467,0.035670099,0.030706226,0.025926158,0.023836461,0.021995574,0.022651243,0.033212505,0.033710721,0.036448098,0.038242473,0.037615212,0.030753495,0.041419072,0.04644092,0.044240705,0.049412047,0.047019367,0.076567173,0.075068422,0.076700645,0.080029914,0.100938754,0.107580652,0.119527393,0.115481494,0.116059746,0.111034919,0.08193759,0.094626417,0.096566808,0.094193136,0.148180607,0.147612154,0.154483373,0.149149136,,
Non-Annex_I,Rest Central America,BLZ,Belize,0.343754132,0.337890898,0.300391641,0.296621138,0.309151102,0.287459473,0.278886726,0.28103685,0.301858236,0.29264235,0.289045955,0.284442791,0.291473018,0.282295582,0.27319259,0.271151059,0.273639674,0.254942091,0.245060408,0.250735981,0.36380029,0.333968158,0.319412983,0.322627242,0.321730416,0.314039058,0.329461793,0.332997154,0.304595122,0.300307571,0.331301924,0.294870975,0.303014558,0.289199542,0.299344373,0.270868685,0.315838668,0.270744044,0.208850815,0.221544445,0.242306328,0.245689468,0.268835794,0.248675733,0.25242585,0.209827049,,
