IPCC-Annex,World Region,ISO_A3,Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
Annex_I,Canada,CAN,Canada,350.2794068,347.0998819,349.0476395,359.9361096,355.0342672,317.9537834,332.9221807,339.6300151,353.7568034,363.0596739,383.0732879,376.5358165,360.3320355,374.0679611,382.4916371,387.4132846,394.6226464,401.8091759,411.3199498,409.4442754,458.5005264,459.5018722,456.289797,446.702631,468.4115629,470.185902,462.8834339,459.1937159,474.7971235,480.600971,408.2818702,383.4775363,391.8988176,382.7359283,395.4232855,388.7391501,374.7008905,374.7560356,361.1560948,335.6452282,339.0928597,334.8331856,332.718537,337.7001909,319.1835294,315.4835856,,
Non-Annex_I,USA,SPM,Saint Pierre and Miquelon,0.012359094,0.012299368,0.011358283,0.011895228,0.011845785,0.011740996,0.011694967,0.011432284,0.012288832,0.011698954,0.012289199,0.012189281,0.01175861,0.011855887,0.011771183,0.012291954,0.012511791,0.018985472,0.019470975,0.02302285,0.028826638,0.022604678,0.022237046,0.019723825,0.019313191,0.012546738,0.012633149,0.011467913,0.013740885,0.013890527,0.015250358,0.015251739,0.015275191,0.015068591,0.016002662,0.01451529,0.014795073,0.014767186,0.013440541,0.014809817,0.014954939,0.015235916,0.019317766,0.017998674,0.020509394,0.02041376,,
Annex_I,USA,USA,United States,2971.398706,2619.128671,2692.551218,2788.150998,2761.971988,2699.65531,2770.511538,2874.215942,2864.200154,2994.729205,2889.035139,3012.748612,2869.345568,2918.679277,3102.237698,3133.221928,1915.381756,1953.964381,1992.171129,1993.027093,2633.432407,2627.893505,2634.302721,2394.943892,2414.052269,2409.630189,2446.415573,2389.4268,2396.689516,2478.107872,2517.573346,2379.115818,2261.251568,2396.430606,2432.385886,2489.406712,2425.607571,2449.352484,2389.969894,2194.175962,2360.626304,2322.255476,2286.884018,2360.283099,2404.551128,2233.210937,,
Non-Annex_I,Mexico,MEX,Mexico,257.2336377,254.7336956,259.7138842,269.780638,276.6417668,283.6789103,288.49567,296.1391223,309.9156569,307.4863019,316.3585007,323.4095715,321.8297761,329.6386102,336.334669,346.5397813,345.2316913,355.3217334,347.2944379,353.810372,383.4268252,378.6470515,382.3149599,382.0176413,386.6904759,392.1237234,385.1219318,392.576965,400.7253185,397.4984951,399.6509093,386.4579752,381.7082031,396.7044379,402.9496685,412.4391557,425.4553604,419.5466962,424.7535175,398.1195406,413.3704352,401.0270842,398.1513243,414.9822563,400.5577618,406.2686119,,
Non-Annex_I,Rest Central America,ABW,Aruba,0.019289616,0.019270572,0.018235338,0.018439899,0.018366751,0.017906573,0.017961129,0.017614827,0.018322437,0.017955521,0.017951384,0.017941266,0.017788534,0.017630396,0.018152931,0.018383086,0.018560878,0.018936514,0.048180208,0.051000893,0.06377229,0.071959323,0.071181887,0.087056231,0.087016785,0.089597614,0.066175163,0.090250389,0.109740417,0.116177928,0.116756281,0.12284598,0.121419744,0.120064547,0.14048187,0.121854344,0.124813532,0.118406383,0.119233322,0.125982334,0.127905749,0.121608247,0.194493487,0.226233829,0.227109388,0.227417619,,
Non-Annex_I,Rest Central America,AIA,Anguilla,0.000478294,0.000477769,0.000521447,0.000499708,0.000568623,0.000742614,0.000647669,0.000683562,0.000748506,0.000821484,0.000940363,0.001554404,0.001623871,0.001425923,0.001439702,0.000881985,0.000828016,0.001742024,0.001542676,0.001568548,0.001452762,0.001782777,0.001868136,0.002504044,0.003100931,0.00415882,0.00434132,0.003537405,0.003430144,0.003329122,0.004982329,0.004674523,0.003143361,0.003656172,0.003652867,0.003411065,0.003479943,0.00280206,0.003312583,0.004394566,0.00566055,0.006035505,0.006041965,0.006487045,0.00647673,0.006502139,,
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,0.725430788,0.721748912,0.755080672,0.853568834,0.788548483,0.889704789,0.888231395,0.925975985,1.015397703,0.929327623,1.021586248,0.960432216,0.880618581,0.857184663,0.833780637,0.732311659,0.710604143,0.863088344,0.858785521,0.849493018,0.820890141,0.865276811,0.874513249,0.943238278,0.98060097,0.965779933,0.957221457,0.947608253,1.179283074,1.212978864,1.173541533,1.155876988,1.060076112,0.987842188,1.079696817,0.964207719,0.989999322,1.071554703,1.213098311,1.176162345,1.228848028,1.382304197,1.510743264,1.506343004,1.51535089,1.534879073,,
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,0.043698307,0.096628209,0.021751565,0.024195788,0.022197241,0.024620453,0.02462445,0.025529693,0.027945,0.026106648,0.029517532,0.025442271,0.033348694,0.019833184,0.024760278,0.025960657,0.025677171,0.034685657,0.036826129,0.034441277,0.034571617,0.037904134,0.038715747,0.040752048,0.046439587,0.043851946,0.044016636,0.041744023,0.049484765,0.053543699,0.05280653,0.052846299,0.051916218,0.058724082,0.063598102,0.062139309,0.061079826,0.063248357,0.06484466,0.073344054,0.075529488,0.076148103,0.12911407,0.125320713,0.121496016,0.132627071,,
Non-Annex_I,Rest Central America,BHS,Bahamas,0.68191198,0.696120398,0.762488281,0.784705614,0.695978048,0.526383341,0.519564752,0.55755095,0.572207049,0.597759131,0.609684039,0.448992982,0.413176817,0.33950433,0.337551133,0.322012947,0.318457332,0.36661462,0.379826067,0.405502739,0.441976151,0.414892837,0.384425153,0.42008171,0.432216988,0.514636075,0.601853833,0.54779121,0.73429464,0.595122481,0.642948981,0.684849218,0.970419504,1.025212069,1.089608306,1.075345426,1.174336882,1.064951899,0.873256616,0.980952312,0.995458628,0.992318164,1.269427203,1.257722842,1.273559388,1.255741086,,
Non-Annex_I,Rest Central America,BLZ,Belize,1.843347151,1.814211917,1.665008854,1.672105914,1.773117404,1.665484682,1.578141797,1.703807299,1.871836584,1.789305146,1.800428135,1.780785908,1.866536215,1.845169676,1.78469718,1.770888796,1.763076715,1.653493571,1.607711342,1.70004394,3.20701162,2.610293809,2.512915127,2.558733219,2.642746481,2.563951135,2.681494566,2.702341767,2.737521176,2.800509273,2.982222045,2.866287898,2.961431482,2.851583219,3.009809204,2.74124381,2.995770089,2.865778686,2.303404605,2.56663978,2.732167793,2.645831414,2.86868364,2.681748377,2.755777213,2.592993731,,
Non-Annex_I,Rest Central America,BMU,Bermuda,0.028504099,0.029109548,0.029607525,0.032149516,0.028578949,0.031437634,0.030852521,0.032637668,0.035417595,0.032203193,0.034183921,0.030488616,0.029046265,0.034585375,0.035858963,0.033595057,0.033295868,0.05402547,0.062863356,0.069010924,0.048533216,0.047256455,0.037137394,0.044694867,0.04418452,0.041268947,0.046642484,0.043487796,0.052605584,0.05651272,0.056076582,0.048809878,0.054530167,0.054250576,0.065998369,0.056782848,0.055687727,0.075755585,0.052917293,0.067687431,0.069764794,0.069494061,0.122503935,0.072730933,0.077168855,0.087367948,,
Non-Annex_I,Rest Central America,BRB,Barbados,1.509115958,1.386474214,1.292422752,1.299237475,1.252419807,1.193147337,1.24151265,1.317557237,1.250286043,1.348682582,1.439511074,1.3118751,1.222028932,1.163849582,1.263147557,1.297778039,1.420869304,1.287325579,1.324127343,1.299032498,1.32811631,1.253638348,1.071046997,0.974104502,1.025553207,1.005431358,1.163984035,1.265395264,1.144962007,1.250664199,1.386521285,1.210274158,1.188188702,1.128595345,1.129147288,1.214581526,1.159380598,1.110551632,1.111222364,1.105093988,1.045686667,0.868248688,0.923064696,0.865407787,0.850896556,0.830579258,,
Non-Annex_I,Rest Central America,CRI,Costa Rica,10.08128548,10.02167609,10.53808193,10.82985112,10.84758836,11.24428044,11.34114666,11.82842648,12.24964465,12.5853913,12.43620651,12.54642152,12.30205217,12.78200884,13.62198803,13.58470625,13.48388541,13.43641879,13.87091701,13.631188,14.189013,14.80006603,13.62796805,13.85591328,14.21459352,14.95242326,14.95699248,11.94222454,10.67455618,10.78646865,12.55335971,12.53109603,12.59373748,14.04515291,20.24509978,21.64175975,23.61608269,26.58838608,25.9085266,23.99706544,24.8839764,22.98596396,20.00576061,21.17230315,20.91533246,20.54754148,,
Non-Annex_I,Rest Central America,CUB,Cuba,157.3326126,141.2618008,130.5778705,134.5224777,138.7753709,140.6856429,139.2333215,147.622722,160.3881799,165.7211015,151.3910166,158.1600754,161.438309,160.2101781,166.9074782,156.5368281,158.0099132,159.2731495,168.3018842,185.9127269,194.73887,184.2547521,172.2649282,117.7648609,114.5811584,95.58635061,112.9166171,110.3307203,96.83078642,100.1364942,103.4775349,102.6822201,85.64478111,69.0867415,68.6010606,47.7744915,44.20220626,44.48608335,45.92835305,49.80042641,42.84767187,46.35910351,48.25829553,48.17520831,54.14017548,55.38134478,,
Non-Annex_I,Rest Central America,CYM,Cayman Islands,0.00386883,0.003869245,0.003971364,0.004245525,0.003950161,0.00439408,0.004535988,0.004976661,0.005331994,0.004994344,0.005399856,0.009531428,0.009082865,0.009362518,0.00927061,0.009786344,0.009786087,0.011829029,0.023795916,0.021419962,0.021447611,0.023541111,0.024129575,0.027227398,0.027033412,0.029627567,0.029687855,0.027551031,0.034440398,0.036802555,0.036609267,0.03597633,0.035455325,0.03502801,0.045525473,0.038715028,0.043971652,0.051510574,0.065356604,0.053697463,0.055194339,0.054682272,0.098271027,0.095514594,0.09585643,0.10032437,,
Non-Annex_I,Rest Central America,DMA,Dominica,0.068278462,0.068173364,0.059489338,0.059058097,0.062535204,0.058462622,0.06040884,0.057964116,0.063421656,0.064517121,0.064722109,0.065959617,0.067441535,0.064871696,0.066225238,0.068149304,0.072577712,0.066967994,0.066270084,0.065883342,0.153399035,0.11851925,0.111921082,0.201105013,0.230371955,0.236717625,0.262022777,0.246673161,0.129025776,0.251792379,0.266977826,0.25512014,0.24335967,0.244740759,0.251030912,0.218364207,0.221550069,0.219034557,0.205234772,0.199852883,0.172156199,0.177660335,0.164162056,0.149277419,0.149708381,0.152281094,,
Non-Annex_I,Rest Central America,DOM,Dominican Republic,48.25919417,48.85762651,49.60391169,48.41462453,49.38431778,49.5824318,51.70799504,52.27757846,53.41327141,54.01303708,53.04706593,56.17876761,61.60514564,56.85174424,57.68696426,47.4862417,44.47941741,46.35625822,41.61545094,39.35006492,36.89315617,38.25501279,37.88284285,38.71439756,37.12945642,35.74354006,37.68259443,38.3378344,38.54991596,39.00373049,41.2388606,41.49797673,51.43983983,49.0714155,51.25184584,52.5143202,55.26933815,56.88056267,55.90613587,55.17623847,54.89580254,50.61181841,52.01667888,53.31398728,54.27032643,53.19364752,,
Non-Annex_I,Rest Central America,GLP,Guadeloupe,1.432030318,1.379471184,0.976901624,1.141829054,1.039458794,0.937865205,1.006075758,0.966148729,1.00195881,1.065745926,0.977455176,0.895615255,0.919398323,0.82531258,0.750490556,0.833805322,0.905946285,0.932075289,1.047448164,1.015018103,0.863930933,1.255327738,1.022501357,1.225295028,1.136210506,0.990134617,1.076392831,1.104141255,0.726638212,0.900869086,0.898933576,0.828766846,0.900530431,0.841526326,1.002727,0.976756795,0.892863343,0.96122663,0.919850846,0.909164532,0.931032174,0.927826734,1.071605524,1.013984723,1.10130181,1.125664141,,
Non-Annex_I,Rest Central America,GRD,Grenada,0.123263181,0.12222401,0.107338658,0.102542036,0.102663142,0.093786388,0.093942931,0.089417747,0.093909921,0.094286141,0.090013489,0.089922637,0.091995185,0.088353005,0.091128757,0.091292445,0.093199191,0.086228671,0.082658815,0.081376569,0.182653583,0.137652502,0.131352307,0.141895679,0.141561805,0.143208229,0.164758048,0.226365049,0.261605476,0.27515195,0.299208383,0.319607062,0.330840069,0.316124622,0.358992782,0.338748653,0.332816571,0.359710005,0.289463238,0.347626145,0.350553742,0.354456214,0.381844087,0.378315552,0.368007699,0.375106857,,
Non-Annex_I,Rest Central America,GTM,Guatemala,71.11039115,71.06117464,72.5790371,74.26168933,75.94512636,86.07266538,89.96141734,91.73991947,92.42425687,93.73593048,81.59066121,83.38478261,86.11906775,85.28282904,86.99740319,88.85668073,91.25048304,93.64490397,95.39586884,97.6753302,101.592923,104.1039015,107.9111593,107.4055263,105.2848102,111.6575048,112.9808387,116.8667357,120.853925,134.7211192,136.3980616,136.9261237,137.3236249,134.1408692,138.6979909,139.2520455,126.2520428,135.4472002,138.6274834,145.828195,182.6829655,187.8460494,191.8237643,206.6074058,217.3571293,219.8741699,,
Non-Annex_I,Rest Central America,HND,Honduras,32.76613537,32.79341895,33.53093728,34.07511324,34.77557338,35.59981818,36.31263639,37.44358868,38.38142729,39.19839215,40.91232099,41.56732327,42.26917199,43.33124646,43.89863874,44.41917487,44.92338833,46.1423617,46.78960129,47.92408144,49.39562305,49.4531371,49.76164292,50.22504649,50.68544657,51.34757488,52.77830536,58.54450109,59.48972579,46.18279114,49.12495254,49.73282038,52.00703668,56.2073373,59.40066493,63.77222894,66.84641205,71.79716534,70.74788788,72.37464868,72.3056919,76.83117745,80.81000396,80.05879258,80.20137102,85.92134748,,
Non-Annex_I,Rest Central America,HTI,Haiti,56.70721027,56.53941463,58.39577344,59.94594024,61.72853681,63.55013047,65.45301681,67.41595541,69.70691442,72.09613494,74.42475955,60.8330741,61.62654334,62.43125626,62.11506251,62.22512059,46.6069922,47.06310139,47.76596482,47.4912053,48.39026679,49.59493589,49.61260504,52.7472578,54.18517436,54.74448917,61.01004358,58.34005446,59.22295256,58.98744181,54.06152365,55.99221049,57.34894872,54.98482966,55.2664679,118.4102124,122.2336493,126.6357017,129.1521499,133.596948,137.8070354,142.6381056,146.9119462,149.3645515,147.4846084,147.9074499,,
Non-Annex_I,Rest Central America,JAM,Jamaica,11.38466353,11.41337851,11.91588791,12.89931829,14.49470282,10.82909356,10.28763179,10.10521929,10.44590511,10.01782775,9.724890169,9.532859698,9.107736774,8.617689149,11.48806449,10.87525898,10.75151055,10.70598007,11.20604092,12.07863248,18.90319742,19.25553564,19.35683942,18.77454424,19.32296245,19.03245853,20.14063611,20.42923892,19.66996239,20.72180491,27.54867235,26.44389473,22.93351449,22.80119325,23.88443758,23.0684681,25.1254427,25.23450449,27.30334284,27.6022582,22.23949068,23.30820225,23.03868345,23.57883457,23.73888406,23.78659717,,
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,0.396643504,0.365823232,0.350497333,0.331484352,0.33485597,0.334545104,0.394928954,0.409743295,0.415747923,0.427971255,0.410136569,0.402262906,0.40944905,0.367588279,0.380325438,0.360661199,0.358813605,0.358038922,0.366030678,0.354748771,0.308409492,0.282084494,0.330000204,0.337777581,0.355884712,0.317067736,0.288535507,0.378821072,0.342586022,0.284310461,0.281114828,0.280832827,0.28145427,0.305459939,0.327142093,0.234829086,0.024126065,0.031151599,0.032274441,0.033296064,0.034163385,0.034013506,0.055333842,0.053380606,0.052822542,0.053511374,,
Non-Annex_I,Rest Central America,LCA,Saint Lucia,0.082104428,0.081986976,0.07290831,0.073758899,0.077123427,0.073601817,0.076364061,0.074864238,0.081586809,0.082670156,0.083601413,0.080305972,0.086252577,0.080438875,0.083168105,0.089936177,0.095355862,0.091253242,0.090903362,0.089468789,0.182492713,0.147607702,0.143409284,0.14663634,0.155251762,0.156314021,0.160675896,0.161482941,0.168824735,0.172449576,0.209922814,0.209114438,0.20834755,0.215946545,0.224441459,0.207860304,0.202271134,0.219074054,0.18855968,0.208142896,0.208592527,0.216463918,0.24982402,0.233001864,0.230833311,0.235154697,,
Non-Annex_I,Rest Central America,MSR,Montserrat,0.002460323,0.002478218,0.002559114,0.002679783,0.002629174,0.002816336,0.002789677,0.00276763,0.002841545,0.002735039,0.002871493,0.003046623,0.002992706,0.003050884,0.003145151,0.00332747,0.003385558,0.004070884,0.004491096,0.004071616,0.004773508,0.005109651,0.005737581,0.006171387,0.006220191,0.006320813,0.006002941,0.005994676,0.00741413,0.00773663,0.007929101,0.007735143,0.007535658,0.007369884,0.007784534,0.008262574,0.008267411,0.008471649,0.008637179,0.008880616,0.00910607,0.009060344,0.014590186,0.012290958,0.012132331,0.01332329,,
Non-Annex_I,Rest Central America,MTQ,Martinique,0.458949505,0.48374805,0.467181193,0.443233492,0.425471122,0.420662371,0.412043653,0.4263008,0.413795659,0.377239725,0.380888906,0.393928878,0.388015138,0.402992814,0.39605223,0.413973711,0.419345622,0.425388106,0.448904406,0.486528394,0.513146548,0.504427274,0.499478551,0.55841123,0.548980452,0.542758637,0.551081589,0.534630498,0.582407955,0.593880731,0.619545171,0.711867316,0.640094757,0.583434357,0.623972483,0.594289564,0.555501699,0.634301225,0.553600674,0.615303707,0.63877177,0.633406235,0.817024069,0.826870762,0.804764685,0.860817694,,
Non-Annex_I,Rest Central America,NIC,Nicaragua,21.95443711,22.02175124,22.09384137,22.84666076,23.80425423,24.66554578,25.49601745,26.17484615,26.61026584,26.13097854,26.45301966,27.39726295,28.31781437,28.565047,29.55392372,30.17748298,29.76829138,30.42501308,30.32369334,30.84399994,31.9548049,32.8330132,32.90072766,33.31040975,34.10377357,35.23856326,36.05089899,36.89075649,37.18603699,36.77331426,37.65006494,36.88115501,38.12616254,38.08758211,38.27928491,37.9983857,36.78992613,37.30732324,37.37718727,38.11752219,38.80986216,39.78435757,41.79633439,42.38844255,43.26485404,43.42489945,,
Non-Annex_I,Rest Central America,PAN,Panama,11.56523676,11.70860567,11.71602529,12.07157173,12.51885666,12.86360658,13.38974758,13.9211598,14.24323515,14.46442791,14.32486497,14.38875709,14.56973133,14.64947295,14.6096033,14.2186144,13.95234904,14.23228538,13.77030646,14.21170325,14.3667612,15.16892779,16.23090137,16.58309278,16.1292658,15.07476424,16.8162844,16.62321848,17.25161227,17.28995572,17.26170829,18.22255014,17.78368464,17.7597317,17.17624267,17.2977003,18.33569525,16.15918554,19.64213536,19.01604274,13.31399477,15.92533258,17.10683695,17.63678159,17.46486541,17.52929157,,
Non-Annex_I,Rest Central America,PRI,Puerto Rico,4.025277775,3.456259919,3.406680514,3.034839664,3.018360838,2.888288105,2.937977568,2.617853549,2.464108115,2.224494189,2.189858966,2.054122425,1.696043408,1.516877452,1.440468526,1.520401345,1.487573416,1.658153219,1.884315374,1.819144311,1.682104393,1.779037502,1.701570116,1.787363774,1.671435934,1.637232259,1.575692743,1.482423972,1.487640674,1.367095518,1.306867803,1.294845158,1.303110259,1.317972802,1.277348294,1.419319501,1.409553352,1.361721759,1.330681478,1.158875762,0.762976761,0.788509956,1.697646997,1.786938599,1.834883713,1.88197978,,
Non-Annex_I,Rest Central America,SLV,El Salvador,37.20678436,37.47257439,38.58754955,39.823637,41.38711929,42.93902282,43.80060772,45.4699532,46.92587014,47.87524986,43.54896239,43.55925282,44.08936086,45.63447529,46.6332948,47.19461215,38.34968816,39.20341789,34.36374483,34.46064595,35.485702,38.19811251,40.92247078,39.36142534,39.71897186,40.35188922,41.41094138,42.78611276,43.47849037,42.68182121,41.89385756,42.78140381,43.04544105,43.26292731,44.10946727,44.71967088,45.91130849,31.83034114,32.68861863,25.73122117,25.46637203,25.84189366,21.80273982,20.26669147,21.51482283,20.99903644,,
Non-Annex_I,Rest Central America,TCA,Turks and Caicos Islands,0.002329371,0.002326123,0.002183082,0.002307405,0.002354743,0.002261088,0.002324407,0.002295848,0.002501158,0.002517145,0.002628021,0.002743736,0.002867696,0.002960716,0.003398697,0.003619374,0.003873991,0.003976501,0.004151171,0.004221114,0.004180825,0.003424833,0.004542287,0.005366861,0.005845949,0.005982919,0.006080158,0.006518958,0.007273493,0.006194738,0.00816628,0.008563472,0.00844776,0.008268277,0.008952652,0.007115146,0.006520144,0.013913469,0.019277387,0.020886014,0.029276267,0.029554639,0.046710721,0.044901406,0.041648973,0.041622418,,
Non-Annex_I,Rest Central America,TTO,Trinidad and Tobago,3.106969386,2.96858373,3.158520917,2.66523018,2.910329576,2.69013619,3.070417508,2.964839823,2.93384751,2.99942027,2.993540781,2.739582584,2.870033476,2.8196463,2.803172221,3.035153292,3.340511429,3.350995513,3.293642215,3.445566824,3.78322533,3.771365975,3.662679179,3.67252909,3.862895515,3.829324875,3.951668983,3.972692184,3.766663871,3.862721723,3.978205846,3.976003879,4.730478046,4.192395479,4.007820721,3.983464813,4.478735138,5.059721475,4.270092161,4.248812107,4.345710593,4.367813962,4.259696983,4.438020882,4.418662256,4.485116845,,
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,0.08265693,0.082326678,0.074567047,0.079729463,0.082434161,0.076972084,0.076994059,0.074666533,0.079185624,0.08470344,0.087354794,0.098584279,0.103141255,0.105514728,0.125555906,0.140102888,0.142737253,0.107801532,0.122240844,0.101758764,0.176926924,0.137226959,0.127161431,0.131551194,0.13711032,0.134943055,0.135136156,0.133309617,0.142636308,0.139002847,0.146216168,0.144513889,0.148177059,0.140976843,0.148972146,0.139846582,0.138013655,0.147235906,0.127067045,0.142767743,0.138444702,0.143332957,0.15965743,0.149428905,0.144567019,0.145764857,,
Non-Annex_I,Rest Central America,VGB,Virgin Islands_British,0.001348835,0.001347584,0.001390881,0.001540919,0.001446835,0.001580351,0.001605882,0.001659778,0.001787225,0.00167805,0.001776018,0.002591077,0.002495115,0.002598654,0.002531393,0.002710327,0.002871239,0.003987039,0.004497942,0.004494916,0.004659135,0.005192104,0.005910272,0.006495635,0.006646838,0.006088261,0.006679736,0.006448303,0.007869177,0.008136943,0.008466681,0.008324468,0.00826485,0.008157403,0.009986941,0.008942379,0.008762876,0.015481269,0.015906409,0.016734636,0.01756477,0.01742363,0.02873685,0.028091537,0.033560398,0.034181597,,
