year,Watts
1986,48959141.307
1987,69144884.3572
1988,116963230.13859999
1989,918657285.754
1990,1253227262.4008
1991,1429480171.106
1992,1594800456.0242
1993,1915617508.8346
1994,2512380323.7818
1995,2735881180.5056
1996,3211085894.4472
1997,4143432726.5084
1998,5491441083.8278
1999,7274346046.5176
2000,10686021820.8828
2001,13254332814.1836
2002,17935904141.1292
2003,21835808711.6866
2004,28341733905.4188
2005,34850162511.5544
2006,44248131117.741
2007,56611534315.195595
2008,72932927588.71939
2009,90643778123.6594
2010,111471820743.53679
2011,141913759211.5852
2012,166956534278.32098
2013,206205826157.9412
2014,228990396481.7518
2015,259169666780.0308
2016,296529959713.0804
2017,348758969572.8606
2018,387859609457.7422
2019,425010186146.669
