year,Watts
1986,10741813693612.85
1987,11098799922072.518
1988,11527589246907.846
1989,11711136053627.324
1990,11864930469396.453
1991,11796654237454.465
1992,11758473522405.922
1993,11854901070466.846
1994,11986423386613.271
1995,12319693807023.824
1996,12646133492403.498
1997,12674756907737.443
1998,12774574171258.861
1999,13017361950913.74
2000,13424350197923.398
2001,13529764077538.35
2002,13822610693698.139
2003,14307476519747.178
2004,15048643006895.635
2005,15548635211216.361
2006,16062736616153.875
2007,16492151001870.95
2008,16699433200296.053
2009,16493806676443.768
2010,17470766630813.36
2011,17975057099164.43
2012,18385157626500.52
2013,18748883167905.168
2014,18917092961134.68
2015,19013678762886.008
2016,19243553909675.402
2017,19542229325506.953
2018,19993263497627.434
