year,Watts
1980,4416736564651.733
1981,4241068250275.874
1982,4144046918143.877
1983,4087365510102.7383
1984,4129908151909.7075
1985,4132466068988.219
1986,4251645738078.002
1987,4330310846295.2153
1988,4470593774925.426
1989,4524385959854.159
1990,4563745877210.998
1991,4577877133207.958
1992,4607271631250.918
1993,4566210851142.938
1994,4658539394125.321
1995,4751737064854.389
1996,4900448697847.966
1997,4968514516393.007
1998,5028200019318.226
1999,5136374243839.957
2000,5248572973154.653
2001,5286658526843.103
2002,5334051292515.925
2003,5448409484383.053
2004,5678073362178.849
2005,5748741145185.195
2006,5824068317383.268
2007,5909758729646.007
2008,5886038009838.384
2009,5788659608706.874
2010,5975992652398.286
2011,6016759867791.012
2012,6117254573722.05
2013,6179147199101.658
2014,6269729881287.169
2015,6355516215440.353
2016,6474845106922.637
2017,6586203703710.258
2018,6630474587360.981
