year,Watts
1980,9792645578016.562
1981,9675681333837.496
1982,9685368969440.89
1983,9820446574842.848
1984,10271902777930.27
1985,10545816846613.504
1986,10771750988504.645
1987,11124854107438.99
1988,11553294475598.55
1989,11746941188748.867
1990,11823026261129.879
1991,11834660759364.004
1992,11799347782445.467
1993,11892092082019.402
1994,12021357746172.365
1995,12351922262973.727
1996,12680661316801.537
1997,12718746014893.344
1998,12791951339102.564
1999,13033289579598.352
2000,13455968106445.754
2001,13552866517859.867
2002,13845731101549.195
2003,14330471725289.285
2004,15071221822070.906
2005,15561236692102.256
2006,16054236802202.75
2007,16492376467431.078
2008,16715935599792.977
2009,16558494282549.863
2010,17621709057768.496
2011,18083974647037.39
2012,18452916159095.227
2013,18769130197026.12
2014,18929650806591.715
2015,18979220495326.26
2016,19145920825942.793
2017,19539665831205.867
2018,19983591136008.57
2019,20102787790276.18
