year,Watts
1980,8803954950012.273
1981,8648029654956.387
1982,8597128372644.584
1983,8649768956178.986
1984,9002377730385.572
1985,9184705090065.71
1986,9388270576668.414
1987,9701602172882.531
1988,10047033441907.215
1989,10204062615077.945
1990,10311347652864.998
1991,10211003113651.648
1992,10154905425329.951
1993,10219512614858.113
1994,10330396409379.105
1995,10571536563407.375
1996,10808757435185.537
1997,10876432395001.375
1998,10951396756195.785
1999,11136295320053.432
2000,11213349783432.324
2001,11308026939203.041
2002,11577362038441.35
2003,12060499571944.598
2004,12661420478840.812
2005,13154341801165.879
2006,13614860746925.41
2007,13989526073777.895
2008,14109987768879.342
2009,13844482282193.95
2010,14612117906405.822
2011,15246613997383.168
2012,15661047006277.602
2013,15901075293453.477
2014,15770763602194.324
2015,15093605976334.107
2016,16215025124789.43
2017,16563407489239.4
2018,12453744686946.11
