year,Watts
1980,253282274582.526
1981,285092565594.767
1982,317874687639.7608
1983,358350873418.3991
1984,434455846343.5786
1985,511484293246.73114
1986,543223189472.32837
1987,589896018102.203
1988,642821610385.4204
1989,659976703366.8055
1990,680601399184.2449
1991,708219551838.7872
1992,711454943015.6826
1993,735816789908.6936
1994,749105695165.0557
1995,777586511058.304
1996,806005565549.347
1997,798394367935.1311
1998,812676050497.6469
1999,838637926492.8411
2000,857577889140.3213
2001,882069501524.3694
2002,891725004720.46
2003,879140762522.508
2004,911020008286.5184
2005,912885018838.287
2006,925104555044.4573
2007,908143524057.483
2008,903709949002.2969
2009,890718411112.9408
2010,915403990425.1056
2011,877545898688.9546
2012,818258945356.1102
2013,824202490044.4861
2014,840466875230.4945
2015,850467183874.198
2016,859685762383.9841
2017,865844283651.4064
2018,886372170292.9926
