year,Watts
1980,253281545740.9402
1981,285091868441.9458
1982,317874434129.644
1983,358350873418.3992
1984,434454135150.29016
1985,511484958710.7878
1986,543222967650.9762
1987,589895479393.2048
1988,642820849855.07
1989,659974992173.5172
1990,680601430873.0094
1991,708219044818.5536
1992,711454435995.449
1993,735816726531.1644
1994,749105188144.8221
1995,777592975566.2823
1996,806011713169.6792
1997,798397188235.1805
1998,812683117092.1526
1999,838646672591.8706
2000,857584575469.6517
2001,882073018977.2397
2002,891729472836.2686
2003,879143868021.4387
2004,911025458754.0298
2005,912895761329.4863
2006,925116628463.7701
2007,908152682110.4521
2008,903718726790.091
2009,890722752473.6912
2010,915404212246.4578
2011,877545391668.721
2012,818253082934.6592
2013,824197958551.1483
2014,840459776947.2241
2015,850463476288.7397
2016,859646595070.9384
2017,865868018536.0918
2018,886428322783.8638
2019,924764661355.3579
