year,kg
1980,3772375000000
1981,3801062000000
1982,3953440000000
1983,3992353000000
1984,4192817000000
1985,4390199000000
1986,4498829000000
1987,4611263000000
1988,4711746000000
1989,4785828000000
1990,4702688000000
1991,4540649000000
1992,4443507000000
1993,4340429000000
1994,4419584000000
1995,4494996000000
1996,4598187000000
1997,4605612000000
1998,4580306000000
1999,4524441000000
2000,4656831000000
2001,4873873000000
2002,4923719000000
2003,5277968000000
2004,5679771000000
2005,6037123000000
2006,6349879000000
2007,6624733000000
2008,6837103000000
2009,6933604000000
2010,7401884000000
2011,7875081000000
2012,8163468000000
2013,8208748000000
2014,8144718000000
2015,7917650000000
2016,7402675000000
2017,7667197000000
2018,7795457000000
