year,cubic meters
1980,1511000000000
1981,1550000000000
1982,1545000000000
1983,1562000000000
1984,1700000000000
1985,1764000000000
1986,1801000000000
1987,1885000000000
1988,1978000000000
1989,2044000000000
1990,2078000000000
1991,2113000000000
1992,2120000000000
1993,2158000000000
1994,2176000000000
1995,2208000000000
1996,2270000000000
1997,2274000000000
1998,2314000000000
1999,2368000000000
2000,2457000000000
2001,2503000000000
2002,2558000000000
2003,2637000000000
2004,2703000000000
2005,2792000000000
2006,2899000000000
2007,2969000000000
2008,3064000000000
2009,3004000000000
2010,3222000000000
2011,3338000000000
2012,3410000000000
2013,3443000000000
2014,3493000000000
2015,3552000000000
2016,3589000000000
2017,3702000000000
2018,3905000000000
2019,4040000000000
