year,Watts
1989,906140223.737
1990,1229650821.5384
1991,1429448482.3414
1992,1594546945.9074
1993,1915680886.3637996
1994,2512602145.1340003
1995,2736134690.6224008
1996,3211180960.7409987
1997,4143591170.331399
1998,5491726282.7092
1999,7262526137.3218
2000,10696932262.534573
2001,13254722585.98818
2002,17946789231.76929
2003,21768416216.011772
2004,28174724609.347412
2005,34774084125.50271
2006,43718085827.78264
2007,56364146467.71634
2008,72578428548.01567
2009,90079337848.60416
2010,110744747390.80145
2011,141112255288.55734
2012,165843742113.9981
2013,205317390446.98618
2014,227035728908.3006
2015,257871843919.2084
2016,295125751331.7428
2017,346446279168.08215
2018,385180045549.6838
