year,kg
1980,3766490000000
1981,3794886000000
1982,3947439000000
1983,3986255000000
1984,4186809000000
1985,4384168000000
1986,4493868000000
1987,4605592000000
1988,4705923000000
1989,4780166000000
1990,4702379000000
1991,4537049000000
1992,4439556000000
1993,4323764000000
1994,4406505000000
1995,4485757000000
1996,4586158000000
1997,4589709000000
1998,4567467000000
1999,4507147000000
2000,4648726000000
2001,4865715000000
2002,4916793000000
2003,5271999000000
2004,5671298000000
2005,6032159000000
2006,6343612000000
2007,6615427000000
2008,6837017000000
2009,6913764000000
2010,7345909000000
2011,7835663000000
2012,8039782000000
2013,8138898000000
2014,8043147000000
2015,7831214000000
2016,7303822000000
2017,7560447000000
2018,7858962000000
2019,8007745000000
